wxcrum,Stanly Co. the severe thunderstorm warning has been CANCELED for you all. #ncwx #cltwx #SpecNewsCLT,,Sun Aug 19 02:40:39 +0000 2018
MarciBaun,"RT @jennnixon: Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails.…","Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails. I have canceled my paid subscription and warning other #authors to stay far far away. #Marketing #Writing #Books #Beware #Warning #Ripoff",Mon Aug 13 14:15:06 +0000 2018
JoesDot_Com,"RT @jennnixon: Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails.…","Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails. I have canceled my paid subscription and warning other #authors to stay far far away. #Marketing #Writing #Books #Beware #Warning #Ripoff",Mon Aug 13 13:48:55 +0000 2018
TivaBoon,"RT @jennnixon: Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails.…","Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails. I have canceled my paid subscription and warning other #authors to stay far far away. #Marketing #Writing #Books #Beware #Warning #Ripoff",Mon Aug 13 13:48:12 +0000 2018
LSFWriters,"RT @jennnixon: Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails.…","Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails. I have canceled my paid subscription and warning other #authors to stay far far away. #Marketing #Writing #Books #Beware #Warning #Ripoff",Mon Aug 13 13:48:09 +0000 2018
CJDurranAuthor,"RT @jennnixon: Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails.…","Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails. I have canceled my paid subscription and warning other #authors to stay far far away. #Marketing #Writing #Books #Beware #Warning #Ripoff",Mon Aug 13 13:48:05 +0000 2018
jennnixon,"Dear #BookBoast @Book_Boast,
Thank you for ignoring my emails. Your site sucks, it hardly works, and no one answers emails. I have canceled my paid subscription and warning other #authors to stay far far away. #Marketing #Writing #Books #Beware #Warning #Ripoff",,Mon Aug 13 13:37:58 +0000 2018
ideviiii,Everytime there’s a flood warning or you can’t see shit while driving bc of rain work should automatically be canceled Bc THIS SHIT IS WILD,,Mon Aug 13 12:36:17 +0000 2018
DCAbloob,Flood Warning canceled for east central Baltimore County [MD] - #mdwx https://t.co/qTUdpABUdC,,Mon Aug 13 09:53:47 +0000 2018
DCAbloob,"Flood Warning canceled for Baltimore City, southwestern Baltimore County [MD] - #mdwx https://t.co/v0yUA1RqrS",,Mon Aug 13 09:03:39 +0000 2018
DCAbloob,Flood Warning canceled for northwestern Baltimore County [MD] - #mdwx https://t.co/RfkYLTBRHD,,Mon Aug 13 09:02:31 +0000 2018
jdhookjd,@SouthwestAir I didn’t complain when: (1) the flight for my family of 6 @ Fort Lauderdale was delayed for 5 hours; (2)our destination on that delayed flight was canceled without warning at final boarding and we were moved to new flight;,,Mon Aug 13 02:17:43 +0000 2018
hlthiskrieger,"RT @tjdelsanto: The National Weather Service has canceled the Flash Flood Warning for Bristol County, MA.    Still, watch for large puddles…","The National Weather Service has canceled the Flash Flood Warning for Bristol County, MA.    Still, watch for large puddles on area roadways in the Swansea, Somerset and Dighton area.",Sun Aug 12 22:28:05 +0000 2018
tjdelsanto,"The National Weather Service has canceled the Flash Flood Warning for Bristol County, MA.    Still, watch for large puddles on area roadways in the Swansea, Somerset and Dighton area.",,Sun Aug 12 22:24:59 +0000 2018
WSLS_Michaels,SEVERE T-STORM WARNING FOR ROANOKE HAS BEEN CANCELED. https://t.co/exu4FoCr3N,,Sun Aug 12 18:32:12 +0000 2018
KellyDWeather,Severe T’Storm warning has been canceled. #arwx https://t.co/Fi3V8JpgPR,,Sun Aug 12 17:52:54 +0000 2018
paulheaslet,RT @KATVToddYak: Severe thunderstorm warning canceled for Pulaski county #arwx,Severe thunderstorm warning canceled for Pulaski county #arwx,Sun Aug 12 17:50:11 +0000 2018
KATVToddYak,Severe thunderstorm warning canceled for Pulaski county #arwx,,Sun Aug 12 17:48:36 +0000 2018
charka123,"RT @charka123: Update: The line has weaken into a line of strong showers, NWS Sterling has canceled the warning.","Update: The line has weaken into a line of strong showers, NWS Sterling has canceled the warning.",Sun Aug 12 17:44:32 +0000 2018
charka123,"Update: The line has weaken into a line of strong showers, NWS Sterling has canceled the warning.",,Sun Aug 12 17:44:25 +0000 2018
redddzz__,Now my plans for tomorrow might be getting canceled like wtf because of a flood warning 🙄,,Sun Aug 12 16:02:33 +0000 2018
DameinEWoods,RT @MilekaLincoln: #TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHec…,"#TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHector is still a category 3 storm, but forecasters say it’s passing too far south of Hawaiʻi Island for major impact  https://t.co/q7tWmgpi4x (Image: @firebomb56) https://t.co/A6bzk41otM",Sun Aug 12 04:18:31 +0000 2018
Kathleen2444200,"RT @Sherry_Hughes: CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail…","CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail ongoing in some areas as cells rapidly move south &amp; east  @wcpo #Cincywx https://t.co/L7p1aSI5zs",Sat Aug 11 21:57:13 +0000 2018
WCPO,"RT @Sherry_Hughes: CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail…","CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail ongoing in some areas as cells rapidly move south &amp; east  @wcpo #Cincywx https://t.co/L7p1aSI5zs",Sat Aug 11 21:51:08 +0000 2018
ComedyPlugs,RT @ComedyPlugs: RT @Laughitupcc: Due to the severe storm warning ⚠️ Tonight’s show has been canceled..We apologize for any inconvenience t…,RT @Laughitupcc: Due to the severe storm warning ⚠️ Tonight’s show has been canceled..We apologize for any inconvenience this may have caused.,Sat Aug 11 21:50:47 +0000 2018
Barak_Shapiro,"CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail ongoing in some areas as cells rapidly move south &amp; east  @wcpo #Cincywx https://t.co/0aB7YSchRL",,Sat Aug 11 21:45:55 +0000 2018
Cincywxman,"CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail ongoing in some areas as cells rapidly move south &amp; east  @wcpo #Cincywx https://t.co/yL7BFGlBcO",,Sat Aug 11 21:45:49 +0000 2018
KetchmarkWCPO,"CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail ongoing in some areas as cells rapidly move south &amp; east  @wcpo #Cincywx https://t.co/fk32oTxLSP",,Sat Aug 11 21:45:41 +0000 2018
Sherry_Hughes,"CANCELED: Severe T'Storm Warning for Ohio, Boone &amp; Dearborn Co. Heavy rain, gusty winds, frequent lightning &amp; small hail ongoing in some areas as cells rapidly move south &amp; east  @wcpo #Cincywx https://t.co/L7p1aSI5zs",,Sat Aug 11 21:45:25 +0000 2018
ComedyPlugs,RT @Laughitupcc: Due to the severe storm warning ⚠️ Tonight’s show has been canceled..We apologize for any inconvenience this may have caused.,,Sat Aug 11 21:10:01 +0000 2018
btunno34,RT @Laughitupcc: Due to the severe storm warning ⚠️ Tonight’s show has been canceled..We apologize for any inconvenience this may have caus…,Due to the severe storm warning ⚠️ Tonight’s show has been canceled..We apologize for any inconvenience this may have caused.,Sat Aug 11 21:06:38 +0000 2018
Laughitupcc,Due to the severe storm warning ⚠️ Tonight’s show has been canceled..We apologize for any inconvenience this may have caused.,,Sat Aug 11 21:05:03 +0000 2018
bttmdaegu,I just canceled my therapy appointment to play fornite instead. But theres highkey a flood warning so my ass is not tryna get stuck in that,,Sat Aug 11 16:17:33 +0000 2018
loyj,@GreyhoundBus don't know how greyhound stays in business. Just canceled my bus with no warning to customers. No apology. Never use again.,,Sat Aug 11 10:24:56 +0000 2018
John8Wick5,RT @HMCEMA: The outdoor warning siren test scheduled for today had to be canceled just before time to conduct it. Storms with lightning dev…,The outdoor warning siren test scheduled for today had to be canceled just before time to conduct it. Storms with lightning developed in the county over the past 15 minutes. We do not want to create confusion as to the siren's meaning today.,Sat Aug 11 02:11:37 +0000 2018
laplatasar,"RT LaPlataCountyCO ""Flash flood warning canceled https://t.co/04HxGiDnZe""",,Sat Aug 11 01:09:10 +0000 2018
DurangoHerald,RT @LaPlataCountyCO: Flash flood warning canceled https://t.co/dSNDvMN3PE,Flash flood warning canceled https://t.co/dSNDvMN3PE,Sat Aug 11 01:07:11 +0000 2018
LaPlataCountyCO,Flash flood warning canceled https://t.co/dSNDvMN3PE,,Sat Aug 11 01:05:53 +0000 2018
KDKA,#WEATHER UPDATE: The flash flood warnings in Allegheny and Westmoreland counties have been canceled. The flash flood warning in Washington County expires at 7:30 p.m. https://t.co/R9PZqaNqUd #KDKAWx https://t.co/JSPo8h10ai,,Fri Aug 10 23:25:48 +0000 2018
Matt_EGphoto,.@NWSILN has canceled the severe thunderstorm warning for Fairfield and Hocking counties that was set to expire at 4:45 p.m. #egnow,,Fri Aug 10 20:37:09 +0000 2018
wkycweather,"UPDATE: Severe thunderstorm warning is canceled for Summit County, but continues for STARK COUNTY until 4:15 pm. #3weather",,Fri Aug 10 19:54:49 +0000 2018
asifuno,"Severe Thunderstorm Warning Canceled, But Rain Persists https://t.co/FK2vApC64I https://t.co/HNQlungQya",,Fri Aug 10 17:43:35 +0000 2018
arjp27,@AmericanAir parents flight canceled for “maintenance” with no prior warning and no refund. New flight now delayed for no reason. Unacceptably bad from #AmericanAirlines #FridayFeeling,,Fri Aug 10 17:30:30 +0000 2018
lakeviewvillage,"RT @Bella623: A WARNING
Don't let @PCFinancial mess you up like they did me.
Put a huge payment on my MC to take a trip
They lowered my cre…","A WARNING
Don't let @PCFinancial mess you up like they did me.
Put a huge payment on my MC to take a trip
They lowered my credit limit right after for almost that amount with no notice
Called &amp; they did NOT care. Canceled the card, but they wrecked my trip
Do not get a PC MC https://t.co/BGqG4AzsH2",Fri Aug 10 16:08:33 +0000 2018
KCHerbel,"RT @Bella623: A WARNING
Don't let @PCFinancial mess you up like they did me.
Put a huge payment on my MC to take a trip
They lowered my cre…","A WARNING
Don't let @PCFinancial mess you up like they did me.
Put a huge payment on my MC to take a trip
They lowered my credit limit right after for almost that amount with no notice
Called &amp; they did NOT care. Canceled the card, but they wrecked my trip
Do not get a PC MC https://t.co/BGqG4AzsH2",Fri Aug 10 16:02:04 +0000 2018
Lawfabex,"RT @Bella623: A WARNING
Don't let @PCFinancial mess you up like they did me.
Put a huge payment on my MC to take a trip
They lowered my cre…","A WARNING
Don't let @PCFinancial mess you up like they did me.
Put a huge payment on my MC to take a trip
They lowered my credit limit right after for almost that amount with no notice
Called &amp; they did NOT care. Canceled the card, but they wrecked my trip
Do not get a PC MC https://t.co/BGqG4AzsH2",Fri Aug 10 16:01:04 +0000 2018
Bella623,"A WARNING
Don't let @PCFinancial mess you up like they did me.
Put a huge payment on my MC to take a trip
They lowered my credit limit right after for almost that amount with no notice
Called &amp; they did NOT care. Canceled the card, but they wrecked my trip
Do not get a PC MC https://t.co/BGqG4AzsH2",,Fri Aug 10 16:00:54 +0000 2018
EmbEspNoruega,"⚠️#WARNING Check out your flight if you are travelling to or from Spain because @Ryanair has canceled 78 flights, a move that will affect 14,000 passengers, as it faces its biggest strike yet #ViajaSeguroMAEC ✈️

https://t.co/f92LQlvU1g https://t.co/xO3JXZX2Sv",,Fri Aug 10 11:15:01 +0000 2018
WISN12News,"Severe thunderstorm warning canceled for Dodge, Jefferson counties https://t.co/Iao9hgiPvH https://t.co/9URQ9cPrl8",,Fri Aug 10 10:45:20 +0000 2018
SunValleyNewsN1,The dust storm warning has been canceled. Now you need to watch out for flooded roads and heavy rain! https://t.co/O9CMANgl7q,,Fri Aug 10 07:12:50 +0000 2018
Zach_Mags13,"RT @Lexievigne: in 2009, Lady Gaga &amp; Kanye West had a co-headlining tour titled Fame Kills, the tour was canceled without warning before it…","in 2009, Lady Gaga &amp; Kanye West had a co-headlining tour titled Fame Kills, the tour was canceled without warning before it even started, Gaga canceled the tour the next day after Kanye interrupted Taylor Swift on stage 💀 https://t.co/utSwD4HL9r",Fri Aug 10 06:09:46 +0000 2018
WISN12News,"Severe thunderstorm warning canceled for Dodge, Jefferson counties https://t.co/ol7GJjwl3u https://t.co/AZPQdzzYOq",,Fri Aug 10 05:30:42 +0000 2018
WISN12News,"Severe thunderstorm warning canceled for Dodge, Jefferson counties https://t.co/vIvRjUouOt https://t.co/s9kZrWam7U",,Fri Aug 10 01:01:06 +0000 2018
michelecaron,RT @MilekaLincoln: #TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHec…,"#TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHector is still a category 3 storm, but forecasters say it’s passing too far south of Hawaiʻi Island for major impact  https://t.co/q7tWmgpi4x (Image: @firebomb56) https://t.co/A6bzk41otM",Thu Aug 09 23:47:58 +0000 2018
CandiceKing,Severe Thunderstorm Warning canceled for Rock County.,,Thu Aug 09 22:24:34 +0000 2018
CandiceKing,Severe Thunderstorm Warning canceled for Rock County @MyStateline,,Thu Aug 09 22:24:04 +0000 2018
RiseandClimbAC,Thurdsay August 9. Tonight's night climb has been canceled due to the severe thunderstorm warning.  We will open tomorrow at 10am.,,Thu Aug 09 21:59:10 +0000 2018
kfdinews,"The severe thunderstorm warning has been canceled for Wilson, Neosho, Woodson and Allen counties. The storm near Yates Center has weakened below severe limits.",,Thu Aug 09 21:41:51 +0000 2018
LawakuaKamahele,RT @StarAdvertiser: Tropical storm warning canceled as Hector passes south of Big Isle https://t.co/sVr6PWuc5H #Hawaii #BigIsland https://t…,Tropical storm warning canceled as Hector passes south of Big Isle https://t.co/sVr6PWuc5H #Hawaii #BigIsland https://t.co/6LfmOczjtc,Thu Aug 09 20:49:53 +0000 2018
808ninjacat,RT @MilekaLincoln: #TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHec…,"#TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHector is still a category 3 storm, but forecasters say it’s passing too far south of Hawaiʻi Island for major impact  https://t.co/q7tWmgpi4x (Image: @firebomb56) https://t.co/A6bzk41otM",Thu Aug 09 19:53:24 +0000 2018
AndyYoungFilm,@AMCTheatres I bought tickets to the Blindspotting screening at Promenade 16 and with zero warning y’all canceled it and were like “jk now you have Dog Days tickets!”?? Lost $5 of points getting a refund. Love A-List but y’all better not be moviepassin on me https://t.co/blSpzXwasd,,Thu Aug 09 18:59:41 +0000 2018
AudreyManaster2,RT @StarAdvertiser: Tropical storm warning canceled as Hector passes south of Big Isle https://t.co/sVr6PWuc5H #Hawaii #BigIsland https://t…,Tropical storm warning canceled as Hector passes south of Big Isle https://t.co/sVr6PWuc5H #Hawaii #BigIsland https://t.co/6LfmOczjtc,Thu Aug 09 17:55:01 +0000 2018
jillrbyrne,"@united you are the WORST airline! swore I’d never fly you again after many issues,but you fly direct Louisville-Chicago,you canceled AGAIN 2 flights, NO warning no acceptable https://t.co/SWCbJxnL6y I was smart &amp; canceled YOU &amp; took @SouthwestAir,the BEST",,Thu Aug 09 12:41:05 +0000 2018
wsoeorg,Hector passes Big Isle; storm warning canceled https://t.co/YI8Oyb6R4E,,Thu Aug 09 11:41:45 +0000 2018
mdsupresident,"RT @GeetaJnu: Save JNU convention going on in SSS3 after the admin @mamidala90  canceled our booking to SSS audi.  
This is a warning to th…","Save JNU convention going on in SSS3 after the admin @mamidala90  canceled our booking to SSS audi.  
This is a warning to the JNU Admin if you try to take away our right to protest we will make sure that every corner of our beloved university a Protest site. https://t.co/AwCx3gXTyn",Thu Aug 09 11:04:12 +0000 2018
hisgetawaycar,"RT @Lexievigne: in 2009, Lady Gaga &amp; Kanye West had a co-headlining tour titled Fame Kills, the tour was canceled without warning before it…","in 2009, Lady Gaga &amp; Kanye West had a co-headlining tour titled Fame Kills, the tour was canceled without warning before it even started, Gaga canceled the tour the next day after Kanye interrupted Taylor Swift on stage 💀 https://t.co/utSwD4HL9r",Thu Aug 09 09:15:55 +0000 2018
MarissaTorresTV,Lingering showers &amp; storms over Eastern end of Long Island. Earlier severe storm warning canceled around 3:45 https://t.co/nRkjJQBD5z,,Thu Aug 09 09:12:56 +0000 2018
mwolfe808,RT @MilekaLincoln: #TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHec…,"#TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHector is still a category 3 storm, but forecasters say it’s passing too far south of Hawaiʻi Island for major impact  https://t.co/q7tWmgpi4x (Image: @firebomb56) https://t.co/A6bzk41otM",Thu Aug 09 08:24:32 +0000 2018
KMthr,"RT @GeetaJnu: Save JNU convention going on in SSS3 after the admin @mamidala90  canceled our booking to SSS audi.  
This is a warning to th…","Save JNU convention going on in SSS3 after the admin @mamidala90  canceled our booking to SSS audi.  
This is a warning to the JNU Admin if you try to take away our right to protest we will make sure that every corner of our beloved university a Protest site. https://t.co/AwCx3gXTyn",Thu Aug 09 08:00:17 +0000 2018
mahanthanut,RT @MilekaLincoln: #TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHec…,"#TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHector is still a category 3 storm, but forecasters say it’s passing too far south of Hawaiʻi Island for major impact  https://t.co/q7tWmgpi4x (Image: @firebomb56) https://t.co/A6bzk41otM",Thu Aug 09 05:46:01 +0000 2018
ImaazadS,"RT @GeetaJnu: Save JNU convention going on in SSS3 after the admin @mamidala90  canceled our booking to SSS audi.  
This is a warning to th…","Save JNU convention going on in SSS3 after the admin @mamidala90  canceled our booking to SSS audi.  
This is a warning to the JNU Admin if you try to take away our right to protest we will make sure that every corner of our beloved university a Protest site. https://t.co/AwCx3gXTyn",Thu Aug 09 05:30:35 +0000 2018
DailyNewsNY,Storm warning canceled as Hurricane Hector moves south of Hawaii. Read more: https://t.co/JDn1gj1U9g https://t.co/xm62ZTOq0V,,Thu Aug 09 05:16:37 +0000 2018
EcoInternet3,Tropical storm warning for Big Island canceled as Hector stays south: WLOX https://t.co/fgYYZe009y #environment,,Thu Aug 09 04:27:03 +0000 2018
AlohaEvery1,RT @MilekaLincoln: #TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHec…,"#TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHector is still a category 3 storm, but forecasters say it’s passing too far south of Hawaiʻi Island for major impact  https://t.co/q7tWmgpi4x (Image: @firebomb56) https://t.co/A6bzk41otM",Thu Aug 09 04:16:09 +0000 2018
mwolfe808,RT @StarAdvertiser: Tropical storm warning canceled as Hector passes south of Big Isle https://t.co/sVr6PWuc5H #Hawaii #BigIsland https://t…,Tropical storm warning canceled as Hector passes south of Big Isle https://t.co/sVr6PWuc5H #Hawaii #BigIsland https://t.co/6LfmOczjtc,Thu Aug 09 03:45:20 +0000 2018
cardcounterswin,Tropical storm warning canceled as Hector passes south of Hawaii https://t.co/V3kGKITEeQ via @YouTube,,Thu Aug 09 02:54:38 +0000 2018
cardcounterswin,RT @MilekaLincoln: #TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHec…,"#TrackingHector UPDATE (8/8 at 12PM): @NWSHonolulu canceled the Tropical Storm Warning for Hawaiʻi County. #HurricaneHector is still a category 3 storm, but forecasters say it’s passing too far south of Hawaiʻi Island for major impact  https://t.co/q7tWmgpi4x (Image: @firebomb56) https://t.co/A6bzk41otM",Thu Aug 09 02:43:37 +0000 2018
alexolsen24,RT @MalikaDudley: TROPICAL STORM WARNING CANCELED FOR BIG ISLAND. #hector https://t.co/UjdvWUnJ00,TROPICAL STORM WARNING CANCELED FOR BIG ISLAND. #hector https://t.co/UjdvWUnJ00,Thu Aug 09 02:40:55 +0000 2018
thatmarigal,"My flight to Phoenix for tomorrow was canceled due to a flash flood warning and I would like to fight every one who said “don’t worry, it’s a DRY heat”",,Thu Aug 09 02:37:02 +0000 2018
Wild1041,Pink's issued a big ol' warning to paparazzi who've suggested that she canceled a string of concerts in Australia to take a beach vacation. https://t.co/VgCwsvqYFx,,Thu Aug 09 02:30:06 +0000 2018
