jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
mcjulie,In case you were  wondering https://t.co/3tf10TeRbK,,Sun Aug 19 01:34:05 +0000 2018
ResistanceEndor,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:33:56 +0000 2018
whocastillo,RT @margery: Please give a listen and RT to your followers. @realDonaldTrump must be removed from office ASAP. https://t.co/NdmMEdUnu6,Please give a listen and RT to your followers. @realDonaldTrump must be removed from office ASAP. https://t.co/NdmMEdUnu6,Sun Aug 19 01:33:45 +0000 2018
AmyGraruru,"Does my deluge of selfies come across as narcissism? I promise it’s a mix of narcissism and dealing with horrifying, horrifying dysphoria",,Sun Aug 19 01:33:29 +0000 2018
rayneeray,"The fact that I,,,,, will one day be,,,, a middle aged white woman is..... horrifying",,Sun Aug 19 01:33:21 +0000 2018
jailingtrump,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:33:07 +0000 2018
roseears,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 01:33:06 +0000 2018
InManilah,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:33:03 +0000 2018
solemio_x,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:32:57 +0000 2018
antypynky55,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:32:55 +0000 2018
pms221969,RT @CancelthisDamnT: @paulkrugman That is what I think. Had a hard time understanding why they are supporting him until I listened to https…,"@paulkrugman That is what I think. Had a hard time understanding why they are supporting him until I listened to https://t.co/vUJw0Xa6OU Still don't understand it 100%, but then I am not a power mad old white man.",Sun Aug 19 01:32:45 +0000 2018
gfdebearn,"greedy way and destroy the morality of all people.  They can be forgiven, but God and I will condemn them to a horrifying and painful fate that they will eternally regret and suffer if they do not convert.",,Sun Aug 19 01:32:34 +0000 2018
kelseasgr8,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:32:33 +0000 2018
mountie7376,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:32:30 +0000 2018
PantslessTim,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:32:21 +0000 2018
neilgofficial,The fact that we’ve reached a point in society where the president could be on tape saying the n word and it would change nothing is horrifying,,Sun Aug 19 01:32:15 +0000 2018
mxbonebeast,"RT @Soren_Ltd: Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a…","Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a deep knowledge of their work = totally fine.

Revealing a deep knowledge of their personal life = horrifying.",Sun Aug 19 01:32:15 +0000 2018
ndlerman,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:32:15 +0000 2018
XanWoodruff,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:32:14 +0000 2018
thrupennytears,"@markfollman He's a malignant narcissist (narcissistic psychopath)...so he is both unstable and malevolent...and is deteriorating, according to Dr. John Gartner of @duty2warn in this podcast from a month ago: https://t.co/FeJikaGkU8",,Sun Aug 19 01:32:10 +0000 2018
peacebang,@RevDaniel Horrifying,,Sun Aug 19 01:32:04 +0000 2018
kangxscz,very very horrifying breakfast experience sa chloe's bistro sa ariana hotel. ayieee.,,Sun Aug 19 01:32:04 +0000 2018
Languta,RT @uNdlunkulu_Xoli: Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity…,"Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity but they throw in jail students who were fighting for Free Education, the same Education the ANC promised people 😔

#KnowYourANC #FeesMustFall #MceboDlamini",Sun Aug 19 01:32:02 +0000 2018
judapeters,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:31:58 +0000 2018
LoriFre28469324,"RT @funder: Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s…","Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s mental state. It will make Trump go Trump-level crazy. Actually, on second thought, retweet it. #DworkinReport https://t.co/wklcHGfUJq",Sun Aug 19 01:31:56 +0000 2018
Saucegyal,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:31:54 +0000 2018
oxente_united,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:31:47 +0000 2018
njkujawa,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:31:20 +0000 2018
realEmmaDoodle,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:31:08 +0000 2018
slmgoldberg,"The graphics, btw, are horrifying. My kids will see the original years before this one.",,Sun Aug 19 01:31:05 +0000 2018
tricia4tweet,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:30:51 +0000 2018
1NeedleKnitting,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:30:51 +0000 2018
B_smith0445,@MLB Wow this new trailer for the nun is horrifying,,Sun Aug 19 01:30:49 +0000 2018
s__rev,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:30:33 +0000 2018
anyaspethmann,"I am indifferent to anti-monarchist but any guy who describes the Royal Family as “a ghastly bunch of arriviste Germans” is 10/10 marriage material.

It might be horrifying, and occasionally one might get locked in a tower, but it would be endlessly entertaining. https://t.co/7yt8mXFC8m",,Sun Aug 19 01:30:28 +0000 2018
bluewavebigly,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:30:14 +0000 2018
LoriFre28469324,"RT @funder: A psychologist spoke to me extensively about Trump’s mental state, and what he said is absolutely terrifying. No joke, Trump’s…","A psychologist spoke to me extensively about Trump’s mental state, and what he said is absolutely terrifying. No joke, Trump’s an actual sociopath. A monster. You have to hear my interview below with Dr. John Gartner. It’s a must listen. #DworkinReport
https://t.co/wklcHGfUJq",Sun Aug 19 01:30:03 +0000 2018
chock5089,RT @JeniZillOnley: https://t.co/zaGXjuAHhA,https://t.co/zaGXjuAHhA,Sun Aug 19 01:29:50 +0000 2018
beebityboobop,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:29:46 +0000 2018
Miguelho9,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:29:41 +0000 2018
bgsharpy,RT @_h_Dawg: This insanity is happening in my neighboring county &amp; it’s horrifying! The overwhelming majority of teachers don’t want this &amp;…,This insanity is happening in my neighboring county &amp; it’s horrifying! The overwhelming majority of teachers don’t want this &amp; shouldn’t have it forced on them. This is not the answer. Both Parkland &amp; Sante Fe had armed security onsite. We need #GunReformNow #Enough #NotOneMore https://t.co/S08xVK9WMN,Sun Aug 19 01:29:40 +0000 2018
gulpereels,something is making horrifying noises outside my window but I'm like too drunk to be horrified? the real horror movie experience,,Sun Aug 19 01:29:40 +0000 2018
Tralaririra,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:29:40 +0000 2018
saara_hypnosis,RT @Newsweek: These horrifying cakes look like human body parts https://t.co/GMIs0JfTmw,These horrifying cakes look like human body parts https://t.co/GMIs0JfTmw,Sun Aug 19 01:29:26 +0000 2018
Resist2k18,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:29:19 +0000 2018
phendricks71,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:29:02 +0000 2018
KarenSchuldt1,"She is using trump's go to move- GASLIGHTING! Trying to make the press &amp; citizens think they are ""weird"" &amp; crazy, when she &amp; this administration are the batshit crazy, horrifying, nightmarish, cruel, greedy, lying, morally-bankrupt, subhuman MONSTERS! Nice try. We're on to you!👹 https://t.co/LFE812QmeK",,Sun Aug 19 01:29:01 +0000 2018
MonaMdmeupanova,@Caring_Atheist HORRIFYING!! AND HE THINKS HE'S A CHRISTIAN.THIS IS NOT A FOLLOWER OF JESUS'S TEACHINGS.,,Sun Aug 19 01:28:58 +0000 2018
Cary_wh,@peterdaou @LynneAvVer The first article I read on this was questioning his motive. As if there’s any possible excuse to kill young children. Another horrifying example of not taking domestic violence seriously.,,Sun Aug 19 01:28:58 +0000 2018
asuiterclarke,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:28:51 +0000 2018
KarenSchuldt1,"@MSNBC She is using trump's go to move- GASLIGHTING! Trying to make the press &amp; citizens think they are ""weird"" &amp; crazy, when she &amp; this administration are the batshit crazy, horrifying, nightmarish, cruel, greedy, lying, morally-bankrupt, subhuman MONSTERS! Nice try. We're on to you!👹",,Sun Aug 19 01:28:42 +0000 2018
itsbangtanbxtch,this is horrifying https://t.co/eUmthgbotW,,Sun Aug 19 01:28:33 +0000 2018
LTgoldengurl,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:28:25 +0000 2018
BexGraham,"RT @tina_plunkett: Holy shit! 
The disgusting language &amp; names used on green mp Julie Ann Genter (about her going to give birth) is absolut…","Holy shit! 
The disgusting language &amp; names used on green mp Julie Ann Genter (about her going to give birth) is absolutely horrifying!
Seriously @nzherald @NZStuff sort your shit out. Delete block ban these trolls. It is vile.",Sun Aug 19 01:28:13 +0000 2018
waldo027,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:27:57 +0000 2018
drmav,RT @DavMicRot: ICE diverts resources from making US safe to being cruel. What makes them truly horrifying is that they will likely blindly…,"ICE diverts resources from making US safe to being cruel. What makes them truly horrifying is that they will likely blindly follow whatever cruelty Trump, Sessions, and Republicans think of next. https://t.co/eIF2Gzfcpa",Sun Aug 19 01:27:52 +0000 2018
hsmcnp,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 01:27:41 +0000 2018
MeLestation,This is horrifying and hysterical at the same time. #CiampaVsGargano #NXTTakeOver,,Sun Aug 19 01:27:16 +0000 2018
druser,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:27:12 +0000 2018
argusdog1206,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:27:09 +0000 2018
readergirl,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:27:07 +0000 2018
Chrisella,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:26:55 +0000 2018
VictoriaCerulli,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:26:54 +0000 2018
MediciSusan,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:26:48 +0000 2018
sunnylightmode,"@dantalione 100% UNDERSTAnDABLE needles are like. objectively horrifying i dont blame u
but i believe in u",,Sun Aug 19 01:26:42 +0000 2018
TADirector1,RT @yvonnerich9: @Qns_NY_Cnsvativ @poodlelove55 @KrisParonto Horrifying that American ambassadors deliberately killed in Benghazi he should…,@Qns_NY_Cnsvativ @poodlelove55 @KrisParonto Horrifying that American ambassadors deliberately killed in Benghazi he should be in jail for their deaths,Sun Aug 19 01:26:39 +0000 2018
Nikitaontop,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:26:36 +0000 2018
louis2nd,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:26:29 +0000 2018
boltgrrl,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:26:20 +0000 2018
Tiny1963,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 01:26:12 +0000 2018
Draco_Fenris,"when the thought of one of my OC's named jack having his own twitter might be horrifying cause hes nothing but a pervy self indulgent dragon. also he does kinky things...and likes all the bois, did i say horrifying? maybe interesting...",,Sun Aug 19 01:25:56 +0000 2018
JeremyKonyndyk,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:25:49 +0000 2018
WitWarrior,"RT @gorgewriter: “Absurd” and “horrifying”about do it for me. From the day he stole our highest office to now, the absurdities have multipl…","“Absurd” and “horrifying”about do it for me. From the day he stole our highest office to now, the absurdities have multiplied exponentially &amp; the horror hasn’t diminished for a second. He IS this nation’s singular historical absurdity in the most horrifying ways imaginable. https://t.co/sFINkmTZqk",Sun Aug 19 01:25:45 +0000 2018
MikaOwls,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:25:42 +0000 2018
SpinePainBegone,"Thread by @ThomasWictor: ""(1) Hat tip @EMG0709. This is horrifying but entirely believable. https://t.co/LxCIZ9FwKy… (2) In regard todmiral William McRaven, the wooden-faced leftist bureaucrat who wants Trump to revoke his security clearance so that […]"" https://t.co/oaSRV9X7Jv",,Sun Aug 19 01:25:35 +0000 2018
BegumMentalJaan,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:25:34 +0000 2018
kkbluefan,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:25:10 +0000 2018
hannahbfreeman,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:24:58 +0000 2018
Fire0cean,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:24:58 +0000 2018
K26dp,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:24:46 +0000 2018
MrRolwes,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:24:37 +0000 2018
katespinillo,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:24:26 +0000 2018
J_Ali8991,"RT @IndiaWilloughby: Been asked to Tweet this for a guy who lives nr me in Crouch End, who is walking his 4 Chihuahuas from Lands End to Jo…","Been asked to Tweet this for a guy who lives nr me in Crouch End, who is walking his 4 Chihuahuas from Lands End to John O’Groats. Doing it to raise awareness of a horrifying annual festival in South East Asia where dogs are boiled alive. Dreadful. #Dogs https://t.co/TplsET3lj0",Sun Aug 19 01:24:13 +0000 2018
JFMcIlvaine,@lbeckman @shannonrwatts The Quote might be horrifying  to you because you don't understand or appreciate how true it is.,,Sun Aug 19 01:24:06 +0000 2018
graceoflabrador,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 01:24:01 +0000 2018
SheraPrincessP,RT @jackie_handrick: This information is horrifying! I pray for your safety @Thomas1774Paine. I hope they dont target you next! Stay safe!…,This information is horrifying! I pray for your safety @Thomas1774Paine. I hope they dont target you next! Stay safe! https://t.co/A2oSW1wUA8,Sun Aug 19 01:23:58 +0000 2018
nohope2017,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:23:53 +0000 2018
pikiMIA,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:23:50 +0000 2018
NExpla,"@VeryLovingCat It is tragic, horrifying this happened, but just cause one dog did something wrong, means the whole species, and you can say a mass amount do..... But more people kill children then pitbulls do, so how would #humandropoff sounf to you",,Sun Aug 19 01:23:29 +0000 2018
GenocideSecret,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:23:23 +0000 2018
Ed6554933,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:23:15 +0000 2018
1212_ado,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 01:22:54 +0000 2018
toubkalman,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:22:51 +0000 2018
pollsstar,RT @DavMicRot: ICE diverts resources from making US safe to being cruel. What makes them truly horrifying is that they will likely blindly…,"ICE diverts resources from making US safe to being cruel. What makes them truly horrifying is that they will likely blindly follow whatever cruelty Trump, Sessions, and Republicans think of next. https://t.co/eIF2Gzfcpa",Sun Aug 19 01:22:50 +0000 2018
jes_notjessica,@pupsinhell THIS IS MORE HORRIFYING THAN EITHER CLAUDIA OR A FURBY ON THEIR OWN,,Sun Aug 19 01:22:46 +0000 2018
LeftCoastGPa,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:22:34 +0000 2018
digduga70,RT @buffgrl: This is probably the most horrifying and hilarious tweet thread I’ve read on Twitter. 😧😂 https://t.co/C5QxvEJWsG,This is probably the most horrifying and hilarious tweet thread I’ve read on Twitter. 😧😂 https://t.co/C5QxvEJWsG,Sun Aug 19 01:22:33 +0000 2018
BraunMath,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:22:28 +0000 2018
lapislazuwuli,horrifying https://t.co/2QKHxnYrOO,,Sun Aug 19 01:22:26 +0000 2018
12AndAHalfHours,@novias_info @ZellnerLaw @EFMoriarty @michellemalkin @lifeafterten @SadiesAngel208 @BerlySays1 @7pairsofpanties @51kikey @KimAnklin @koolieh Truly a horrifying display by KK and judge and others on prosecution side,,Sun Aug 19 01:22:22 +0000 2018
GrievingAtheist,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:22:12 +0000 2018
TamiPaul11,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:22:09 +0000 2018
