SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
israabiii,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 19:51:27 +0000 2018
zach_ehansen,"Pouring rain, thunder and lightning just began in Midtown https://t.co/enBqVf8tNO",,Sat Aug 18 19:51:08 +0000 2018
Shannon14076335,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 19:51:08 +0000 2018
selsbreathin,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:50:34 +0000 2018
mckinleystv,"RT @SheliaOConnor: It is POURING rain at @SixFlags right now. @LaurenScharfTV, @mckinleystv, and I along with some of our friends are patie…","It is POURING rain at @SixFlags right now. @LaurenScharfTV, @mckinleystv, and I along with some of our friends are patiently waiting for it to pass! We’re ready for some more roller coasters!! https://t.co/6Loh9bFBah",Sat Aug 18 19:50:00 +0000 2018
mostsbutera,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:48:39 +0000 2018
wileywordsmyth,It's pouring rain in #Galway but we're safe and dry in @taaffesbar. https://t.co/6bPEG9JXYt,,Sat Aug 18 19:48:04 +0000 2018
EVERYTlMEARIANA,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:47:35 +0000 2018
crankysolicitor,"RT @seanrukky: @crankysolicitor She's so beautiful, I wanna make babies with her and kiss her hard in the pouring rain.","@crankysolicitor She's so beautiful, I wanna make babies with her and kiss her hard in the pouring rain.",Sat Aug 18 19:47:30 +0000 2018
seanrukky,"@crankysolicitor She's so beautiful, I wanna make babies with her and kiss her hard in the pouring rain.",,Sat Aug 18 19:46:51 +0000 2018
ankitmehta1996,RT @adgpi: #Update #KeralaFloods2018 Column of 44 Field Regiment  constructed foot bridge at area Padikkad from local resources. In heavily…,#Update #KeralaFloods2018 Column of 44 Field Regiment  constructed foot bridge at area Padikkad from local resources. In heavily pouring rain the construction was completed. We are at it #OpMadad #KeralaFloodRelief https://t.co/dKRf3zGe9S,Sat Aug 18 19:46:09 +0000 2018
SheliaOConnor,"It is POURING rain at @SixFlags right now. @LaurenScharfTV, @mckinleystv, and I along with some of our friends are patiently waiting for it to pass! We’re ready for some more roller coasters!! https://t.co/6Loh9bFBah",,Sat Aug 18 19:46:09 +0000 2018
SheItonLyrics,"Every time I hear that song, I'm standing in the pouring rain, On your front lawn and oo oo ooo",,Sat Aug 18 19:45:16 +0000 2018
WFLADan,Update: apparently my last pic was just rain. Now it’s pouring in Nashville. #Bucs @WFLA https://t.co/SoRmi4twzQ,,Sat Aug 18 19:45:13 +0000 2018
nelroy78,Now I finally get to go to the #ALWS18 and it’s pouring down rain.,,Sat Aug 18 19:44:47 +0000 2018
I_luv_my_Braves,Off to the @Braves game in the pouring rain https://t.co/zTNCAcXTYL,,Sat Aug 18 19:43:59 +0000 2018
Kylie60380452,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 19:43:38 +0000 2018
b0nnieblair,Get to Six Flags... it immediately starts pouring rain 🤣 Sounds about right.,,Sat Aug 18 19:41:57 +0000 2018
_shervzOG,You’re my sunshine in the rain when it’s pouring,,Sat Aug 18 19:41:14 +0000 2018
maggie244687,I’ve never been more ready to stand in the pouring rain https://t.co/CqqmJDhGMF,,Sat Aug 18 19:37:57 +0000 2018
ItsMe_NotYu,When she started singing it too my eyes started raining. Not like pouring down but it was a light rain... more than a drizzle. https://t.co/zMgnSROd8H,,Sat Aug 18 19:37:49 +0000 2018
gainer_77,This beauty was worth stopping in the pouring rain to snap a picture of. #McLaren #nicecar #sportscar #supercar #westongolfclub @ The Weston Golf &amp; Country Club Limited https://t.co/WV6j18AlKS,,Sat Aug 18 19:37:48 +0000 2018
JimenaRobless,you should come and take a walk in the wild side let me fuck you hard in my pouring rain✨,,Sat Aug 18 19:37:36 +0000 2018
MariaP1400,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:36:50 +0000 2018
MelNichele,Just went i wanted to leave my house it started pouring down rain ...that’s definitely another sign telling me to stay home today.,,Sat Aug 18 19:36:42 +0000 2018
BillieN71,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 19:34:55 +0000 2018
iKristin04,"My favorite weather right here. Pouring down rain, lightning and thunder ⛈ https://t.co/pkpz32QUBj",,Sat Aug 18 19:32:50 +0000 2018
graigbansek,"RT @CHSRaiderBand: Despite the pouring rain, the Raider Band had a great performance at Cedar Point yesterday. Excellent job everyone! http…","Despite the pouring rain, the Raider Band had a great performance at Cedar Point yesterday. Excellent job everyone! https://t.co/Ap6kwxAYeo",Sat Aug 18 19:32:00 +0000 2018
TikinaLenka2,RT @Indiamining: The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#…,The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#RestartMining @My_Goa_ #Goa #GoaNeedsYourAttention @goacm @PMOIndia @manoharparrikar #GoansFightsForSurvival #GoansOnDharna #OrdinanceForMiningRestart,Sat Aug 18 19:31:56 +0000 2018
ManthaCasey,"-survived off of nothing but caffeine 
-watched Hulu in Gendlers &amp; still failed
-cried during a presentation 
-went to professors crying 
-almost passed out at the rec center 
-walked from the library, then the registrar, then Stevens in the pouring rain with no umbrella/hood",,Sat Aug 18 19:30:24 +0000 2018
memoirsofswift,COME TAKE A WALK ON THE WILD SIDE LEMME KISS YOUR HARD IN THE POURING RAIN YOU LIKE YOUR GIRLS INSANE https://t.co/XQ9Pl8dOVQ,,Sat Aug 18 19:28:37 +0000 2018
columbiaguard,"RT @CHSRaiderBand: Despite the pouring rain, the Raider Band had a great performance at Cedar Point yesterday. Excellent job everyone! http…","Despite the pouring rain, the Raider Band had a great performance at Cedar Point yesterday. Excellent job everyone! https://t.co/Ap6kwxAYeo",Sat Aug 18 19:28:32 +0000 2018
happyarianaa,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:27:05 +0000 2018
robrod19,Only in Florida do u wear sunglasses while driving in the pouring rain .😎😂,,Sat Aug 18 19:26:25 +0000 2018
MegMerelda,Of course it starts pouring when i leave work! Couldnt stay for the party i got #adulting to do #woeisme seriously over all this rain 🌧 its never ending #sadface https://t.co/9htTikVXzx,,Sat Aug 18 19:26:11 +0000 2018
calling12001,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 19:24:46 +0000 2018
LtGir,"""I will work this body, I will burn this flame, in the dead of night and in the pouring rain. Yeah I'm a workaholic, and I swear I swear, Yeah one day I will beat you fair and square.… https://t.co/FRq4tLvXAU",,Sat Aug 18 19:24:05 +0000 2018
borderlineoff,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:23:26 +0000 2018
MrsGhostwriter,"All I want is sunshine days with warm summer nights, but, all it's been is thunderstorms, lightning, pouring rain and Fall nights; this weather is no good for me nor has it been to me... 
~SunniyaLA👑💋",,Sat Aug 18 19:22:15 +0000 2018
chrispychicken3,Pouring down rain.,,Sat Aug 18 19:19:45 +0000 2018
DrJenFreed,SADNESS is the rain pouring on a field of self compassion https://t.co/yensIBMKqB,,Sat Aug 18 19:19:26 +0000 2018
TahaGazzaz,Rain is pouring 🌧️🌧️🌧️,,Sat Aug 18 19:18:32 +0000 2018
CHSRaiderBand,"Despite the pouring rain, the Raider Band had a great performance at Cedar Point yesterday. Excellent job everyone! https://t.co/Ap6kwxAYeo",,Sat Aug 18 19:18:00 +0000 2018
buttyaeesh,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:17:07 +0000 2018
DrBlueShades20,"@kaylaaabeannn I wish I could. The dog and cat destroyed the living room before I went to work, the dog didn’t wanna come in, I had to drive in the pouring rain, I’m in a lot of pain, I’d had shit thrown at me, people bitching, and I’m sleepy as hell. I need a nap 😭",,Sat Aug 18 19:17:00 +0000 2018
0_FcksGiven,I get in the salon after 1 and the sun was beaming.. I about to leave after 3 and the rain pouring 🤷🏾‍♀️,,Sat Aug 18 19:16:16 +0000 2018
jakimes,"pouring metal with Bowie &amp; heavy rain in the background makes for a pretty great saturday
.
.
.
#kimesart #castaluminum #castart #davidbowie #rain #hammertime #sculpture @ Kimes Sculpture https://t.co/Tveo1nYTPD",,Sat Aug 18 19:15:56 +0000 2018
Yvesiff,"You're the coffee that I need in the morning ,You're my sunshine in the rain when it's pouring ,Won't you give yourself to me
Give it all.",,Sat Aug 18 19:15:33 +0000 2018
Badaab_,How I feel about cyclists wearing their Lance Armstrong outfits and being in the way here.  Was hilarious seeing them all caught in the pouring rain a few moments ago. https://t.co/jbS8UXpfQM,,Sat Aug 18 19:14:38 +0000 2018
destinymarieb99,"Deadass... no joke, literally just finished cleaning my car, like deep cleaning it... as soon as i walk in the house to take stuff in, i come back out and ITS FUCKING POURING RAIN",,Sat Aug 18 19:13:34 +0000 2018
tuscweather,"Light Rain in Tuscaloosa, AL. It's raining, it's pouring...",,Sat Aug 18 19:13:10 +0000 2018
seeds0fhate,it’s pouring rain here and I can hear it against my windows I’m so at ease,,Sat Aug 18 19:11:11 +0000 2018
noice2020,RT @minarenny: A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he…,"A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he’s a hybrid, which unleashes a whole new set of problems—including the reason for Jungkook’s distrust. https://t.co/fC3ErMRyRz",Sat Aug 18 19:10:32 +0000 2018
bitch_plz16,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:09:40 +0000 2018
LexiNichole423,@bananasplitney @LamboKody Us that day it was pouring down rain and we still went to target 😂😂,,Sat Aug 18 19:09:00 +0000 2018
_Gaby_Gonzalez,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 19:08:46 +0000 2018
GAMBIN0_GIRL225,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 19:07:55 +0000 2018
klia00,RT @keanuthings: keanu reeves after riding his motorcycle in the pouring rain https://t.co/EDnpQMAs6K,keanu reeves after riding his motorcycle in the pouring rain https://t.co/EDnpQMAs6K,Sat Aug 18 19:03:15 +0000 2018
skeletomes,listening to the rain pouring down while i read and drink a hot mocha under a pile of blankets...….fall aesthetic,,Sat Aug 18 19:00:38 +0000 2018
megh93,"It’s POURING out, wow. We haven’t had rain like this in a while 😳☔️",,Sat Aug 18 19:00:14 +0000 2018
madison_cottner,"RT @MrMoeOthman: It was sunny all day. Not 1 cloud in the sky. 

So I decide to put on my speedo (I used to swim professionally, don’t judg…","It was sunny all day. Not 1 cloud in the sky. 

So I decide to put on my speedo (I used to swim professionally, don’t judge me) 

And go out for a tan (yes arabs can tan too)

The moment I step out BOOM ⚡️

Major thunderstorm warnings all over the place &amp; it starts pouring rain",Sat Aug 18 18:59:37 +0000 2018
CaseyTelevision,Oh god. Its pouring. I'm wearing flip flops. I didnt know it was gonna rain. Oh god. Oh jeez. My foots are gonna get all wet. Oh gosh.,,Sat Aug 18 18:58:35 +0000 2018
MissToniManning,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 18:58:18 +0000 2018
raysrugby,Soooo it's now pouring rain in Halifax... not even the commentary booth is safe.,,Sat Aug 18 18:57:31 +0000 2018
iagocattete,"RT @mateusreverso: Eu e @iagocattete nos role: I KNOW YOUR EYES IN THE MORNING SUN
I FEEL YOU TOUCH ME IN THE POURING RAIN https://t.co/2FE…","Eu e @iagocattete nos role: I KNOW YOUR EYES IN THE MORNING SUN
I FEEL YOU TOUCH ME IN THE POURING RAIN https://t.co/2FEZBEFG83",Sat Aug 18 18:54:49 +0000 2018
Caliadne,Made it to PEI. It's pouring rain and freezing cold 😐,,Sat Aug 18 18:54:40 +0000 2018
SoNotAcceptable,"It is absolutely POURING outside, and I'm loving every second of it! YAAAS. Rain on the inlaws parade! ..wut? Uh.. I mean... this is so peaceful.. yeah. That's totally what I meant. 😐😇",,Sat Aug 18 18:54:09 +0000 2018
xJWgirl,"Come on take a walk on the wild side, let me kiss you hard in the pouring rain.",,Sat Aug 18 18:52:52 +0000 2018
seojohnncts,"RT @EunwooSmiling: 『♡』 —   “you are the coffee that i need in the morning, you are my sunshine when the rain is pouring”

✧*｡☽࿐ ꒰ #차은우͙ ͙꒱～…","『♡』 —   “you are the coffee that i need in the morning, you are my sunshine when the rain is pouring”

✧*｡☽࿐ ꒰ #차은우͙ ͙꒱～♡ https://t.co/zMeoGppVV9",Sat Aug 18 18:52:38 +0000 2018
moticon,"It's a bit of a walk from the front gate to the new bus plaza! If the sun is beating down, or the rain is pouring from on high then it's going to seem really long! https://t.co/9CnaVRrLCG",,Sat Aug 18 18:52:16 +0000 2018
cal43221,Every time I practice the second page of Chopin’s “raindrop prelude” the clouds roll in &amp; it starts pouring! I sacrificed a little practice so we could all squeeze in some rain-free canvassing for @OHDems @SherrodBrown @RichCordray @Rick_Neal @Russo4Ohio @KathleenClyde #OHKnocks https://t.co/DsF01cDNMg,,Sat Aug 18 18:52:12 +0000 2018
blowduasmind,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 18:51:00 +0000 2018
mochi255,it's pouring rain outside 👌🏻💕,,Sat Aug 18 18:49:02 +0000 2018
thewilliambaker,@WSOpen hey i had tickets today and it started pouring down rain can i use my tickets later in the week for an alternate day?,,Sat Aug 18 18:46:53 +0000 2018
alabamamangreg,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:46:32 +0000 2018
susansilver1980,Years ago #HillaryClinton and #BarackObama were silent when people waited hours in the pouring rain. They ignored the broken voting machines.  There were voting rights violations. Silence was ignorance https://t.co/Cs5Afx7y5o,,Sat Aug 18 18:46:14 +0000 2018
melanin_youngin,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 18:45:39 +0000 2018
brutan77,@JuliaStoll6 Either is waiting in the Homegoods parking lot waiting on my girls in the pouring rain!,,Sat Aug 18 18:45:22 +0000 2018
AlanMcla1,@pimpmytweeting It was pouring with rain when I left this morning ....,,Sat Aug 18 18:45:20 +0000 2018
fj9201,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 18:44:20 +0000 2018
mwestrap,Locked my brother and his xbox outside in the pouring rain https://t.co/yPFIQTr8jK,,Sat Aug 18 18:44:10 +0000 2018
ncmike16,@calhouns @VolNetwork_IMG Love those ribs!  My favorite memory is my freshman year we beat FL in the pouring rain.  That’s back when their bench was in front of the student section.  Spurrier must have thrown his visor to the ground over 50 times!,,Sat Aug 18 18:43:28 +0000 2018
AugustaRayMusic,"HaveLOCK? More like HaveROCKKKKKK!!!🖤🤘🏻
Thank y’all for standin out in the pouring rain to party with me yesterday☔️💦 You made my @HCJamboree debut so special❤️🖤 https://t.co/mmzgdrd07W",,Sat Aug 18 18:38:01 +0000 2018
RCREAZO,"I know your eyes in the morning sun
I feel you touch me in the pouring rain
And the moment that you wander far from me
I want to feel you in my arms again
And you come to me on a summer breeze
Keep me warm in your love, then you softly leave
And it's me you need to show",,Sat Aug 18 18:36:24 +0000 2018
fetchfranta,it just started pouring rain pls don’t make this a repeat of the raleigh ptx show,,Sat Aug 18 18:36:16 +0000 2018
tamijeanpotts,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:36:05 +0000 2018
lenazzzzzzzzzz,"Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane",,Sat Aug 18 18:35:36 +0000 2018
healthychic40,Me and my mini are soaking wet after watching his oldest brother plays soccer and the POURING rain! #AdvocareFamily #MLSSponsor https://t.co/PoPn7mgmG5,,Sat Aug 18 18:34:45 +0000 2018
WorldWarEruri,"Me last night: pulls out of the parking garage, blocks half of Essex street and cuts off three cars to make a left turn in the pouring rain
Husband: omg your balls are bigger than mine.",,Sat Aug 18 18:33:20 +0000 2018
itsbillyd,RT @boston_camera: Southeast Asian Water Festival in #Lowell MA is rained out right now! Thunder storms and pouring rain! #southeastasianwa…,Southeast Asian Water Festival in #Lowell MA is rained out right now! Thunder storms and pouring rain! #southeastasianwaterfestival https://t.co/0xEh0SET5Y,Sat Aug 18 18:30:54 +0000 2018
KGuillen212,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:29:29 +0000 2018
riley129130,hey loves! how is everyone? soccer was tough it started pouring and i got all muddy cause im the goalie and i have to dive for the ball and shit so yeah id rather not play in the rain again😅😂 but enough about my day how has ya'lls been?,,Sat Aug 18 18:29:21 +0000 2018
rmstark,Started pouring on my run so I randomly ducked into a shop on the nearest street corner to escape the rain for a bit. Entered a labyrinth of old books. 😍 Never know where a run will take you. https://t.co/XfJ6zQ1eaD,,Sat Aug 18 18:28:53 +0000 2018
YankeesGirl1126,I think @FFDP is bring rain with them everywhere they go 😂 getting ready to head to Mansfield and get this alert as it starts pouring buckets https://t.co/lKWn3x2cAZ,,Sat Aug 18 18:28:32 +0000 2018
Aleks666Filipic,"IT'S CHAOS IN THE @continentaltire Sportscar Challenge, the rain pouring down and cars still out on slicks, DRAMAAAA #CTSC",,Sat Aug 18 18:26:35 +0000 2018
Nmharley2,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:25:39 +0000 2018
RevenuConsultnt,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:24:02 +0000 2018
jellikackson,"Our car broke down in the middle of the road, in the pouring rain, with traffic coming both ways. My bro and I had to jump out and push it off the road while trying not to get hit by a car. Scariest shit ever. I'm over our stupid PT Loser. They are garbage vehicles omg.",,Sat Aug 18 18:23:08 +0000 2018
maria_merson,"RT @CallmePRUKSA: YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and o…","YOU make my heart feel like it’s summer when the rain is pouring down ~ 🎵💕

to someone who always be my special one and only :) 
#KornBNK48 https://t.co/r8cqliPcAd",Sat Aug 18 18:23:04 +0000 2018
Wessammagdy2,Rain came pouring down when I was drowning that's when I could finally breathe,,Sat Aug 18 18:21:43 +0000 2018
witchylou02,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:20:56 +0000 2018
tswiftornothing,"HOW’S IT BEEN FOUR WEEKS SINCE I MET T AND THEN SHE SANG FEARLESS IN THE POURING RAIN AND SAID “IN NEW JERSEY NOW CAPTURE IT REMEMBER IT” AND I DIED, EXPLAIN??",,Sat Aug 18 18:20:23 +0000 2018
GraminK,"Son: So I'm riding in Utah and it starts to rain. All of a sudden the a**hole of the Devil opens up and it starts pouring, 50 MPH winds and hail. 

Me:  Diarrhea, huh?

Son: Yeah and me without toilet paper.",,Sat Aug 18 18:20:22 +0000 2018
isolat3dskat3r,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 18:20:17 +0000 2018
lmcamp12,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:20:05 +0000 2018
Nameny_name,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 18:19:10 +0000 2018
sowhatsgoodb,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 18:17:53 +0000 2018
MoonwalkerofMJJ,"""Woman in red""
there she stood in the pouring rain
underneath her red umbrella 
wearing a red rain coat
she glanced over her shoulder
she took me in all at once 
With dark brown eyes like… https://t.co/rspftI42Nr",,Sat Aug 18 18:14:00 +0000 2018
updxtinggrande,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 18:13:50 +0000 2018
abigaildmuir,on the way to the U20 @RugbyCanada  game in the pouring rain 😂❤️,,Sat Aug 18 18:13:14 +0000 2018
GTMeyer13,When it’s pouring rain and still 90° out but you don’t have AC so you have to either get rained on or die from heat exhaustion &gt;&gt;&gt;&gt; hahahahahahahahahaha,,Sat Aug 18 18:11:18 +0000 2018
MEDAXJOSE,"RT @Devin_Heroux: Absolutely pouring again in Williamsport. 

We could be in for more delays today. I’ll keep you posted... this is the wor…","Absolutely pouring again in Williamsport. 

We could be in for more delays today. I’ll keep you posted... this is the worst of the rain so far. @cbcsports",Sat Aug 18 18:10:41 +0000 2018
luvramz,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 18:09:37 +0000 2018
sunnysanvers,i love (❤️) my girlfriend. she’s coming to a jazz festival in the pouring rain to see me before i go out of the country,,Sat Aug 18 18:08:47 +0000 2018
Kens__17,"RT @1Pynkee: Pouring rain, powerful lightning, roaring thunder... nothing like a beautiful storm to bring out this witch","Pouring rain, powerful lightning, roaring thunder... nothing like a beautiful storm to bring out this witch",Sat Aug 18 18:07:48 +0000 2018
adulting_dis_fe,"I don’t mind spending everyday, out on your corner in the pouring rain https://t.co/jeDG6zAy9y",,Sat Aug 18 18:07:43 +0000 2018
OGJayBaby,RT @__chaniahh: “you’re the coffee that i need in the morning... you’re my sunshine in the rain when it’s pouring” ❤️😭😭 https://t.co/4IA9uV…,“you’re the coffee that i need in the morning... you’re my sunshine in the rain when it’s pouring” ❤️😭😭 https://t.co/4IA9uV1BGf,Sat Aug 18 18:06:13 +0000 2018
iammaxray,@sarahsherpa @kktamulis In 2008 at the NW Arkansas Tournament I stood and watched Erica Blassburg hit on the range for over an hour in the pouring rain. I figured if she was dedicated enough to hit balls in the rain I was dedicated enough to watch. Tragically she died a few months later.,,Sat Aug 18 18:05:48 +0000 2018
tinafderosa,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 18:04:57 +0000 2018
im_RICHbxtch89,If you know me then you know I HATE getting wet.. I had to get out the pouring rain to get Phallon! That’s unconditional LOVE 🤗 tell me what a Mother wouldn’t do 😂,,Sat Aug 18 18:03:52 +0000 2018
just_shosho,"RT @__Lillyohavna: @just_shosho You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring❤️","@just_shosho You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring❤️",Sat Aug 18 18:02:21 +0000 2018
Sal_The_Rattler,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 18:01:42 +0000 2018
