CmCristy53,RT @Marebear1472: @paxton Is the shooter in custody?,@paxton Is the shooter in custody?,Sun Aug 19 15:41:13 +0000 2018
SueMattlage,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:17:39 +0000 2018
SihabBD,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:16:13 +0000 2018
Christi65934638,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:14:13 +0000 2018
BASEDMICHUL,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:13:16 +0000 2018
GoodDayFox4,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:12:55 +0000 2018
FOX4,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:12:52 +0000 2018
RickSmithFox4,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:12:48 +0000 2018
FOX4Terry,"#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",,Fri Aug 17 09:12:33 +0000 2018
YRN_Shooter,"RT @KissMiAdidas: FBI Ten Most Wanted Fugitive Antwan Mims is back in custody in Michigan. 

Watch to the end 😂😂 https://t.co/TNbU9dDaRk","FBI Ten Most Wanted Fugitive Antwan Mims is back in custody in Michigan. 

Watch to the end 😂😂 https://t.co/TNbU9dDaRk",Thu Aug 16 23:54:50 +0000 2018
tcarmistead,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 22:18:27 +0000 2018
adam93488413,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 22:08:03 +0000 2018
ACNamlik,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 22:02:15 +0000 2018
CattyScatbrat,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 21:51:59 +0000 2018
redhead57,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 19:56:22 +0000 2018
CobaltGuy1,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 19:30:55 +0000 2018
thumperalpha,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 18:22:08 +0000 2018
Jc888J,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 17:46:06 +0000 2018
Crazyparklady1,"RT @velvethammer: @AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally,…","@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",Thu Aug 16 16:58:59 +0000 2018
velvethammer,"@AmyMek Migrant Who Gunned Down Denver Cop On 8/9/18 Had Been Freed by Judge
Khamasi came to the U.S. from Iraq legally, but has a “lengthy criminal  record.” He was in federal custody awaiting deportation in 2016, but an  immigration judge halted his deportation
https://t.co/D7KQWrHVNo",,Thu Aug 16 15:05:10 +0000 2018
VentonBlandinTV,UPDATE: A Mercy Hospital spokesman tells @KMOV the 9:15P call for an active shooter was a false alarm. He &amp; police said someone in a police pursuit called the hospital to create a diversion to distract officers. Law enforcement has the man in custody. #ItsAllInANightsWork https://t.co/B6CiONdOQB,,Thu Aug 16 03:47:13 +0000 2018
belden_laura,"@thescoop_STEEVE @TheScoop_US How about Judge Sarah Backus of NM releasing five adults from custody on a signature bond after 11 emaciated children and one dead child were found in their school shooter training compound. Of course, the fact that they are Muslim should not be taken into account.",,Wed Aug 15 18:18:46 +0000 2018
DerwinLGray,RT @CarolineHicksTV: BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He…,BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He was responding to suspicious person call when shooter opened fire in parking lot of KM Auto Brokers. Deputy fired 1 round back but didn’t hit shooter @WBTV_News https://t.co/B2mIjonc4h,Wed Aug 15 10:25:49 +0000 2018
valentin10,A shooting at a Walmart north of Philadelphia wounded at least five people including a customer Tuesday evening before the shooter... https://t.co/8lTwzcj9Sy,,Wed Aug 15 10:24:36 +0000 2018
LexisTV,RT @CarolineHicksTV: BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He…,BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He was responding to suspicious person call when shooter opened fire in parking lot of KM Auto Brokers. Deputy fired 1 round back but didn’t hit shooter @WBTV_News https://t.co/B2mIjonc4h,Wed Aug 15 09:24:49 +0000 2018
WBTV_News,RT @CarolineHicksTV: BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He…,BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He was responding to suspicious person call when shooter opened fire in parking lot of KM Auto Brokers. Deputy fired 1 round back but didn’t hit shooter @WBTV_News https://t.co/B2mIjonc4h,Wed Aug 15 09:12:14 +0000 2018
JohnSparksWBTV,RT @CarolineHicksTV: BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He…,BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He was responding to suspicious person call when shooter opened fire in parking lot of KM Auto Brokers. Deputy fired 1 round back but didn’t hit shooter @WBTV_News https://t.co/B2mIjonc4h,Wed Aug 15 08:02:13 +0000 2018
CarolineHicksTV,BREAKING: 1 male suspect  in custody after found in Harrisburg. Deputy shot in cheek &amp; thigh is expected to be OK. He was responding to suspicious person call when shooter opened fire in parking lot of KM Auto Brokers. Deputy fired 1 round back but didn’t hit shooter @WBTV_News https://t.co/B2mIjonc4h,,Wed Aug 15 07:32:51 +0000 2018
connieglbert,"At least 5 shot inside Philadelphia-area Walmart, suspect in custody, investigators say A shooting at a Walmart north of Philadelphia wounded at least five people including a customer Tuesday evening before the shooter apparently escaped from the store -- and crashed a getaw…",,Wed Aug 15 07:01:41 +0000 2018
aria_ahrary,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 06:00:25 +0000 2018
patlks5757,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 05:56:31 +0000 2018
Rurba002,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 03:59:52 +0000 2018
soaprookie,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 02:58:48 +0000 2018
blondie1483,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 02:50:42 +0000 2018
MaxineSykes,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 02:34:57 +0000 2018
rebellegrrl,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 02:33:04 +0000 2018
SocialIssueNews,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 02:30:16 +0000 2018
Anna_Christinaa,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 02:15:13 +0000 2018
btauzin38,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 02:09:07 +0000 2018
todd1648,"RT @BlueWalkPoconos: Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://…","Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",Wed Aug 15 01:57:49 +0000 2018
ChaunceyBob,"RT @BlueWalkPoconos: Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://…","Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",Wed Aug 15 01:53:02 +0000 2018
PamD63,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:43:10 +0000 2018
Robertbrown78,"#003

Black Male Shot In The Torso 7059 South Jeffery Blvd

one witness claims the shooter came out of the Jeffery Pub and shot the ""victim"". Possibly Could Be In Custody.

17 Minutes Ago.",,Wed Aug 15 01:39:33 +0000 2018
CallingUOut7,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:39:19 +0000 2018
BrownDykeman,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:38:46 +0000 2018
LindaLeeKing,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:38:13 +0000 2018
BSkylstad,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:36:52 +0000 2018
liberal_maurice,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:32:37 +0000 2018
GFO1025,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:31:04 +0000 2018
hogasean,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:29:22 +0000 2018
KYWNewsradio,RT @MicDougherty: Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t…,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,Wed Aug 15 01:28:35 +0000 2018
MicDougherty,Two in custody. Five hurt as multiple rounds are fired during active shooter situation at Walmart in Cheltenham https://t.co/JrnNvIjW3s,,Wed Aug 15 01:28:27 +0000 2018
jeffkiser10,"what color was the shooter. he could'nt have been white or you would sayAt least 3 shot inside Philadelphia-area Walmart, suspect in custody, investigators say https://t.co/XbRmxqfqw5 #FoxNews",,Wed Aug 15 01:11:52 +0000 2018
SharonJ68371165,"RT @BlueWalkPoconos: Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://…","Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",Wed Aug 15 01:10:52 +0000 2018
Suzuavenue,"RT @BlueWalkPoconos: Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://…","Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",Wed Aug 15 01:03:13 +0000 2018
MikeSan39117406,"RT @BlueWalkPoconos: Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://…","Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",Wed Aug 15 00:44:02 +0000 2018
outcold1,"RT @BlueWalkPoconos: Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://…","Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",Wed Aug 15 00:43:39 +0000 2018
tobeme56,"RT @BlueWalkPoconos: Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://…","Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",Wed Aug 15 00:42:36 +0000 2018
BNNnews,"Active Shooter - Wyncote, PA: U/D PD has 1 male &amp; 1 female in custody. SWAT still working on clearing the store. EMS Tx 4-5 to Abigington Trauma #1233414",,Wed Aug 15 00:42:09 +0000 2018
BlueWalkPoconos,"Active shooter reported at Walmart in Cheltenham Twp, PA. Two people shot; cond unk. One in custody. 🙏🏻💙🙏🏻 ~M https://t.co/r9eKhv0UCY",,Wed Aug 15 00:41:18 +0000 2018
CallingUOut7,"RT @ginah89121: Active shooter
At least 3 shot inside Philadelphia-area Walmart, suspect in custody, investigators say  https://t.co/JydrXh…","Active shooter
At least 3 shot inside Philadelphia-area Walmart, suspect in custody, investigators say  https://t.co/JydrXhmRX8",Wed Aug 15 00:39:26 +0000 2018
ginah89121,"Active shooter
At least 3 shot inside Philadelphia-area Walmart, suspect in custody, investigators say  https://t.co/JydrXhmRX8",,Wed Aug 15 00:38:11 +0000 2018
livjon69,RT @RIBNS: PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP…,"PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP FLED IN VEH, STRUCK PD CRUISER AND PLACED IN CUSTODY - SWAT ON SCENE TRYING TO TALK TO 2ND SUSPECT",Wed Aug 15 00:36:37 +0000 2018
HewesNews,RT @RIBNS: PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP…,"PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP FLED IN VEH, STRUCK PD CRUISER AND PLACED IN CUSTODY - SWAT ON SCENE TRYING TO TALK TO 2ND SUSPECT",Wed Aug 15 00:00:24 +0000 2018
Foopooh12345,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Wed Aug 15 00:00:03 +0000 2018
Dave_Radcliffe,RT @RIBNS: PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP…,"PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP FLED IN VEH, STRUCK PD CRUISER AND PLACED IN CUSTODY - SWAT ON SCENE TRYING TO TALK TO 2ND SUSPECT",Tue Aug 14 23:58:51 +0000 2018
bpavoncello1,RT @RIBNS: PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP…,"PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP FLED IN VEH, STRUCK PD CRUISER AND PLACED IN CUSTODY - SWAT ON SCENE TRYING TO TALK TO 2ND SUSPECT",Tue Aug 14 23:56:24 +0000 2018
RIBNS,"PA | WYNCOTE | ACTIVE SHOOTER | 1000 EASTON RD |  TWO VICTIMS HAVE BEEN SHOT AT CUSTOMER SERVICE DESK AT LOCAL WALMART - 1 SUSP FLED IN VEH, STRUCK PD CRUISER AND PLACED IN CUSTODY - SWAT ON SCENE TRYING TO TALK TO 2ND SUSPECT",,Tue Aug 14 23:54:53 +0000 2018
Chaosforthefly,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:53:50 +0000 2018
twright55,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:50:06 +0000 2018
WalterBelonos,"RT @Fahrenheitphot0: Reports of an active shooter in #Cheltenham PA, possibly at a Walmart, male and female in custody per local media,(app…","Reports of an active shooter in #Cheltenham PA, possibly at a Walmart, male and female in custody per local media,(approx 1 hour ago) listen live https://t.co/casWMk0QQB",Tue Aug 14 23:49:06 +0000 2018
Ta7rmpMike,"RT @Fahrenheitphot0: Reports of an active shooter in #Cheltenham PA, possibly at a Walmart, male and female in custody per local media,(app…","Reports of an active shooter in #Cheltenham PA, possibly at a Walmart, male and female in custody per local media,(approx 1 hour ago) listen live https://t.co/casWMk0QQB",Tue Aug 14 23:43:55 +0000 2018
Fahrenheitphot0,"Reports of an active shooter in #Cheltenham PA, possibly at a Walmart, male and female in custody per local media,(approx 1 hour ago) listen live https://t.co/casWMk0QQB",,Tue Aug 14 23:43:32 +0000 2018
allhazardsblog,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:41:49 +0000 2018
lamparadiogenes,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:34:04 +0000 2018
Doonbugs,"@audreyiskey Thank you, you too! sounds like shooter's in custody according to CBS Philly",,Tue Aug 14 23:25:29 +0000 2018
dutchess_becky,RT @InstaNewsAlerts: Suspected #Walmart shooter in #Philadelphia suburb reportedly in custody.,Suspected #Walmart shooter in #Philadelphia suburb reportedly in custody.,Tue Aug 14 23:22:56 +0000 2018
MemunehMichael,RT @InstaNewsAlerts: Suspected #Walmart shooter in #Philadelphia suburb reportedly in custody.,Suspected #Walmart shooter in #Philadelphia suburb reportedly in custody.,Tue Aug 14 23:22:17 +0000 2018
InstaNewsAlerts,Suspected #Walmart shooter in #Philadelphia suburb reportedly in custody.,,Tue Aug 14 23:21:42 +0000 2018
tvheidihatch,Suspected Walmart shooter in Philadelphia suburb in custody. https://t.co/gHt6pvWAr4,,Tue Aug 14 23:18:34 +0000 2018
SihabBD,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:11:26 +0000 2018
Anthropic,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:10:40 +0000 2018
ShoeBeDoBeDo,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:10:22 +0000 2018
annerichardsDRC,"RT @engineco16: #UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after a…","#UPDATE: #Police say a suspect is in custody  Total of 5 patients transported to local hospitals, police SUV rammed after active shooter at a #Walmart in #MontgomeryCounty #Pennsylvania.",Tue Aug 14 23:09:25 +0000 2018
