dgzmnyanna,keepsafe po 😇 pray po kayo bago magstart sa 3am challenge. https://t.co/CZYhlOLqiR,,Thu Aug 16 14:35:46 +0000 2018
JustMe71881,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:30:22 +0000 2018
mayedwardale,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:30:07 +0000 2018
psssstthey,"Lord,gabayan niyo po kami lalo na sa kalamidad.Sana tumigil na yung ulan,nakakaawa yung mga ibang tao na halos nasa bubungan na. Hindi na nila alam yung gagawin. Pray lang po. Keepsafe guys!! ☝🏻",,Sat Aug 11 15:30:03 +0000 2018
iloveumayward,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:29:53 +0000 2018
chachalab,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:29:45 +0000 2018
gim_delta,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:29:39 +0000 2018
rc43mayward,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:27:47 +0000 2018
altinjohn,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:25:52 +0000 2018
valdez_rizza,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:20:45 +0000 2018
ViviJimenez9,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:20:06 +0000 2018
PrincilloVine,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:19:35 +0000 2018
ImNobody_000,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:16:16 +0000 2018
nestlie_lihay,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:15:47 +0000 2018
taboybhel,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:10:43 +0000 2018
Annjzz_Faney,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:10:24 +0000 2018
becooliscious06,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:08:44 +0000 2018
jhondavemillar1,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:08:30 +0000 2018
MMoscowrussia18,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:07:28 +0000 2018
mwsolidksa,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:06:58 +0000 2018
JasWookie,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:03:43 +0000 2018
FARTheart_yAmii,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:02:44 +0000 2018
fclanog,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:02:28 +0000 2018
GelayFarthan,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:02:13 +0000 2018
JenMayWard,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",,Sat Aug 11 15:01:36 +0000 2018
czrdnll,"keepsafe everyone. pray, it really works. 😊",,Sat Aug 11 14:05:24 +0000 2018
JeLealx,RT @babylizaaard: keepsafe to all pray lang kay god!!!!,keepsafe to all pray lang kay god!!!!,Sat Aug 11 12:08:56 +0000 2018
WriteInker,RT @mycsxy: Ang bilis tumaas ng marikina river. huhu please pray and keepsafe everyone!,Ang bilis tumaas ng marikina river. huhu please pray and keepsafe everyone!,Sat Aug 11 11:58:02 +0000 2018
mycsxy,Ang bilis tumaas ng marikina river. huhu please pray and keepsafe everyone!,,Sat Aug 11 11:56:28 +0000 2018
babylizaaard,keepsafe to all pray lang kay god!!!!,,Sat Aug 11 10:52:01 +0000 2018
