hailey_lynn1012,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:14:39 +0000 2018
lilminhyung,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:10:25 +0000 2018
kristiana__,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:10:23 +0000 2018
btsbitchhy,RT @MicheBangtan: ARMYS FOR THE LOVE OF GOD BE CAREFUL TALKING TO NICKI ON THIS APP BECAUSE SHE WILL TALK BACK AND HAND YOU YOUR BUTT HOLE…,ARMYS FOR THE LOVE OF GOD BE CAREFUL TALKING TO NICKI ON THIS APP BECAUSE SHE WILL TALK BACK AND HAND YOU YOUR BUTT HOLE IF SHE THINKS YOU DROPPED IT. BE CAREFUL.,Sat Aug 18 23:10:21 +0000 2018
RieshaT4,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:10:21 +0000 2018
nachosaregood19,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:10:20 +0000 2018
toezir,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:10:19 +0000 2018
BangtansPiper,RT @ultitaegi: I hope y’all be careful before you trend another dumb # https://t.co/zn5ZnK0RzT,I hope y’all be careful before you trend another dumb # https://t.co/zn5ZnK0RzT,Sat Aug 18 23:10:18 +0000 2018
bre__eeeeee,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:10:18 +0000 2018
nayawaya_,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:10:16 +0000 2018
raphaelak___,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:10:16 +0000 2018
SafeDriver,"If you drive a commercial vehicle with company logo's on it, be careful how you drive. We know who you are. #RoadSafety #DriveSafe https://t.co/VzuzAB1LOq",,Sat Aug 18 23:10:15 +0000 2018
MyLoveForSiwon,RT @siwonest_com: Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominat…,Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominate soon !! @siwonchoi #siwon #Tccandler2018 https://t.co/It0Be8DyJe,Sat Aug 18 23:10:13 +0000 2018
CeiliOrtiz,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:10:10 +0000 2018
DeeCookieJar,"RT @ReggaeMarleyBob: Be careful who you open up to. Only a few people actually care, the rest are just curious.","Be careful who you open up to. Only a few people actually care, the rest are just curious.",Sat Aug 18 23:10:08 +0000 2018
JerryN_3,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:10:07 +0000 2018
nkobolo_refiloe,RT @Ntebo_Montle: OK ladies I know how depressing it can be looking for a job &amp; end up wanting to make quick cash out of desperation but pl…,OK ladies I know how depressing it can be looking for a job &amp; end up wanting to make quick cash out of desperation but please let's be careful 🙏 ❤️#GirlTalkZA https://t.co/RhxPCraBkj,Sat Aug 18 23:10:04 +0000 2018
honeydipcocaine,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:10:02 +0000 2018
patchshit,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:09:59 +0000 2018
PinguinoSSR,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:09:59 +0000 2018
chillinginLV,"RT @chillinginLV: Pay Attention America! Be careful How &amp; What you vote for Nov 2018!
 
Socialism combined with Islam will being USA Global…","Pay Attention America! Be careful How &amp; What you vote for Nov 2018!
 
Socialism combined with Islam will being USA Globalist Islammunism! https://t.co/BXMVJxFNzA",Sat Aug 18 23:09:57 +0000 2018
drecole14,RT @DatTallUteWes: Be careful of the people you work with. Nuff a dem a pussyhole. NUFF A DEM.,Be careful of the people you work with. Nuff a dem a pussyhole. NUFF A DEM.,Sat Aug 18 23:09:56 +0000 2018
lmlastla,@RealityTVBliss Wow be careful... and don’t even get me started,,Sat Aug 18 23:09:55 +0000 2018
xxdivergent,Always - be careful https://t.co/rcReHG5YAE,,Sat Aug 18 23:09:53 +0000 2018
AdannaU,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:09:53 +0000 2018
sammyperalta1,"RT @TheOldPathTV: ""Be careful for nothing; but in every thing  by prayer and supplication with thanksgiving let your requests be made known…","""Be careful for nothing; but in every thing  by prayer and supplication with thanksgiving let your requests be made known unto God."" (Philippians 4:6, KJV)

Thanks be to God for a wonderful thanksgiving day! All Glory to God!

#mcgithanksgivingafterthanksgiving",Sat Aug 18 23:09:53 +0000 2018
CidneeJanae,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:09:53 +0000 2018
FuckUVarie,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:09:52 +0000 2018
bre__eeeeee,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:09:48 +0000 2018
memoytortas,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:09:45 +0000 2018
JerryWill01,"RT @AnnaApp91838450: https://t.co/OMBR5fRNQi
Patriots Pray For President
Trump 💯We're Winning 
He's About To Blow The Lid Of The Corrupt Ce…","https://t.co/OMBR5fRNQi
Patriots Pray For President
Trump 💯We're Winning 
He's About To Blow The Lid Of The Corrupt Cess 
Pool In Washington That Will Destroy Democrats💯
Be Careful🙏Big Bucks 
Behind Trying To Crucifie
Paul Manafort💥Pray It's
A Hung Jury!
#MAGA 
#FireMueller",Sat Aug 18 23:09:44 +0000 2018
KayyyEnBe,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:09:43 +0000 2018
King_Hinton5,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:09:38 +0000 2018
stonii_bolognii,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:09:28 +0000 2018
BeautyKINGC,@KING_Shaka_ Be careful bout saying what you won’t do. But I’m proud of you,,Sat Aug 18 23:09:26 +0000 2018
akmaliah6,"RT @Philemaphobia_: be careful what you say, girls remember anything.","be careful what you say, girls remember anything.",Sat Aug 18 23:09:25 +0000 2018
ChippyCDM,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:09:22 +0000 2018
KoplinMadison,RT @elisia_carter: If you see this kid be careful he’s dangerous . This is his girlfriend. She is missing 4 teeth now Bc he knocked them ou…,If you see this kid be careful he’s dangerous . This is his girlfriend. She is missing 4 teeth now Bc he knocked them out of her mouth beating her so bad she’s had concussions and she’s terrified to leave him. I want everyone to know what he’s done. Rt plz https://t.co/YoaFLj3PC7,Sat Aug 18 23:09:19 +0000 2018
ohKatyKaty,@HelpfulOlive @RenataZuluana You should be very careful making statements like that because you may be asked to prove it,,Sat Aug 18 23:09:18 +0000 2018
bronwyn61244381,"RT @BIGMONEYMIKE6: SCAMMERS ARE BACK AT IT AGAIN......... THEY ARE TELLING TRADERS THAT MY NEXT ALERT IS $ABPA

PURE LIES!!!!!

BE CAREFUL…","SCAMMERS ARE BACK AT IT AGAIN......... THEY ARE TELLING TRADERS THAT MY NEXT ALERT IS $ABPA

PURE LIES!!!!!

BE CAREFUL OUT THERE ....... SCAMMERS ARE TRYING TO MAKE A QUICK BUCK

#BMM https://t.co/a6wGTIzEZG",Sat Aug 18 23:09:17 +0000 2018
telelance,"@softadora oh okay!! jdjd i got worried for sec, be careful!",,Sat Aug 18 23:09:14 +0000 2018
RaymondeWinkle1,RT @officersfallen: God morning! To all the men and woman in blue today...please be careful and thank you for what you do! #bluelivesmatter…,God morning! To all the men and woman in blue today...please be careful and thank you for what you do! #bluelivesmatter #backtheblue #blueline #police #safe #protect #respect #honor https://t.co/h1JbHx2Om1,Sat Aug 18 23:09:14 +0000 2018
itssunnyyyy,Accidents are bad on 520 ya’ll be careful‼️,,Sat Aug 18 23:09:12 +0000 2018
June__12,When u got a good heart you gotta be careful with who you surround yourself with💯,,Sat Aug 18 23:09:09 +0000 2018
TaylorPlato,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:09:06 +0000 2018
solo_fifth,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:09:04 +0000 2018
Crownpull,"When it's a bad song...

Be careful with 'bad'?",,Sat Aug 18 23:09:04 +0000 2018
_stayonQ,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:09:04 +0000 2018
_mayaokbye,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:09:03 +0000 2018
peyyyyytonnnn,RT @MKaddict14: ***Girls in chickasha area please watch out for a older bald guy driving a black tundra. He has been following teenage girl…,***Girls in chickasha area please watch out for a older bald guy driving a black tundra. He has been following teenage girls around. On Wednesday he followed me and my friend to my car and tried to abduct us. Luckily our doors was locked and drove off. Please be careful.,Sat Aug 18 23:09:00 +0000 2018
_matlynette,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:08:56 +0000 2018
tagee28,RT @Glorious716: Be careful who you let into your life,Be careful who you let into your life,Sat Aug 18 23:08:56 +0000 2018
TakeCareNiko,"@issarae_ them shits are lowkey fast, be careful 🤣",,Sat Aug 18 23:08:56 +0000 2018
GoDumbbMikey,RT @YslDuke: Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Be Careful who you share your energy with everybody don’t deserve it 🤷🏽‍♂️,Sat Aug 18 23:08:50 +0000 2018
Cecilia615324,RT @Salvesayson: Be careful who you trust and tell your problems to. Everyone who smiles at you is not your friend. #ALDUBHeartsThatCare,Be careful who you trust and tell your problems to. Everyone who smiles at you is not your friend. #ALDUBHeartsThatCare,Sat Aug 18 23:08:48 +0000 2018
PhilippeReines,"@HarrydeRuiter Better be careful who you call crazy, he’s more likely to nuke Canadia than Russia.",,Sat Aug 18 23:08:42 +0000 2018
kitkat_ortega,RT @mcgidotorg: Be careful for nothing; but in every thing by prayer and supplication with thanksgiving let your requests be made known unt…,"Be careful for nothing; but in every thing by prayer and supplication with thanksgiving let your requests be made known unto God. (Philippians 4:6, KJV)
 
 #MCGIThanksgivingAfterThanksgiving",Sat Aug 18 23:08:42 +0000 2018
ot12ers,@jinhaseul be careful what you say 🤐,,Sat Aug 18 23:08:41 +0000 2018
1995kayy,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:08:41 +0000 2018
baileybee3,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:08:34 +0000 2018
EngineerSanBlas,"RT @thepoemsquote: Be careful who you open up to. 

Only a few people actually care, 

the rest are just curious.","Be careful who you open up to. 

Only a few people actually care, 

the rest are just curious.",Sat Aug 18 23:08:32 +0000 2018
KilleenC_,"@jenniferm_q Holy shit! 

I may get suspended for saying this but Trump needs to be careful. The list of people who will want him dead is just going to continue to grow. 

He’s got a fantastic pair of brass shiny balls.",,Sat Aug 18 23:08:31 +0000 2018
Fluff_Fluff_,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:08:31 +0000 2018
Hap_E_Jack,RT @george_x_wilson: @Tamiwalls11 @TSearcaigh @realDonaldTrump @tsearcaigh.  Be careful with your tweets. If you or your cronies physically…,"@Tamiwalls11 @TSearcaigh @realDonaldTrump @tsearcaigh.  Be careful with your tweets. If you or your cronies physically  attack our President, Title 10 USC Code, Chapter 13 will go into effect, and all of us in the state milias will be there to fight for and defend Preident Trump against all physical violence.",Sat Aug 18 23:08:30 +0000 2018
joonsocean,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:08:29 +0000 2018
fadedlove,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:08:27 +0000 2018
lesterine_apas,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:08:27 +0000 2018
BilalElHammoumy,@Onikas_son @mjoutsoId Ain't much of an accomplishment it peaked at #10 and Be Careful peaked at #11 literally,,Sat Aug 18 23:08:27 +0000 2018
EvanCarmichael,@Kain_White @GameLarkRemixes @GASpriggs Even if you get it to twice a week you'll see bigger growth. And then go 3 times... and work your way up. Be careful what you say isn't possible.,,Sat Aug 18 23:08:25 +0000 2018
_MykeJr,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:08:23 +0000 2018
ItsTheRealGT,RT @IamYanetGarcia: be careful how you play your cards when you have a queen in your hand ♣️♥️ https://t.co/x4VeB9XH4c,be careful how you play your cards when you have a queen in your hand ♣️♥️ https://t.co/x4VeB9XH4c,Sat Aug 18 23:08:19 +0000 2018
BoobsNBuds,"RT @stuckwithgreen: Be careful with her.

There’s a lot of depth to her and you’ll easily lose your mind.","Be careful with her.

There’s a lot of depth to her and you’ll easily lose your mind.",Sat Aug 18 23:08:18 +0000 2018
cpaigehaynes,RT @maddyfogle2000: Right now sitting in a court yard at AACC two young women approached me asking if i know about “God the Mother” which I…,Right now sitting in a court yard at AACC two young women approached me asking if i know about “God the Mother” which I’ve seen is a trafficking tactic. Be Careful this fall semester ladies !,Sat Aug 18 23:08:18 +0000 2018
DoomsDayPlace,"@iLightningchan @historylvrsclub Be careful , in Germany, you can be a sexual target everywhere..",,Sat Aug 18 23:08:16 +0000 2018
creepst_,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:08:16 +0000 2018
bea1brahim,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:08:15 +0000 2018
kittenochu,thank you my brother thank you a little more be careful to not mix mother and sister my coach because I don't like to say bad words and erAy administrator have a warning you know from now mother and sister mixers get banned,,Sat Aug 18 23:08:14 +0000 2018
Bijomjohn1,RT @RevLDReed: @beverlyfelix3 @Tennyso73797371 @GregPettys @kmason20 @Mary39800280 @ReginahHope @AngeicaNewsom @SonjaMessenger @ubett2 @Duc…,"@beverlyfelix3 @Tennyso73797371 @GregPettys @kmason20 @Mary39800280 @ReginahHope @AngeicaNewsom @SonjaMessenger @ubett2 @Duckhuntinggrl @RitaMcDougald6 @365PrayingforU @elliesangelwing @endtimeslife @AHeartofVirtue @cat_kizzy @cheryl_haurik @GraceSwer @Miss_spacess @Cheryl_L_Davis @bowley115 @ledrew @iamklregister @ombima_ben @redletterpub @geridynomite @annamagnelli @GodsWordIsFree @AnnaRuthMcCoy @sparks4299 @FREEBetsyB @DavidHern14 @K_amofah @tracey_swann2 @Barbara98753838 @ToddTrotter3 @Amen24 @nhiscare57 @BkcProv3110 @sog36 @3xsuperbowlchmp @amonk1215 @ConnieCline25 @PollyNaviaux @TruReader90 @DaphneSmith71 @DenySinaga7 @Claudio_Gedler @jackyk812 @mjseymour1959 `Be careful looking down on struggling people. You got a struggle too. You just hide it better than others. I got struggles. And, I got Jesus. Thankfully, Jesus got me and my struggles. Let HIM have you and yours...",Sat Aug 18 23:08:14 +0000 2018
DeadLike2Pac,RT @Glorious716: Be careful who you let into your life,Be careful who you let into your life,Sat Aug 18 23:08:14 +0000 2018
NgoziOlojede,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:08:14 +0000 2018
fnunnally55,@mombreezy Be careful on your journey because there are some crazy Ppls out there,,Sat Aug 18 23:08:12 +0000 2018
Yourgirlamberr,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:08:11 +0000 2018
nic_rudiger,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:08:10 +0000 2018
AshantiDawn,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:08:09 +0000 2018
TBGTNT,RT @Nowell_283: @pisuken3 Be careful not to drink too much🍺⛱️🎶 https://t.co/JfqQgGas7A,@pisuken3 Be careful not to drink too much🍺⛱️🎶 https://t.co/JfqQgGas7A,Sat Aug 18 23:08:06 +0000 2018
SaraiiElizabeth,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:07:59 +0000 2018
laurenotella,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:07:57 +0000 2018
Devon_Linaberry,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:07:56 +0000 2018
Doh_KyungSoo12,"RT @EXOinEU: [INFO] 11ST added stocks for the EXO Official Lighsticks! 

※ You can now order your Official Lightstick through 11ST, a secur…","[INFO] 11ST added stocks for the EXO Official Lighsticks! 

※ You can now order your Official Lightstick through 11ST, a secure and official website which is working in collaboration with SM.Ent.

🔗 https://t.co/Xvf1IR7iaK
🔸International Shipping / Be careful of shipping delay https://t.co/mzQzV8cuhl",Sat Aug 18 23:07:53 +0000 2018
YERIMTML,ouch :”( be careful please!! https://t.co/1bBFzSb4zu,,Sat Aug 18 23:07:49 +0000 2018
Foreverjalia01,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:07:46 +0000 2018
MilTicket_,"RT @SweeTaee: Y’all Please Be Careful Out Here In Nashville... 2 Men Are Going Around Killing Innocent People, In 2’s. 
East Nashville, Mad…","Y’all Please Be Careful Out Here In Nashville... 2 Men Are Going Around Killing Innocent People, In 2’s. 
East Nashville, Madison &amp; Downtown Have Already Been Hit...",Sat Aug 18 23:07:44 +0000 2018
_rittany,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:07:38 +0000 2018
jimineutral,@BTSOverIoad be careful legend,,Sat Aug 18 23:07:37 +0000 2018
LewisvilleOEM,"Heads up everyone, there are some strong storms developing around the DFW area. Main threats are frequent lightning, Gusty winds, and possibly flash flooding. Be careful and stay safe! #dfwwx",,Sat Aug 18 23:07:33 +0000 2018
yvngscotty,RT @khairahvercetti: Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy…,Ladies please be careful in Tuskegee!!! There is a guy who stalks girls that live off campus that drives a white Chevy trailblazer. That sick fuck tried to get into my apartment last night while I was at home. The police has a warrant out for his arrest. PLEASE BE SAFE!,Sat Aug 18 23:07:32 +0000 2018
Chitownbuckeye5,"RT @ESPNChiCubs: Brandon Morrow, after his bullpen session: ""The ball was coming out well. Just a little underlying achiness I guess that w…","Brandon Morrow, after his bullpen session: ""The ball was coming out well. Just a little underlying achiness I guess that wont go away."" Says he will pitch through it. When he does come back, Maddon will be very careful. Prob no back to backs",Sat Aug 18 23:07:31 +0000 2018
JackBeN97732195,RT @kathygriffin: Has anyone stopped to think that Omarosa releasing tapes is hurting the Mueller investigation? Trump people will be more…,Has anyone stopped to think that Omarosa releasing tapes is hurting the Mueller investigation? Trump people will be more careful what they say around each other now. What if Mueller wanted to tap some phones or have someone wear a wire. Not sure people will speak as freely now,Sat Aug 18 23:07:28 +0000 2018
dontbetheprey,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:07:27 +0000 2018
