jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
JoashPThomas,"RT @IJM: Heavy rain forced the rescue team to delay for 6+ hours, but as they waited a police officer reminded the group, “it is worth the…","Heavy rain forced the rescue team to delay for 6+ hours, but as they waited a police officer reminded the group, “it is worth the wait because these children are suffering and we need to rescue them.” https://t.co/tJ7KkjHYpr #RESCUE #untilallarefree https://t.co/QM4rGxAfFL",Sat Aug 18 16:03:32 +0000 2018
FJliya,"RT @iswana_j: We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWit…","We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWithKerala #prayforkerala",Sat Aug 18 16:02:46 +0000 2018
yurikomunir,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:02:23 +0000 2018
FelinfoelCC,"RT @DafenWelfareCC: Unfortunately, due to the heavy rain, the pitch is unplayable and with rain forecast, we’ve made the decision to cancel…","Unfortunately, due to the heavy rain, the pitch is unplayable and with rain forecast, we’ve made the decision to cancel tomorrow’s Six-A-Side. See you next year!👍",Sat Aug 18 16:02:20 +0000 2018
iembot_mkx,"At 7:00 AM CDT, 1 SSW Watertown [Jefferson Co, WI] CO-OP OBSERVER reports HEAVY RAIN of 8.32 INCH. 2 DAY STORM TOTAL. https://t.co/WJwCu79Vmg",,Sat Aug 18 16:02:19 +0000 2018
ariannapelacch,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:02:03 +0000 2018
snowflakefroshy,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 16:01:50 +0000 2018
DanShaked,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:01:39 +0000 2018
krishworlds,"RT @ajithkkrishna: @JohnCena People in kerala (India) are suffering huge loss due to heavy rain and flood,this requires worlds attention, s…","@JohnCena People in kerala (India) are suffering huge loss due to heavy rain and flood,this requires worlds attention, so sir we are expecting a contribution from your side.
#Standwithkerala https://t.co/oYZZymgQ0u",Sat Aug 18 16:01:35 +0000 2018
iswana_j,"We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWithKerala #prayforkerala",,Sat Aug 18 16:01:32 +0000 2018
inu_Threeeyes,Heavy Rain 〜心が軋むとき〜やってんだけど、心軋みっぱなしでやるの辛い。精神持ってかれまくる。,,Sat Aug 18 16:01:28 +0000 2018
WeatherManKG,"Clusters of storms moving across the Twin States today. Heavy rain, lighting, and gusty winds the main concerns again.  #mswx #alwx https://t.co/a9Pgh7kN7W",,Sat Aug 18 16:01:27 +0000 2018
DafenWelfareCC,"Unfortunately, due to the heavy rain, the pitch is unplayable and with rain forecast, we’ve made the decision to cancel tomorrow’s Six-A-Side. See you next year!👍",,Sat Aug 18 16:01:19 +0000 2018
hdighn,"RT @IJM: Heavy rain forced the rescue team to delay for 6+ hours, but as they waited a police officer reminded the group, “it is worth the…","Heavy rain forced the rescue team to delay for 6+ hours, but as they waited a police officer reminded the group, “it is worth the wait because these children are suffering and we need to rescue them.” https://t.co/tJ7KkjHYpr #RESCUE #untilallarefree https://t.co/QM4rGxAfFL",Sat Aug 18 16:00:58 +0000 2018
ajithkkrishna,"@JohnCena People in kerala (India) are suffering huge loss due to heavy rain and flood,this requires worlds attention, so sir we are expecting a contribution from your side.
#Standwithkerala https://t.co/oYZZymgQ0u",,Sat Aug 18 16:00:52 +0000 2018
vic_randolph,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:00:51 +0000 2018
WNEP,Landscapers Catching Up On Work After Heavy Rain https://t.co/HPc5frpRSo https://t.co/PrFIP18vPE,,Sat Aug 18 16:00:49 +0000 2018
yesi_moon16,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:00:47 +0000 2018
Mohapb204,"RT @htTweets: #TopStory on hindustantimes.come right now

READ it here: https://t.co/LcxmhSVx7a

#KeralaFloods https://t.co/QHBLBTTwm0","#TopStory on hindustantimes.come right now

READ it here: https://t.co/LcxmhSVx7a

#KeralaFloods https://t.co/QHBLBTTwm0",Sat Aug 18 16:00:41 +0000 2018
IJM,"Heavy rain forced the rescue team to delay for 6+ hours, but as they waited a police officer reminded the group, “it is worth the wait because these children are suffering and we need to rescue them.” https://t.co/tJ7KkjHYpr #RESCUE #untilallarefree https://t.co/QM4rGxAfFL",,Sat Aug 18 16:00:40 +0000 2018
UmeshaTweetsVK,Karnataka: Heavy rain continues to lash Kodagu https://t.co/yIGrK2S8hs via @TOIBengaluru,,Sat Aug 18 16:00:35 +0000 2018
iembot_mkx,"At 7:00 AM CDT, 1 NE Lake Mills [Jefferson Co, WI] PUBLIC reports HEAVY RAIN of 5.10 INCH. 2 DAY STORM TOTAL. https://t.co/WJwCu79Vmg",,Sat Aug 18 16:00:19 +0000 2018
janetnegron29,"RT @NWSSanJuan: Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y…","Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y tronadas comienzan a desarrollarse a través del oeste de PR. Periodos de lluvia fuerte y vientos en ráfaga son posibles.
#prwx https://t.co/ATEb8cPKoY",Sat Aug 18 16:00:14 +0000 2018
a_fisher_,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:00:12 +0000 2018
Chema22R,HEAVY RAIN - PRIMEROS PASOS PARA RECUPERAR A NUESTRO HIJO!! (04): https://t.co/gs1ukVomN7 vía @YouTube,,Sat Aug 18 15:59:40 +0000 2018
iembot_mkx,"At 7:00 AM CDT, 1 WNW Brodhead [Green Co, WI] CO-OP OBSERVER reports HEAVY RAIN of 4.49 INCH https://t.co/WJwCu79Vmg",,Sat Aug 18 15:59:02 +0000 2018
pamdelucio,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:58:41 +0000 2018
jolkatt,dead inside ft camping in heavy rain https://t.co/KnzfeIGaMj,,Sat Aug 18 15:58:28 +0000 2018
reglooby,"RT @metoffice: The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in plac…","The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in places too https://t.co/UzvshF7lTb",Sat Aug 18 15:58:10 +0000 2018
iembot_mkx,"At 7:00 AM CDT, 4 SW Janesville [Rock Co, WI] CO-OP OBSERVER reports HEAVY RAIN of 2.94 INCH. 48 HOUR STORM TOTAL. https://t.co/WJwCu79Vmg",,Sat Aug 18 15:58:09 +0000 2018
AngelicFusion,"Heavy rain, storms to pummel central US into Monday https://t.co/gZcgXs6MOp",,Sat Aug 18 15:57:50 +0000 2018
RKTwts,"RT @thenewsminute: 16 districts of Telangana to receive heavy rain over next few days, says Met Dept
https://t.co/UYIc6PXoC1","16 districts of Telangana to receive heavy rain over next few days, says Met Dept
https://t.co/UYIc6PXoC1",Sat Aug 18 15:57:44 +0000 2018
rathishpb,@NASA It would be greatly appreciated weather NASA can provide any helpful informations on worst things going on Kerala in south India #KeralaFloods huge landslides and heavy rain continued..,,Sat Aug 18 15:57:17 +0000 2018
nirajthakkar18,RT @Darshan_9407: This is what happens to the rivers when the forests are cut https://t.co/dgSG7GzW8H you know why all the rivers are overf…,This is what happens to the rivers when the forests are cut https://t.co/dgSG7GzW8H you know why all the rivers are overflowing. It is not the heavy rain that is the sole reason. @rallyforrivers @SadhguruJV @ishafoundation https://t.co/0jKXaLRl4W,Sat Aug 18 15:56:41 +0000 2018
EACOOntario,More flooding hits #Toronto after another heavy rainstorm. #abatement #flooding https://t.co/x1D2EdNIHW,,Sat Aug 18 15:56:37 +0000 2018
iembot_mkx,"At 7:00 AM CDT, 2 NNE Maple Bluff [Dane Co, WI] ASOS reports HEAVY RAIN of 2.83 INCH. 48 HOUR STORM TOTAL. https://t.co/WJwCu79Vmg",,Sat Aug 18 15:56:32 +0000 2018
ajithkkrishna,"@SunnyLeone People in kerala are suffering huge loss due to heavy rain and flood,this requires worlds attention, so we are expecting a contribution from your side.
#Standwithkerala https://t.co/HyADd7mz44",,Sat Aug 18 15:55:49 +0000 2018
ScottyPowell_WX,Radar check at 11:51 AM --&gt; Moderate/Heavy rain affecting Bristol Motor Speedway  should start to move out of the area soon. GOES 16 is showing some clearing to our Southwest that is moving towards the track.. Will have to monitor for pop up storms afternoon/evening. #NASCAR,,Sat Aug 18 15:55:47 +0000 2018
Wilmwx,"High chances for heavy storms again Saturday evening. While a storm could form at any time, 5-10pm is the best chance. Heavy rain and frequent lightning the threats. https://t.co/VTE0Leymvt",,Sat Aug 18 15:55:10 +0000 2018
JPradhanFMMedia,"ପୁଣି ଲଘୁଚାପ , ୩ ଦିନ ଯାଏଁ ବର୍ଷିବ https://t.co/MgIlQfzjJh",,Sat Aug 18 15:55:06 +0000 2018
Chema22R,He añadido un vídeo a una lista de reproducción de @YouTube (https://t.co/gs1ukVomN7 - HEAVY RAIN - PRIMEROS PASOS PARA RECUPERAR A,,Sat Aug 18 15:55:02 +0000 2018
kikipenny,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:54:59 +0000 2018
blytheternal,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:54:18 +0000 2018
twtlikeakhiladi,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 15:54:15 +0000 2018
flyboy2265,@andrewsands809 We had the heavy rain yesterday. Stay safe,,Sat Aug 18 15:54:11 +0000 2018
erinscurls,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:54:03 +0000 2018
roxanne21021,RT @DailyMailUK: Britain is braced for heavy rain and 60mph winds TONIGHT https://t.co/Oz6fP6Wtz5,Britain is braced for heavy rain and 60mph winds TONIGHT https://t.co/Oz6fP6Wtz5,Sat Aug 18 15:53:56 +0000 2018
skyshark42,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:53:14 +0000 2018
canaik58,This is what happens to the rivers when the forests are cut https://t.co/QEmfWOgqu8 you know why all the rivers are overflowing. Its not the heavy rain that is the sole reason. Nice and simple video on ecology... https://t.co/Wsxo8jHooO,,Sat Aug 18 15:53:12 +0000 2018
DronChinita,"RT @NWSSanJuan: Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y…","Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y tronadas comienzan a desarrollarse a través del oeste de PR. Periodos de lluvia fuerte y vientos en ráfaga son posibles.
#prwx https://t.co/ATEb8cPKoY",Sat Aug 18 15:52:53 +0000 2018
ScottyPowell_WX,Radar check at 11:51 AM --&gt; Moderate/Heavy rain affecting .@BMSupdates  should start to move out of the area soon. GOES 16 is showing some clearing to our Southwest that is moving towards the track.. Will have to monitor for pop up storms afternoon/evening. #NASCAR .@Knighter01 https://t.co/uY3OxhZivf,,Sat Aug 18 15:52:50 +0000 2018
Abhi2zain,"RT @SarkarFilm: Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala…","Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala !!🙏
#PrayForKerala #KeralaFloods",Sat Aug 18 15:52:38 +0000 2018
fierywulf,"@TheGrunge_Queen Windward side of western ghats where the rain falls is only in Kerala and KA. So TN doesn't get enough rain. It relies majorly on Kaveri river for water source. Despite that, TN has issued flood alerts to places near the river bank which gets heavy inflow from KA reservoirs.",,Sat Aug 18 15:52:16 +0000 2018
Mourish_1st_yr,"RT @SarkarFilm: Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala…","Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala !!🙏
#PrayForKerala #KeralaFloods",Sat Aug 18 15:51:54 +0000 2018
Teresa_MacLean,@RCMPPEITraffic Dangerous flooding occurring under Norwood Road bridge on Charlottetown ByPass.#drivesafe #slowdown #pei #peiweather #downpour #heavy_rain,,Sat Aug 18 15:51:51 +0000 2018
janetvasquezz,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:51:50 +0000 2018
manojtahini,RT @doctorkini: @shakkuiyer Femisnit won't get into field since it's heavy rain and their make - up (mask) Wil be wiped!!!,@shakkuiyer Femisnit won't get into field since it's heavy rain and their make - up (mask) Wil be wiped!!!,Sat Aug 18 15:51:07 +0000 2018
DeanePicard,"RT @1nvisiblePink: [Checks weather radar in NJ]
[Heavy rain expected]

Heads up tweeps Agent Orange will be Twitter ranting today. Seems hi…","[Checks weather radar in NJ]
[Heavy rain expected]

Heads up tweeps Agent Orange will be Twitter ranting today. Seems his weekly golf game has been rained out. 

-SIGH-",Sat Aug 18 15:50:52 +0000 2018
RealJayKenney,"@Bcal0514 Rain should be ending right as you're starting up. If it rains heavy, they might not allow carts out",,Sat Aug 18 15:50:37 +0000 2018
CBS_42,Cloudy with a few scattered showers across Central AL. Heavy rain will be moving into West AL #alwx https://t.co/JZRk08Qubo,,Sat Aug 18 15:50:27 +0000 2018
fdastous,"Tragedy of Kerala floods unfolds: Bodies found floating, roads cut off, food and medicines scarce https://t.co/DaqrQMAxDq   via @htTweets",,Sat Aug 18 15:50:17 +0000 2018
Rijin2204,"RT @News18Kerala: ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G","ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G",Sat Aug 18 15:49:49 +0000 2018
PEIslandCanada,"RT @Ocean100News: Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40…","Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40 mm expected.
Some roads and ditches are flooding.
Please slow down. #PEI",Sat Aug 18 15:49:36 +0000 2018
nwsjacksonky,"Thunderstorms can produce heavy rain, which can lead to flooding. Watch out for water of unknown depth - it only takes 6 inches of flowing water to knock over a person, &amp; 12 inches to carry away a car. If you can’t see the road, Turn Around Don’t Drown! #KYWX https://t.co/uWalrnvroz",,Sat Aug 18 15:49:21 +0000 2018
Chipotle12,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:49:16 +0000 2018
MaryTavyDevon,RT @lydfordgorgeNT: The river rises quite quickly after heavy rain. 🌧️🌧️🌧️ This is most visible👀 (and audible👂) in the narrow sections of t…,"The river rises quite quickly after heavy rain. 🌧️🌧️🌧️ This is most visible👀 (and audible👂) in the narrow sections of the gorge such as the Devil's Cauldron.

Thanks to Rob for these pics taken on Sunday 12 Aug https://t.co/QLWsuUCD92",Sat Aug 18 15:49:13 +0000 2018
JonWxMan,"@MdwStormChaser @PetePetoniak @PhilDWx I don't really see any hail in the video, but very heavy rain. Was there a severe thunderstorm warning in the area?",,Sat Aug 18 15:48:40 +0000 2018
RichLaden,"Heavy rain in Pikes Peak region floods roads, strands drivers https://t.co/jTEsXIUBVk via @csgazette",,Sat Aug 18 15:48:31 +0000 2018
drstorres1,😱😱😱 https://t.co/U2217bcZ5k,,Sat Aug 18 15:47:59 +0000 2018
arunvnktmay8,RT @praddy06: Kerala Rainfall Update  - Intensity has come down but rains will continue in patches with heavy spell at times.  Rains will d…,"Kerala Rainfall Update  - Intensity has come down but rains will continue in patches with heavy spell at times.  Rains will drastically to reduce after 19th August.
============
Rain intensity has come down a... https://t.co/9ELD2Prbn4",Sat Aug 18 15:47:34 +0000 2018
brandt7chevy,"Flooded walkways, subway service reopened after another night of flooding in Toronto https://t.co/9ggQMr7ywo via @torontostar",,Sat Aug 18 15:47:05 +0000 2018
Chris27017,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:47:05 +0000 2018
CabipoolDEL,RT @ABHISHE51854336: New Delhi: Heavy rain lashed Delhi and the National Capital Region (NCR) on Saturday evening. The downpour led to wate…,"New Delhi: Heavy rain lashed Delhi and the National Capital Region (NCR) on Saturday evening. The downpour led to water-logging in several areas, bringing rush-hour traffic to a standstill.",Sat Aug 18 15:46:44 +0000 2018
bjaycat1985,RT @fredcityandy: Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it ea…,"Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it easier. I have incredible respect for those who’ll do that today.
#FrederictonStrong",Sat Aug 18 15:46:29 +0000 2018
OMMEADGuayama,"Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y tronadas comienzan a desarrollarse a través del oeste de PR. Periodos de lluvia fuerte y vientos en ráfaga son posibles.
#prwx https://t.co/JVzmlfRzvW",,Sat Aug 18 15:46:28 +0000 2018
ArtiSharma001,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 15:45:59 +0000 2018
Teresa_MacLean,@TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #pei #slowdown,,Sat Aug 18 15:45:41 +0000 2018
ldnweather,"3 Day Outlook -  Thursday: Heavy Rain Showers, Minimum Temperature: 14°C (57°F) Maximum Temperature: 21°C (69°F)",,Sat Aug 18 15:45:32 +0000 2018
MyWeather_MAN,"#Manchester possible light rain for the hour 26°c with heavy intensity rain, you can expect mostly cloudy throughout the day #MyWeather",,Sat Aug 18 15:45:26 +0000 2018
alivia_serna,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:45:16 +0000 2018
megkellzzz,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:45:04 +0000 2018
Bonafide68,RT @fredcityandy: Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it ea…,"Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it easier. I have incredible respect for those who’ll do that today.
#FrederictonStrong",Sat Aug 18 15:44:29 +0000 2018
timg33,"RT @weatherindia: A cyclonic circulation will develop over the #BayOfBengal on Sunday and is forecast to move westward. As it develops, it…","A cyclonic circulation will develop over the #BayOfBengal on Sunday and is forecast to move westward. As it develops, it will bring heavy rain to eastern, central and northern India next week.
#TheWeatherChannel #WeatherUpdate https://t.co/3vCU1I40mj",Sat Aug 18 15:44:21 +0000 2018
ladyfromthealps,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:44:18 +0000 2018
letstrytomorrow,"RT @mj92504: heart heavy like this sky
and the rain just won't fall","heart heavy like this sky
and the rain just won't fall",Sat Aug 18 15:43:52 +0000 2018
AustinLouis5,"RT @metoffice: The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in plac…","The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in places too https://t.co/UzvshF7lTb",Sat Aug 18 15:43:33 +0000 2018
iamraibalmes,the sound of the heavy rain soothes me,,Sat Aug 18 15:43:25 +0000 2018
NWSSanJuan,"Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y tronadas comienzan a desarrollarse a través del oeste de PR. Periodos de lluvia fuerte y vientos en ráfaga son posibles.
#prwx https://t.co/ATEb8cPKoY",,Sat Aug 18 15:43:15 +0000 2018
LuvMetsandPets,"@AmyFreeze7 @Evansweather @JeffSmithABC7 @wx_becks Thanks Bill. Jeff retweeted to!! It was so fast. We had another bad one at 10p, but not windy. Just heavy rain and light show. Have a great weekend! #ABC7NY",,Sat Aug 18 15:43:05 +0000 2018
dakotashackelfo,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:42:23 +0000 2018
csgazette,"The bridge in the #Hanover area that sustained damage during Friday's storms
#COwx 
https://t.co/GpvzSJ2nnk https://t.co/kDJxDzDTvq",,Sat Aug 18 15:42:07 +0000 2018
SharonCoryell3,"RT @1nvisiblePink: [Checks weather radar in NJ]
[Heavy rain expected]

Heads up tweeps Agent Orange will be Twitter ranting today. Seems hi…","[Checks weather radar in NJ]
[Heavy rain expected]

Heads up tweeps Agent Orange will be Twitter ranting today. Seems his weekly golf game has been rained out. 

-SIGH-",Sat Aug 18 15:42:03 +0000 2018
1nvisiblePink,"[Checks weather radar in NJ]
[Heavy rain expected]

Heads up tweeps Agent Orange will be Twitter ranting today. Seems his weekly golf game has been rained out. 

-SIGH-",,Sat Aug 18 15:41:47 +0000 2018
DopplerDan,"Rain heading toward Chambersburg, some heavy downpours likely. #27Weather https://t.co/j1kIwvh85W",,Sat Aug 18 15:41:47 +0000 2018
PEIslandCanada,"RT @Ocean100: Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40 mm…","Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40 mm expected.
Some roads and ditches are flooding.
Please slow down. #PEI",Sat Aug 18 15:41:32 +0000 2018
latest_blogger,"I liked a @YouTube video https://t.co/4ojuvpCHLz Heavy Rain Storm Black Clouds in the Sky, Rain Rain Rain Heavy, You Will Surprise See",,Sat Aug 18 15:41:00 +0000 2018
karenmoran11,"Tragedy of #KeralaFlood unfolds: Bodies found floating, roads cut off, food and medicines scarce | india news | Hindustan Times https://t.co/36JQ1X3VNH",,Sat Aug 18 15:40:53 +0000 2018
collegeandmusic,"RT @NWSOmaha: Nice weather today, but rain moves in tonight. Locally heavy rain possible Sun/Sun Night in southeast NE &amp; southwest IA https…","Nice weather today, but rain moves in tonight. Locally heavy rain possible Sun/Sun Night in southeast NE &amp; southwest IA https://t.co/h1XGVPd4Tm",Sat Aug 18 15:40:49 +0000 2018
marcusreed5,"RT @mj92504: heart heavy like this sky
and the rain just won't fall","heart heavy like this sky
and the rain just won't fall",Sat Aug 18 15:40:47 +0000 2018
rameem81,"ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
@News18Kerala
#keralafloods
#AllForKerala
https://t.co/11FFvnQuP5",,Sat Aug 18 15:40:42 +0000 2018
BlackDistillery,RT @CarlowWeather: #Ernesto is just a few hundred miles off the West Coast now latest charts and Sat images show most of the heavy rain a l…,#Ernesto is just a few hundred miles off the West Coast now latest charts and Sat images show most of the heavy rain a little further north with Northern half of country seeing most of the rainfall tonight. https://t.co/9VXqp8bT57,Sat Aug 18 15:40:40 +0000 2018
Noelle20982051,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:40:21 +0000 2018
jamsrojas,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:40:12 +0000 2018
TelanganaPost1,"RT @anusha_puppala: Heavy Rainfall Warning during 3 days:
Heavy rain very likely to occur at isolated places in the districts of ADL, KMB,…","Heavy Rainfall Warning during 3 days:
Heavy rain very likely to occur at isolated places in the districts of ADL, KMB, NRL, NZB, JGTL, MCRL, RJNS, PPL, KRM, JSKB, WRGL, MBB, BDDK, KHM, SRPT and NLG of #Telangana #Hyderabad #HyderabadRains #Monsoon2018",Sat Aug 18 15:40:03 +0000 2018
snowcams,DUMP ALERT Jungfraujoch   to 17cm fresh snow on Sunday. Temp. -1/6C Heavy rain #snowcam https://t.co/lF48tsVdfu @skiweather #jungfraujoch,,Sat Aug 18 15:40:02 +0000 2018
KKSharm61581056,"@DikshitSmita 1/2. I don't think they are all suddenly opened at one go. The opening starts one by one. However, if there is very heavy rain in short duration  in catchment area, dams fill up very fast. Hence, need to open more gates till all opened. If entire catchment area, dam and the...",,Sat Aug 18 15:39:52 +0000 2018
BarathHc,RT @amalbj_offl: #Kerala #Paravoor 😓😓😓 Heavy winds and rain!! 🙏🙏 #KeralaFloodRelief #KeralaFloods https://t.co/vV4xRCD1qx,#Kerala #Paravoor 😓😓😓 Heavy winds and rain!! 🙏🙏 #KeralaFloodRelief #KeralaFloods https://t.co/vV4xRCD1qx,Sat Aug 18 15:38:48 +0000 2018
cemyers16,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:38:42 +0000 2018
kannan978634553,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 15:38:41 +0000 2018
anusha_puppala,"Heavy Rainfall Warning during 3 days:
Heavy rain very likely to occur at isolated places in the districts of ADL, KMB, NRL, NZB, JGTL, MCRL, RJNS, PPL, KRM, JSKB, WRGL, MBB, BDDK, KHM, SRPT and NLG of #Telangana #Hyderabad #HyderabadRains #Monsoon2018",,Sat Aug 18 15:38:32 +0000 2018
hannahbethbell,"RT @Ocean100News: Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40…","Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40 mm expected.
Some roads and ditches are flooding.
Please slow down. #PEI",Sat Aug 18 15:38:21 +0000 2018
ThomasKeane1973,"The following Weather Advisory has been issued by Met Eireann at 10:00 hours Saturday, 18-Aug-2018 Rain moving eastwards across Ireland this evening and tonight will give heavy / intense bursts of rainfall in... https://t.co/DwAjshprR4",,Sat Aug 18 15:38:19 +0000 2018
jithupv_jithu,"RT @News18Kerala: ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G","ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G",Sat Aug 18 15:37:49 +0000 2018
