_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
JonCWentzel,A moment of personal frustration: my @comcast service goes out at least once a month requiring me to wait for a technician for two days without internet. Sorry for the interruption but I cannot watch television so I shall tweet.,,Thu Aug 16 20:30:22 +0000 2018
GreyCounty,Service Interruption: The Movin'GB Highway 10 afternoon service (Owen Sound to Shelburn and back) has been CANCELLED for the remainder of today's route due to a vehicle breakdown. Service will resume for the regular route on Monday. Sorry for the inconvenience. https://t.co/jXCocdqqP8,,Thu Aug 16 20:23:48 +0000 2018
JeneaneZant,"RT @TexasTrumpGirl: Whether you like Alex Jones or not, shutting down all his social media accounts IS Censorship.  

The fact that boggles…","Whether you like Alex Jones or not, shutting down all his social media accounts IS Censorship.  

The fact that boggles my mind is how someone can threaten the President, his family, his cabinet on social media &amp; they keep their accounts.  No interruption of service!",Thu Aug 16 20:19:52 +0000 2018
blancarte76,@comcastcares Another service interruption on my home internet.  Lately this has happened almost every day.  It is very annoying when you are paying for “superior” internet service and only get to use some of the time. I should get a prorated refund for each time I’ve called!!!,,Thu Aug 16 19:58:02 +0000 2018
twulibresources,"MAINTENANCE: ProQuest will be performing maintenance twice on Saturday 8/18, both times will cause temporary interruption of service. 11am-4pm: book products, and 9pm-5am: several research databases and products. See the full announcement below for more details https://t.co/gGT10URI2P",,Thu Aug 16 19:48:41 +0000 2018
RogersHelps,@ChrisD82731905 Hello Chris! This is the right place for it to go! Are you still experiencing a service interruption? Please let me know! ^ch,,Thu Aug 16 19:45:39 +0000 2018
Ask_Spectrum,"@Earthand_Water My apologies for the service interruption you’re experiencing.  Please follow/DM your service phone number, full service address or account number and I would be happy to look into this for you. ^JK",,Thu Aug 16 19:34:42 +0000 2018
Rekcutrev,RT @BernewsTech: BELCO Advisory: Website service interruption starting on Friday morning for 24 to 48 hours | #Bermuda https://t.co/GkDSoh6…,BELCO Advisory: Website service interruption starting on Friday morning for 24 to 48 hours | #Bermuda https://t.co/GkDSoh6FxV,Thu Aug 16 19:03:43 +0000 2018
BernewsTech,BELCO Advisory: Website service interruption starting on Friday morning for 24 to 48 hours | #Bermuda https://t.co/GkDSoh6FxV,,Thu Aug 16 18:56:18 +0000 2018
UNB_ITS,"Initial Posting: Scheduled Outage: IT Service Interruption on Sunday, Aug. 26 beginning at 6 a.m. https://t.co/IC8CtfeJgs",,Thu Aug 16 18:56:07 +0000 2018
comcastcares,@georgeslymanCFP Hi. I can check on any service interruption affecting your area. Could you please send me a DM with your name and the phone number linked to your account? -KCB,,Thu Aug 16 18:48:12 +0000 2018
Ask_Spectrum,@CherylMak216 Our apologies for the service interruption. I can check your account and the local area if you could DM your address or account number. ^PS,,Thu Aug 16 18:45:18 +0000 2018
StreamFREE_TV,"Toyota Becomes the Exclusive Automotive Partner of CuriosityStream's Global Streaming Service with the Launch of Toyota Theater .  All 1,800+ titles are streamed without commercial interruption.   https://t.co/rIItTUXdfs #roku #androidtv #firetv",,Thu Aug 16 18:33:25 +0000 2018
comcastcares,"@siddysaid Hi. I can check on any interruption to your service. Could you please send me a DM with your name, and the phone number and address linked to your account? -KCB",,Thu Aug 16 18:32:26 +0000 2018
WaterUtilityMgt,"#MillHill There is a service interruption in this area due to an emergency leak repair. Specifically Mill Hill Run &amp; Mill Hill Terrace will be affected until 5:00 p.m. Sorry for the inconvenience, Thank You for Your Patience!",,Thu Aug 16 18:27:42 +0000 2018
Ask_Spectrum,@GaminiteTV Our apologies for the service interruption. I can check your account and the local area if you could DM your address or account number. ^PS,,Thu Aug 16 17:48:17 +0000 2018
fscii,@Sabre3611 @sparkey909w @almostjingo @HeshmatAlavi @bsanjr @Twitter @ThomasWictor @drawandstrike @HNIJohnMiller @Ann__Kelly @DropTha_Mic25 @GeorgWebb @prayingmedic @DebbieAAldrich @JacobAWohl It can be immediate interruption of service  for web companies and assuming they get an krs Ebro turn it back on?  Nope. Let fed govt be in ckntemlt as you speak.  Remember they are playing dirty there’s no reason to not reach a painful lesson,,Thu Aug 16 17:38:42 +0000 2018
teamwork,@dawnrodriguez Hey Dawn! Thanks for taking the time to let us know! 💓 We're really happy to hear it's all operational again for you and once again we're sorry for the interruption to your service. Have a wonderful rest of your week! - Laura :),,Thu Aug 16 17:37:11 +0000 2018
TanukiMaki,"I like how whenever slack has service interruption and then comes back online, it's like everyone returning from war. https://t.co/7ZCb8SHmCw",,Thu Aug 16 17:18:34 +0000 2018
EAPservices,"If your business faces a situation such as Impact, Fire, Flood, Theft or Subsidence which causes business interruption. EAP Disaster Recovery Team offer a 24/7, 365 day service for inspections, securing the site, remedial schemes to help you get back on track. Call 01206 768556 https://t.co/yXOIZXPwNd",,Thu Aug 16 17:05:06 +0000 2018
teamwork,@utjacob Hey Jacob! Thanks for the tweet! It does appear that there's a slight server issue occurring. Our development teams are investigating and we'll get everything back up and running as soon as we can. Sorry for the interruption to your service! - Laura :),,Thu Aug 16 17:04:55 +0000 2018
SlackHQ,"@autoKsS @willems_steph From all of us here at Slack, thank you for wearing pants.  Also, sorry for the service interruption! 🙏",,Thu Aug 16 16:53:33 +0000 2018
Ask_Spectrum,@VolpeShimoda Apologies for the service interruption. Please follow/DM your account number as well as the service address and phone number associated with the account. ^SS,,Thu Aug 16 16:50:10 +0000 2018
uiwtechcheck,SERVICE INTERRUPTION: myWord Portal https://t.co/H3MISDfdvg,,Thu Aug 16 16:44:18 +0000 2018
SlackHQ,@Kerasai We're so sorry for the interruption. We're working quickly to restore service for you.,,Thu Aug 16 16:37:25 +0000 2018
SlackHQ,@Meta_Ashley @AndyChalk Pardon the interruption. We're looking into what's causing the service disruption. We hope to have everything back up and running for you shortly.,,Thu Aug 16 16:31:09 +0000 2018
comcastcares,@cycle_loft I would be happy to look into this for you today. Please send me a DM with your name and phone number associated with the account if you'd like more information on the interruption to your phone service. -BR,,Thu Aug 16 16:24:36 +0000 2018
NorthernNature4,RT @CityofIqaluit: City is advising residents at the following addresses that there will be a temporary interruption in water service today…,"City is advising residents at the following addresses that there will be a temporary interruption in water service today, from 1-5 PM, in order to make a small repair. Homes affected include 1627, 1625, 1623,1621, 1619, 1617 and 1615. The City thanks you for your understanding.",Thu Aug 16 16:16:09 +0000 2018
MayorMadeleine,RT @CityofIqaluit: City is advising residents at the following addresses that there will be a temporary interruption in water service today…,"City is advising residents at the following addresses that there will be a temporary interruption in water service today, from 1-5 PM, in order to make a small repair. Homes affected include 1627, 1625, 1623,1621, 1619, 1617 and 1615. The City thanks you for your understanding.",Thu Aug 16 16:05:08 +0000 2018
comcastcares,"@DacenOctavio Hello. I am happy to look into this service interruption. Please confirm your name, the name on the account, address and phone number via direct message. Thanks.-JC",,Thu Aug 16 15:48:36 +0000 2018
comcastcares,"@Dayreamer I understand it sounds tedious, but because we are a team that works on social media, we have requirements for needing to authenticate accounts before giving out information, even if it is something as general as a service interruption. -OH",,Thu Aug 16 15:18:25 +0000 2018
CityofIqaluit,"City is advising residents at the following addresses that there will be a temporary interruption in water service today, from 1-5 PM, in order to make a small repair. Homes affected include 1627, 1625, 1623,1621, 1619, 1617 and 1615. The City thanks you for your understanding.",,Thu Aug 16 15:10:53 +0000 2018
Shawhelp,@BARRICADEttv Hey BARRICADE! So sorry to hear that the service interruption you experienced affected your birthday plans. We can absolutely reverse the charges for your Shaw services during the outage period. Send us a DM with your details so that I can get started on that. ^Jas https://t.co/4wSB2SMXQG,,Thu Aug 16 14:35:10 +0000 2018
joeesuuu,"takte, since Tuesday pa kami walang tubig. tapos hanggang Friday pa pala wala?? anuna

Maynilad announces selected service interruptions due to murky water in Ipo Dam https://t.co/dKXUB3PasC",,Thu Aug 16 14:27:22 +0000 2018
CityofMarcoISL,THURSDAY 8.16.18 - WATER SERVICE INTERRUPTION IN THE AREA 260 LANDMARK ST - PRECAUTIONARY BOIL WATER IN EFFECT UNTIL NOTIFIED. https://t.co/fTLhNE9iWj,,Thu Aug 16 14:25:28 +0000 2018
pozmagazine,"#TBT 2008 July/Aug POZ - Jeremiah Johnson heeded his country’s call to public service by volunteering for the Peace Corps. But when he himself became infected there, the Peace Corps dismissed him. https://t.co/5ZswyMsQLX #HIV",,Thu Aug 16 14:20:13 +0000 2018
Shawhelp,"@jilleens Hello Jilleen! So sorry for the interruption you experienced overnight and the fact that you were not able to connect with us to have it looked into. FYI, you are able to sign up for email alerts for outages/maintenance in your area, at https://t.co/Q82k1LHxxz. ^Jas",,Thu Aug 16 14:18:12 +0000 2018
aishteryoongi,"'Failed to sent' and 'not delivered' is the bffs now, they prevent my secret messages to be sent... thank you globe for the interruption service",,Thu Aug 16 14:12:49 +0000 2018
TechGenix,Here is how to migrate Hyper-V VMs without any interruption in service. https://t.co/15dQgkilvF #hyperv #windows #sysadmin #itpro,,Thu Aug 16 14:00:02 +0000 2018
BplLtd,"Good Morning

BPL wishes to advise consumers in the area of FireTrail Rd West, near Faith Ave, that there will be an interruption in service due to equipment upgrades. The current restoration time is... https://t.co/uf2pReCMre",,Thu Aug 16 13:42:40 +0000 2018
amyslayer,PUTANG INANG @MANILAWATERPH WALA KAMING TUBIG TANGINA YAN 14 HOURS YUNG SERVICE INTERRUPTION NINYO MGA KINGINA KAYO,,Thu Aug 16 13:37:34 +0000 2018
Cool_C_Mo,"@RealSexyCyborg @thacker If only the bureaucrats working for the Chinese government had the same level of dedication to customer service. It would be nice, just once, to not be treated as an annoyance or interruption of their gossip sessions.",,Thu Aug 16 13:24:31 +0000 2018
CityofGrinnell,Water Service Interruption - West Street: Water service has been interrupted on West Street from 4th to 6th Avenues and on 6th Avenue from Spring to West Streets while water department personnel make repairs to a main. https://t.co/fRr3MoeYnV,,Thu Aug 16 13:24:05 +0000 2018
GuelphBugle,RT @guelphtransit: Detour Alert: The platforms at the University Centre are still being repaved. This slightly affects your pick up and dro…,"Detour Alert: The platforms at the University Centre are still being repaved. This slightly affects your pick up and drop off locations at the UC. 

Learn more and plan ahead: https://t.co/FXhDEtTMUS https://t.co/8PwPVqmHUR",Thu Aug 16 13:21:47 +0000 2018
guelphtransit,"Detour Alert: The platforms at the University Centre are still being repaved. This slightly affects your pick up and drop off locations at the UC. 

Learn more and plan ahead: https://t.co/FXhDEtTMUS https://t.co/8PwPVqmHUR",,Thu Aug 16 13:16:58 +0000 2018
Lighthouse_IT,Imagine never having to worry about an interruption to your internet service again. The future is now! To learn how to keep your business “always connected” contact us today. #WiFi https://t.co/P6JXSE6sJj https://t.co/h65K0UWmmZ,,Thu Aug 16 13:01:17 +0000 2018
KennydheF,RT @BusinessMirror: To all affected residents: Be reminded of tonight’s water-service interruption brought by the pipelaying and interconne…,"To all affected residents: Be reminded of tonight’s water-service interruption brought by the pipelaying and interconnection activity of the Manila Water along Edsa-Shaw Boulevard.

#WaterInterruption
#ManilaWater https://t.co/0ASiQw0KqG",Thu Aug 16 12:55:50 +0000 2018
BrunoDamani,"RT @NAWASAGrenada: Service interruption in Springs Woburn, Calivigny, and Dixie through to Golf Course in the parish of St. George, due to…","Service interruption in Springs Woburn, Calivigny, and Dixie through to Golf Course in the parish of St. George, due to a damaged water main.
Repairs are ongoing and restoration is anticipated by 4:00p.m. today Thursday, August 16th, 2018. Please utilise your stored supply.",Thu Aug 16 12:49:35 +0000 2018
NAWASAGrenada,"Service interruption in Springs Woburn, Calivigny, and Dixie through to Golf Course in the parish of St. George, due to a damaged water main.
Repairs are ongoing and restoration is anticipated by 4:00p.m. today Thursday, August 16th, 2018. Please utilise your stored supply.",,Thu Aug 16 12:44:11 +0000 2018
VZWSupport,"@kerryp63 Oh no, we never want our customers to experience any service interruption. Making sure we can provide you the best resolution and get you back up and connected is vital. Please provide us the ZIP Code of where you're experiencing service interruptions. We'll be standing by.  *JAW",,Thu Aug 16 12:05:00 +0000 2018
TheRed_Scar,Mag kakaroon daw ng temporary water service interruption sa mandaluyong. Hmm. Di bale' katabi ko lang ang pasig river. 😅,,Thu Aug 16 12:03:27 +0000 2018
EastlinkSupport,"@Hayonic_ Hello Brandon - There is currently an interruption for our Internet service, we are working on the fix as we speak, Thank you for your patience.",,Thu Aug 16 11:57:13 +0000 2018
randirrousseau,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Thu Aug 16 11:37:04 +0000 2018
WorktribeYork,The Research Systems Support Hub will be moving to the Harry Fairhurst building from tomorrow. We may have some telephone service interruption during the transfer but please contact us via email (worktribe-support@york.ac.uk) if you have any issues or queries.,,Thu Aug 16 11:28:25 +0000 2018
Zuku_WeCare,"@photosbycaryn Hi Caryn, we have scheduled a visit to your premises to resolve the service interruption. Please wait on our call, we will contact you prior arrival. *MN",,Thu Aug 16 11:23:47 +0000 2018
stjtradewinds,"Virgin Islands Water &amp; Power Authority reports that full restoration was achieved at 10:11 p.m., Wednesday. At the time of full-service restoration, three generating units were on-line powering the St. Thomas-St. John District. https://t.co/la65EvzNRl",,Thu Aug 16 11:15:12 +0000 2018
edlewis11,RT @USVInews: St John Tradewinds: WAPA Restores Major Electrical Service Interruption in District https://t.co/LHLMXHdehH,St John Tradewinds: WAPA Restores Major Electrical Service Interruption in District https://t.co/LHLMXHdehH,Thu Aug 16 11:11:18 +0000 2018
USVInews,St John Tradewinds: WAPA Restores Major Electrical Service Interruption in District https://t.co/LHLMXHdehH,,Thu Aug 16 10:55:20 +0000 2018
SurtiPrakash,Worst customer experience ever. My ID is dns_surti202 and I am giving complaints every alternate day for issue of service interruption. Company is least bothered to resolve issues https://t.co/YS2thW9Kp8,,Thu Aug 16 10:38:27 +0000 2018
BusinessMirror,"To all affected residents: Be reminded of tonight’s water-service interruption brought by the pipelaying and interconnection activity of the Manila Water along Edsa-Shaw Boulevard.

#WaterInterruption
#ManilaWater https://t.co/0ASiQw0KqG",,Thu Aug 16 10:34:35 +0000 2018
TalentPathwayUS,"APIs &amp; Integration !
@TalentPathwayUS ​ - We have API integrations for career page, job boards etc. which will provide you seamless service without any interruption or wait time. Know more: https://t.co/i7YfqGVz87   
#ApplicantTrackingSystem #ATS #Recruitment #Staffing #JobBoards https://t.co/Oa9uLOdCtU",,Thu Aug 16 10:28:41 +0000 2018
GoreyChamber,"RT @wexfordcoco: 🚰Due to a major watermain burst, water supply to areas to the west of Gorey Town are currently experiencing water supply i…","🚰Due to a major watermain burst, water supply to areas to the west of Gorey Town are currently experiencing water supply interruption. Updates to follow. @iwcare #WaterAlert https://t.co/IzNCcgTq15",Thu Aug 16 10:21:59 +0000 2018
lalalacarla,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions ton…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions tonight until tomorrow. https://t.co/gTty6c3CYz https://t.co/ERKGIkm9R6",Thu Aug 16 09:51:39 +0000 2018
tvThirdEye,"CNN 2:40am FEELING THE SANCTIONS
REAGAN NATIONAL AIRPORT LOSES POWER. . Operations back to normal after overnight service interruption",,Thu Aug 16 09:41:33 +0000 2018
meahsor404,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Thu Aug 16 09:37:33 +0000 2018
comcastcares,@RevelationKnows Thank you for the information. You can also verify the status of any service interruption via your MyAccount app or by using the following link https://t.co/JeZ8Y4hDi5 -EC,,Thu Aug 16 09:33:40 +0000 2018
comcastcares,@RevelationKnows Hi there. I'll be more than happy to assist you. Are you stating that the area you are in is having a service interruption? -EC,,Thu Aug 16 09:30:44 +0000 2018
NewRossChamber,"RT @wexfordcoco: 🚰Due to a major watermain burst, water supply to areas to the west of Gorey Town are currently experiencing water supply i…","🚰Due to a major watermain burst, water supply to areas to the west of Gorey Town are currently experiencing water supply interruption. Updates to follow. @iwcare #WaterAlert https://t.co/IzNCcgTq15",Thu Aug 16 09:30:43 +0000 2018
MapAlerter,"🚰🚰 #WEXFORD: Due to a major watermain burst, water supply to areas to the west of Gorey Town are currently experiencing water supply interruption. Updates to follow. @iwcare #WaterAlert  https://t.co/A58MSI9E3B via @wexfordcoco",,Thu Aug 16 09:28:03 +0000 2018
wexfordcoco,"🚰Due to a major watermain burst, water supply to areas to the west of Gorey Town are currently experiencing water supply interruption. Updates to follow. @iwcare #WaterAlert https://t.co/IzNCcgTq15",,Thu Aug 16 09:28:03 +0000 2018
marklloydborela,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions ton…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions tonight until tomorrow. https://t.co/gTty6c3CYz https://t.co/ERKGIkm9R6",Thu Aug 16 09:20:47 +0000 2018
tvThirdEye,"CNN 2:07am REAGAN NATIONAL AIRPORT LOSES POWER. . Operations back to normal after overnight service interruption
JURY DELIBERATIONS...",,Thu Aug 16 09:08:29 +0000 2018
Ask_Spectrum,@empirenine Good morning Mike. I can confirm that a service interruption has been declared for your area. This could be causing a partial of full interruption of all lines of service. Although I do not have an estimated time of resolution to provide for this issue... https://t.co/ZNWDFXk6le,,Thu Aug 16 09:02:43 +0000 2018
FaibaJTL,@wachupaulus we are currently experiencing service interruption in Githurai. Our team is working to restore service. Thank you for your patience. ^MM,,Thu Aug 16 09:02:30 +0000 2018
trell_man,"RT @cnnphilippines: Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions ton…","Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions tonight until tomorrow. https://t.co/gTty6c3CYz https://t.co/ERKGIkm9R6",Thu Aug 16 09:02:19 +0000 2018
cnnphilippines,"Residents in several parts of Metro Manila are advised to stock up on water, as there will be service interruptions tonight until tomorrow. https://t.co/gTty6c3CYz https://t.co/ERKGIkm9R6",,Thu Aug 16 09:00:00 +0000 2018
Groupe_Factoria,"Comme tous les étés, 🌞  Le Groupe Factoria sera ouvert sans interruption et maintient son niveau de service maximum !
Nos équipes restent mobilisées à votre service. 😎 
#Factoria #GroupeFactoria https://t.co/CBEGjjwzWG",,Thu Aug 16 08:47:00 +0000 2018
FaibaJTL,@Josh_M_T we are experiencing service interruption in Ruiru and it environs. Team is currently addressing this. ^MM,,Thu Aug 16 08:28:20 +0000 2018
Yamthief,RT @TORWater: Join TOR Water risk-free and save approximately 5% on your water bills. We guarantee no interruption to your supply and handl…,"Join TOR Water risk-free and save approximately 5% on your water bills. We guarantee no interruption to your supply and handle the entire switch process. You can get unmatched customer service and support a local business, directly benefiting the economy in the South West.",Thu Aug 16 08:22:37 +0000 2018
tvThirdEye,"CNN 1:09am REAGAN NATIONAL AIRPORT LOSES POWER. . Operations back to normal after overnight service interruption
JURY DELIBERATIONS...",,Thu Aug 16 08:10:28 +0000 2018
Ask_Spectrum,"@Angelino1484 Good morning. I can confirm that a service interruption has been declared for your area. This could be causing a partial of full interruption of all lines of service. Although I do not have an estimated time of resolution to provide for this issue, I w... https://t.co/ccmHHD4SWx",,Thu Aug 16 08:09:25 +0000 2018
NORECOTWO,"Vegetation clearing scheduled power service interruption on August 20, 22 and 23, 2018 https://t.co/oIoijM2jju",,Thu Aug 16 07:59:06 +0000 2018
NORECOTWO,"Change in Schedule of the Power Service Interruption  on August 18 and 19, 2018 https://t.co/J663MMjSw5",,Thu Aug 16 07:48:19 +0000 2018
comcastcares,"@BlueLantern2187 I would be happy to pull up the account and provide any updates regarding this service interruption. Please send a DM with the full name on the account, your full name and either the full account number or the phone number associated with the account. - MEC",,Thu Aug 16 07:43:44 +0000 2018
aqua_gib,16 August 2018 - Service Availability Information - Potable Water Interruption Today https://t.co/9hpKBqfbQv,,Thu Aug 16 07:39:19 +0000 2018
comcastcares,"@sactechnerd I can definitely understand why an unplanned service interruption like this would be frustrating for you. If you could DM the name on your account and the phone number linked to the account, I will be happy to see what is going on here. Thanks. - BLS",,Thu Aug 16 07:06:41 +0000 2018
comcastcares,@intothebit Hi there. I'll be more than happy to help you out. You can verify the status of a service interruption by using this link https://t.co/JeZ8Y4hDi5 -EC,,Thu Aug 16 06:41:59 +0000 2018
tristanjuls,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Thu Aug 16 06:17:53 +0000 2018
USVInews,#StJohn Source: ALERT: WAPA Restores Major Electrical Service Interruption in District https://t.co/HZYyN3d5PD #USVI,,Thu Aug 16 04:42:23 +0000 2018
Midcontinent,"@AJ_Feldman Hello, AJ. I apologize for the interruption in your internet service, but I'll be happy to help and see what I can do to get you back online. I just responded to your DM when you get the chance to take a look. -Bryan W",,Thu Aug 16 04:40:25 +0000 2018
USVInews,#StThomas Source: ALERT: WAPA Restores Major Electrical Service Interruption in District https://t.co/8hcGgZYUMc #USVI,,Thu Aug 16 04:38:25 +0000 2018
CTS_Infostrafic,"Du 6 au 17 août inclus, travaux #TRAM ligne B, interruption entre Wacken et Hoenheim Gare. Des bus de remplacement sont en place pour assurer la continuité du service. Vous trouverez toutes les infos ici : https://t.co/ITckrYkV9h",,Thu Aug 16 04:21:56 +0000 2018
PanahonTV,WATER INTERRUPTION | Heads up! The following areas will experience temporary water service interruption. https://t.co/alDf2OKQVn,,Thu Aug 16 04:16:37 +0000 2018
MediacomSupport,@BaldWooki33 I do apologize for your recent service interruption.  Please send us ad DM if you are still having any problems. *MM https://t.co/VptZ9n1BsK,,Thu Aug 16 03:46:05 +0000 2018
MrPepsiLLas,RT @PanahonTV: WATER INTERRUPTION | Heads up! The following areas will experience temporary water service interruption. https://t.co/HE2994…,WATER INTERRUPTION | Heads up! The following areas will experience temporary water service interruption. https://t.co/HE2994YEEG,Thu Aug 16 03:45:43 +0000 2018
ArielRomaAngela,No classes due to water supply service interruption. Oh perfect 💕 Long weekend! 💕,,Thu Aug 16 03:43:45 +0000 2018
rose_bruja,@CoxHelp I saw there was a service interruption in my area but was supposed to be at seven. It’s 8:30 and it’s still not on. I need a guy to come out again because this is the second time this has happened in the last two months,,Thu Aug 16 03:30:00 +0000 2018
PanahonTV,WATER INTERRUPTION | Heads up! The following areas will experience temporary water service interruption. https://t.co/HE2994YEEG,,Thu Aug 16 03:08:50 +0000 2018
cm_menard,@HalifaxWater @hfxgov Whatever Halifax water did to date appears to only be a temporary solution. When is the next service interruption planned? Can you warn us this time? https://t.co/Eg0iNFa74R,,Thu Aug 16 02:58:21 +0000 2018
Ask_Spectrum,"@kayteemick My apologies for the interruption in your service Katie. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Thu Aug 16 02:50:09 +0000 2018
comcastcares,@hiteshkp80 Hi! I would like to look into this. Can you please send me your name and phone number associated with your account so that I can see what's going on with the service interruption? -XG,,Thu Aug 16 01:30:21 +0000 2018
Bell_Support,"@speck44 Hi Gerry, we're currently experiencing a service interruption in the Mississauga area. We currently have our field technicians working on having this fixed as soon as possible. We apologize for the inconvenience caused. ^LS",,Thu Aug 16 00:57:50 +0000 2018
MagickSteve01,"RT @Orange__RDC: #OffresOrangePME
Limitez les risques d’interruption de service et garantissez la  continuité de votre activité grâce à l’i…","#OffresOrangePME
Limitez les risques d’interruption de service et garantissez la  continuité de votre activité grâce à l’internet très 📶haut débit📶de Orange
Info au ☎️+243840001999 📲ou par 📩 1999.info@orange.com
Site web ➡️https://t.co/jvRvteVPYW
@Orange__RDC https://t.co/3wy2bLFqqi",Thu Aug 16 00:54:20 +0000 2018
BruceStreetTech,It appears the issue at the datacenter has now been resolved.  Access restored to all fiber circuits and service restored to all clients.  Thank you for your patience during this brief interruption in service.,,Thu Aug 16 00:54:05 +0000 2018
Ask_Spectrum,"@brandon_63 My apologies for the interruption in your service Brandon. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Thu Aug 16 00:50:00 +0000 2018
Ask_Spectrum,"@teamfelty My apologies for the interruption in your service. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Thu Aug 16 00:30:13 +0000 2018
HyparAEC,A brief service interruption while we update our security headers.,,Thu Aug 16 00:27:23 +0000 2018
BigDataGear,Prise en charge par Amazon Elasticsearch Service des mises à niveau de version en place sans interruption https://t.co/7r4ybgyrqv #BigData #bigdata,,Thu Aug 16 00:20:25 +0000 2018
Syntzx,No stream again tonight. Turns out theres a service interruption in my area due to construction. Hopefully will be back by tomorrow,,Thu Aug 16 00:18:10 +0000 2018
PTVph,"NEWS | Manila Water service interruption set in 4 cities

https://t.co/LQ9AupDgtf",,Thu Aug 16 00:10:00 +0000 2018
_pamelakyle,"RT @ManilaWaterPH: SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. I…","SERVICE ADVISORY: Itutuloy na ang pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Huwebes ng gabi, Agosto 16. Ito ang mga barangay na mawawalan ng serbisyong tubig sa Mandaluyong, Pasig, San Juan at QC: https://t.co/zNBc3JhwSE https://t.co/CL01nOOfWc",Thu Aug 16 00:01:40 +0000 2018
AnalyticsFr,Prise en charge par Amazon Elasticsearch Service des mises à niveau de version en place sans interruption - https://t.co/pFYKw0jvIP #BigData #Analytics,,Wed Aug 15 23:57:20 +0000 2018
AnalyticsFrance,Prise en charge par Amazon Elasticsearch Service des mises à niveau de version en place sans interruption - https://t.co/rt8up5NM7l #BigData,,Wed Aug 15 23:57:08 +0000 2018
BigData_Fr,Prise en charge par Amazon Elasticsearch Service des mises à niveau de version en place sans interruption https://t.co/xf3xsmaJM8 #BigData,,Wed Aug 15 23:56:14 +0000 2018
chetolentino2,"RT @sharon_mtpi: Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmis…","Dito na lang muna ako sa MaiChard ko kesa mabwisit ako sa water service interruption na walang prior notice. 

#ALDUBAdmistTheStorm 
#VMPanaLo https://t.co/QKFGePuhlT",Wed Aug 15 23:31:57 +0000 2018
sanjuancityncr,"PAALALA SA MGA APEKTADONG BARANGAY:

WATER SERVICE INTERRUPTION  mula ngayon August 16, 7:00 pm hanggang bukas August 17, 9:00 sa barangays

Addition Hills
Corazon de Jesus 
Greenhills 
Little Baguio 
Pasadena
West Crame",,Wed Aug 15 23:31:22 +0000 2018
SKYserves,"@lifestyle_doc Hi @lifestyle_doc. As checked, the service interruption on your area is already restored. Kindly reset your cable modem by unplugging for 30 seconds and re-plugging only from power source. Please let us know i9f this resolves the issue. Thank you.",,Wed Aug 15 23:27:19 +0000 2018
oitsupport,"Scheduled (Sep 5, 2018, 22:00 AKDT): Alaska Communications will be performing network maintenance to perform firmware upgrade in Cable Systems nodes. One interruption in service of up to 5 minutes is anticipated during the maintenance window for unprote… https://t.co/uWnRa1Sm3X",,Wed Aug 15 23:15:30 +0000 2018
