joyce_macri,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/jp7JevzZcC via @houstonchron,,Sat Aug 18 19:34:20 +0000 2018
fairoz252525,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sat Aug 11 01:36:18 +0000 2018
BernarttM,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sat Aug 11 00:44:01 +0000 2018
GwenRasheed,"Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/0wfriyY4hy",,Sat Aug 11 00:20:05 +0000 2018
___taty996,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sat Aug 11 00:07:53 +0000 2018
janellvictoriaa,Banana Quake Shakes from the Ghirardelli factory are life,,Fri Aug 10 23:30:49 +0000 2018
MimindiyeMuli,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:46:57 +0000 2018
feerzylant,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:35:40 +0000 2018
TenevaNina,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:31:04 +0000 2018
jcmarbury,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:24:13 +0000 2018
BillQuarks,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:13:27 +0000 2018
ifawani,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:10:13 +0000 2018
AlbertoAguayo19,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:01:44 +0000 2018
Oldlady12345,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 22:00:45 +0000 2018
dianesbaker1,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 21:59:18 +0000 2018
PEPILLOMEX,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 21:58:24 +0000 2018
AndreaS32753064,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 21:58:23 +0000 2018
Bryman7076,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 21:53:13 +0000 2018
luvmy4durans,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Fri Aug 10 21:51:01 +0000 2018
ABC,"Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",,Fri Aug 10 21:50:53 +0000 2018
remmy_ebooks,"the earth shakes, the heavens quake, and demons rise from the course is super traditional &amp; sexist tho",,Fri Aug 10 21:05:48 +0000 2018
BoiEvan,I’ve got the shakes that’ll make you quake.,,Fri Aug 10 19:10:21 +0000 2018
hotdutchapple,"Get through today
And know that you are secure
Get a grasp on the fact
That this is what you're here for

You can quake at the thought of it
Shakes you up quite a bit
And all you do is think
And thinking gets you nowhere",,Fri Aug 10 17:23:58 +0000 2018
mcc_nfreak,@Shakes_TV LOL I can imagine. I tried getting into Quake Live back when that launched and h o l y f u c k,,Fri Aug 10 16:26:25 +0000 2018
Shakes_TV,@mcc_nfreak It's fun but can be SUPER oppressive with the 20 year Quake vets running the show,,Fri Aug 10 16:25:18 +0000 2018
whitedragondigi,A 6.2 magnitude aftershock sent thousands of residents of the Indonesian island of Lombok running into the streets and toppled buildings already weakened by... https://t.co/rSFqIos9pQ,,Fri Aug 10 10:03:33 +0000 2018
HAWAIInowApp,https://t.co/uRKzWpcdA1 - Quake shakes Big Island #HInow https://t.co/UOcmgRFp5P,,Fri Aug 10 07:53:10 +0000 2018
monkeyzie,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Fri Aug 10 07:01:32 +0000 2018
Claudiaolmedo97,"👅 Lisa's got the shakes that'll make you quake (22 Photos) 🍏

https://t.co/imX8ASdNt8",,Fri Aug 10 05:22:05 +0000 2018
Asianbiznett,Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/xIQkdPEVIM #Asia #Business,,Fri Aug 10 04:47:28 +0000 2018
FinanzLinksAsia,▶ Powerful Aftershock Shakes Survivors of Indonesia Quake: A 6.2 magnitude aftershock sent thousands of residents of the Indonesian island of Lombok running into the streets and toppled buildings already weakened by Sunday’s magnitude 7.0 quake. https://t.co/G2uLOJM9oU WSJ,,Fri Aug 10 04:33:04 +0000 2018
NewsBossIndia,Powerful Aftershock Shakes Survivors of Indonesia Quake.. https://t.co/NkAyPRT10B,,Fri Aug 10 02:19:12 +0000 2018
ElDaveoh,@checked255 @natative @Alkazah9 Hope a earth quake shakes ur house down ya gronk,,Fri Aug 10 02:01:11 +0000 2018
akushahz,"“People were running everywhere, screaming.” Indonesia aftershock topples buildings weakened by Sunday’s earthquake as death toll rises above 200 https://t.co/s1l59YKFkg via @WSJ",,Fri Aug 10 01:15:23 +0000 2018
SunStarBacolod,"The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week Thursday, August 9, as an official said the death toll from an... https://t.co/slThpohPWW",,Fri Aug 10 00:30:04 +0000 2018
bcnn1,"#DAILYLINE: Global Leadership Summit #GLS18 begins after mass exodus of #WillowCreek leadership;

@BishopBronner threatens God's judgment on critics of his meeting with Trump;

Death toll rises to 300 as 3rd big quake shakes #Lombok;

and more... https://t.co/uu8zUxnbNP",,Thu Aug 09 23:51:06 +0000 2018
eliasorr2,"Lisa's got the shakes that'll make you quake (22 Photos) 😊

https://t.co/m39iu14qIM",,Thu Aug 09 23:16:07 +0000 2018
SofieJV,"RT @YahooPH: Third strong earthquake shakes Lombok as death toll tops 300
https://t.co/EIxgyPYXUH","Third strong earthquake shakes Lombok as death toll tops 300
https://t.co/EIxgyPYXUH",Thu Aug 09 22:11:13 +0000 2018
YahooPH,"Third strong earthquake shakes Lombok as death toll tops 300
https://t.co/EIxgyPYXUH",,Thu Aug 09 21:30:01 +0000 2018
MyZAcoza,The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/vhXX386SGC,,Thu Aug 09 20:15:42 +0000 2018
AlohaEvery1,RT @HITribuneHerald: Quake shakes Big Island https://t.co/9CjjVpmByL,Quake shakes Big Island https://t.co/9CjjVpmByL,Thu Aug 09 19:38:41 +0000 2018
HITribuneHerald,Quake shakes Big Island https://t.co/9CjjVpmByL,,Thu Aug 09 19:28:51 +0000 2018
iamsteadyrock,RT @fantomfreq: @iamsteadyrock I got the shakes that’ll make you quake. I got the burgers that’ll... well i just got burgers,@iamsteadyrock I got the shakes that’ll make you quake. I got the burgers that’ll... well i just got burgers,Thu Aug 09 19:22:00 +0000 2018
HAWAIInowApp,https://t.co/PYdOZPFz86 - Quake shakes Big Island #HInow https://t.co/1RCA5Kh0WC,,Thu Aug 09 19:18:29 +0000 2018
aklen,RT @SCMPNews: Panic in the streets as third strong quake shakes Lombok https://t.co/JITPDHnRyM,Panic in the streets as third strong quake shakes Lombok https://t.co/JITPDHnRyM,Thu Aug 09 19:11:53 +0000 2018
SCMPNews,Panic in the streets as third strong quake shakes Lombok https://t.co/JITPDHnRyM,,Thu Aug 09 19:10:07 +0000 2018
awriterfree,New post: Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/1CrhMs0wy9,,Thu Aug 09 19:07:50 +0000 2018
wwmtnews,"The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week Thursday as the official death toll from an earlier quake topped 300.
https://t.co/jca6QBWP51",,Thu Aug 09 18:17:00 +0000 2018
thailandtrick,Third strong quake shakes Lombok as death toll tops 300 https://t.co/D1qSDaELWW,,Thu Aug 09 17:35:05 +0000 2018
LumpyAsia,Panic as third strong quake shakes Lombok and death toll hits 319 https://t.co/yCsHzqlJFV via @SCMPNews https://t.co/Ava8IRjqWN,,Thu Aug 09 17:04:03 +0000 2018
sharonschauffle,RT @KTVL: The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week Thursday as the official death to…,"The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week Thursday as the official death toll from an earlier quake topped 300.
https://t.co/dPtikkKO9T",Thu Aug 09 16:39:17 +0000 2018
KTVL,"The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week Thursday as the official death toll from an earlier quake topped 300.
https://t.co/dPtikkKO9T",,Thu Aug 09 16:30:01 +0000 2018
EtherealCetra,"RT @UnholyMandylion: » A stellar quake shakes the astral plane; the darkness around me, dense as blackened matter —
              &amp; here I…","» A stellar quake shakes the astral plane; the darkness around me, dense as blackened matter —
              &amp; here I dwell, trapp'd in the
universe I once wished to shatter... «",Thu Aug 09 16:26:04 +0000 2018
UnholyMandylion,"» A stellar quake shakes the astral plane; the darkness around me, dense as blackened matter —
              &amp; here I dwell, trapp'd in the
universe I once wished to shatter... «",,Thu Aug 09 16:23:10 +0000 2018
fantomfreq,@iamsteadyrock I got the shakes that’ll make you quake. I got the burgers that’ll... well i just got burgers,,Thu Aug 09 15:54:53 +0000 2018
KTSF26,More quake shakes Indonesia as death toll tops 300 https://t.co/icudc7Eo1N,,Thu Aug 09 15:54:52 +0000 2018
AnitaS64,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 15:46:11 +0000 2018
Tasha64527254,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 15:13:29 +0000 2018
diverstynews,Third strong earthquake shakes Indonesia in less than a week as death toll tops 300 https://t.co/IzoSg5Iucx https://t.co/36vuy5d8s8,,Thu Aug 09 14:34:09 +0000 2018
HarlanPeterson1,"Panic as third strong quake shakes Lombok and death toll hits 319
https://t.co/gAkUefWEL7",,Thu Aug 09 14:31:28 +0000 2018
norma_efi,RT @trueblackpower: Third strong earthquake shakes Lombok as death toll tops 220 https://t.co/ufdl9ZOIpx,Third strong earthquake shakes Lombok as death toll tops 220 https://t.co/ufdl9ZOIpx,Thu Aug 09 13:58:31 +0000 2018
ArdentFangirl,RT @PhilippineStar: The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week as an official said the…,The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week as an official said the death toll from an earlier quake had topped 220. https://t.co/rrf4J6fsZT https://t.co/DImcRakQAg,Thu Aug 09 13:52:59 +0000 2018
mehnar,"RT @EnglishFars: Another Strong Quake Shakes Indonesia's Lombok as Death Toll from Earlier Earthquake Jumps to 347
https://t.co/cYUPabGvRJ…","Another Strong Quake Shakes Indonesia's Lombok as Death Toll from Earlier Earthquake Jumps to 347
https://t.co/cYUPabGvRJ https://t.co/Ev5OiyCnPb",Thu Aug 09 13:46:40 +0000 2018
EnglishFars,"Another Strong Quake Shakes Indonesia's Lombok as Death Toll from Earlier Earthquake Jumps to 347
https://t.co/cYUPabGvRJ https://t.co/Ev5OiyCnPb",,Thu Aug 09 13:46:14 +0000 2018
TrojanNinja85,RT @trueblackpower: Third strong earthquake shakes Lombok as death toll tops 220 https://t.co/ufdl9ZOIpx,Third strong earthquake shakes Lombok as death toll tops 220 https://t.co/ufdl9ZOIpx,Thu Aug 09 13:45:46 +0000 2018
trueblackpower,Third strong earthquake shakes Lombok as death toll tops 220 https://t.co/ufdl9ZOIpx,,Thu Aug 09 13:37:51 +0000 2018
Khun_Kurt,RT @BangkokPostNews: Third strong quake shakes Lombok as death toll tops 300 https://t.co/SgrYMMKNp1,Third strong quake shakes Lombok as death toll tops 300 https://t.co/SgrYMMKNp1,Thu Aug 09 13:36:42 +0000 2018
PhilippineStar,The Indonesian island of Lombok was shaken by a third big earthquake in little more than a week as an official said the death toll from an earlier quake had topped 220. https://t.co/rrf4J6fsZT https://t.co/DImcRakQAg,,Thu Aug 09 13:30:01 +0000 2018
LisaTheRiveter,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 13:20:17 +0000 2018
worthynews,Aftershock shakes quake-hit Indonesian island https://t.co/9JQSAzGS8s #Earthquake #Indonesia #News #Tsunami #WorthyNews https://t.co/C4ZTasHURG,,Thu Aug 09 13:08:06 +0000 2018
mikeymikedoha,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 12:46:11 +0000 2018
WandaRufin,"Strong Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/j4hTyYVkQE via @SputnikInt",,Thu Aug 09 12:27:51 +0000 2018
JoshuaNoonan,Powerful Aftershock Shakes Survivors of Indonesia Quake https://t.co/jCu52OrQKY,,Thu Aug 09 12:18:33 +0000 2018
GupshupThikana,"Shake the #Moctails just like the taste of#Chocolate_Sandwich quake #you..

#chocolatesandwich #mocktails #shakes#beverages #gupsupthikana #snackscoffeeshop#fastfoodinjaipur https://t.co/8rh0eoMNVz",,Thu Aug 09 12:17:32 +0000 2018
kolr10kozl,The Latest: Indonesia minister says quake deaths pass 300 https://t.co/AMqWB3RzlQ https://t.co/EkZJ7lq6UU,,Thu Aug 09 12:07:07 +0000 2018
fjavierd,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 12:04:14 +0000 2018
michaelallenmar,Panic as third strong quake shakes Lombok and death toll hits 319 https://t.co/dLcos27FW7 via @SCMPNews,,Thu Aug 09 12:02:08 +0000 2018
JeanPaul0851,"“People were running everywhere, screaming.” Indonesia aftershock topples buildings weakened by Sunday’s earthquake as death toll rises past 200 https://t.co/eVrUVn1umd via @WSJ",,Thu Aug 09 11:35:32 +0000 2018
wagardner,"“People were running everywhere, screaming.” Indonesia aftershock topples buildings weakened by Sunday’s earthquake as death toll rises past 200 https://t.co/UIBoMXAWp4 via @WSJ",,Thu Aug 09 11:31:47 +0000 2018
Scumezza,UPDATE: Death toll tops 300 as third strong quake shakes #Indonesian island via @News24 https://t.co/dDjRs9trkg,,Thu Aug 09 11:26:26 +0000 2018
IrmaHurst15,The Latest: Aftershock shakes quake-hit Indonesian island https://t.co/sHUR6eGOHz https://t.co/oL1W5hCshQ,,Thu Aug 09 11:24:48 +0000 2018
Pip8AtF4r3c70ux,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/uzgy2zfgrb,,Thu Aug 09 11:22:12 +0000 2018
zSy9g17QaPc0QsL,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/X55JppVn7a,,Thu Aug 09 11:22:11 +0000 2018
sIP7W3wdioF1WP9,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/l65MWXshvU,,Thu Aug 09 11:20:13 +0000 2018
andreajones965v,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/dbMaHLAja9,,Thu Aug 09 11:19:33 +0000 2018
IvesNicoline,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/3RUj0uv4iz,,Thu Aug 09 11:19:15 +0000 2018
4HWfsvGFhDAJbhH,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/UFghrc7TyA,,Thu Aug 09 11:19:11 +0000 2018
AdenaBerkeley,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/5rdsnUu03g,,Thu Aug 09 11:19:08 +0000 2018
thealeonardo1,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/c8jDEa6sdE,,Thu Aug 09 11:19:07 +0000 2018
Vanessa89343809,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/IRnzI8OUkU,,Thu Aug 09 11:18:37 +0000 2018
cl3FNd57ERre2bt,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/Fd2a6Rm2ZZ,,Thu Aug 09 11:18:29 +0000 2018
Ori1QbybIkKR2v3,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/0mcD3FZ9ds,,Thu Aug 09 11:18:14 +0000 2018
jamescecilia591,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/lOoMoKWt0g,,Thu Aug 09 11:18:12 +0000 2018
MeganRu22675029,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/wOYcEZeNtD,,Thu Aug 09 11:18:09 +0000 2018
johnsoncathy921,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/jUneXNNLzK,,Thu Aug 09 11:18:07 +0000 2018
BGx2vXt8xpeGHQ5,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/zmXGW1QgM7,,Thu Aug 09 11:18:07 +0000 2018
RdYMxyVNVGhIDzX,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/6kmpF9IVHH,,Thu Aug 09 11:18:05 +0000 2018
rosemackenzie82,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/P4ModKnIke,,Thu Aug 09 11:18:05 +0000 2018
pLTHjIdJE1X9l3v,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/6Rln45PGar,,Thu Aug 09 11:18:04 +0000 2018
mHCVf97SQxuRKJN,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/vyPQyaGKJn,,Thu Aug 09 11:17:50 +0000 2018
SGukMgPAzwwdO1T,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/JdCeMqM8yP,,Thu Aug 09 11:17:27 +0000 2018
racheljoneszs41,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/9NCaYyHmdG,,Thu Aug 09 11:17:21 +0000 2018
umangbagans,"RT @WSJ: The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands o…","The 6.2-magnitude quake hit the northwest coast of Indonesia, where Sunday’s 7.0-magnitude temblor had damaged tens of thousands of homes
https://t.co/9aVniqOZRv",Thu Aug 09 11:17:20 +0000 2018
yvonnecameron41,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/d9AFt1zREM,,Thu Aug 09 11:17:19 +0000 2018
Melanie69282385,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/18h273XPoM,,Thu Aug 09 11:17:11 +0000 2018
Irisundergrace,RT @WashTimes: Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8jujJI34S,Thu Aug 09 11:16:43 +0000 2018
vitaminfeminin,RT @V6uaHSZFPnVvJdL: Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8JcAuE9Hc,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8JcAuE9Hc,Thu Aug 09 11:16:40 +0000 2018
lJrTBl7nC7dLtx8,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/Qc3LpeSxia,,Thu Aug 09 11:16:39 +0000 2018
elvera_willi,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/iKg0p17SLd,,Thu Aug 09 11:16:38 +0000 2018
nashwendy779c,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/CDbroAPL7g,,Thu Aug 09 11:16:34 +0000 2018
dianawelch996k,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/XZEHO8S5Mm,,Thu Aug 09 11:16:29 +0000 2018
kimbertha918d,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/9rdnJDElEi,,Thu Aug 09 11:16:24 +0000 2018
kBUCM0ogCAZxqgd,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/ThECeDUB4L,,Thu Aug 09 11:16:19 +0000 2018
V6uaHSZFPnVvJdL,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/r8JcAuE9Hc,,Thu Aug 09 11:16:17 +0000 2018
christo05496504,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/mIHoLwcUFX,,Thu Aug 09 11:16:13 +0000 2018
xGSyqVATJ15d63l,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/Blqm3baUzE,,Thu Aug 09 11:16:11 +0000 2018
stewartpayne361,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/88p8jq2Kmk,,Thu Aug 09 11:16:06 +0000 2018
wandalawrence26,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/9UZfybiSlW,,Thu Aug 09 11:15:43 +0000 2018
fionataylor369y,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/QmXm3cHeDR,,Thu Aug 09 11:15:34 +0000 2018
vFwnk2sL3LSrINk,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/kTXYgB5b7J,,Thu Aug 09 11:15:34 +0000 2018
HinesViola1,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/HW2gtyH6Gk,,Thu Aug 09 11:15:33 +0000 2018
suttonrose798h,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/crzl8liUuC,,Thu Aug 09 11:15:33 +0000 2018
e7o3ahWA9KllxI6,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/Hcc8cXyfDX,,Thu Aug 09 11:15:31 +0000 2018
TraceyG84160079,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/p8uixQ8AFz,,Thu Aug 09 11:15:28 +0000 2018
6c737RTaeGnGjjK,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/wQRmjTVScq,,Thu Aug 09 11:15:27 +0000 2018
ZebWillette,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/DiZfQZyQOq,,Thu Aug 09 11:15:25 +0000 2018
natalieogden291,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/qUjmLdRrPB,,Thu Aug 09 11:15:23 +0000 2018
samanthapater17,Third strong earthquake shakes Lombok as death toll tops 300 https://t.co/DXMzmIBlzq,,Thu Aug 09 11:15:23 +0000 2018
_Sound_Around_,Powerful Aftershock Shakes Survivors of Indonesia Quake A 6.2 magnitude aftershock sent thousands of residents of the Indonesian island of Lombok running into the streets and toppled buildings already weakened by Sunday’s magnitude 7.0 quake. https://t.co/HnXQnEhxxx bitly.c…,,Thu Aug 09 11:04:26 +0000 2018
St_Dedi,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 11:03:38 +0000 2018
thailandtrick,Third strong quake shakes Lombok as death toll tops 300 https://t.co/DxOEsuoFEC https://t.co/dgRzsHdRNK,,Thu Aug 09 11:01:06 +0000 2018
JPCK72,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:59:40 +0000 2018
Victor_Meykson,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:55:06 +0000 2018
banglanews_eng,3rd strong earthquake shakes Indonesia as death toll tops 220  The Indonesian island of Lombok is shaken by a third big earthquake in little more than a week Thursday as an official said the death toll from an earlier quake had topped 220. https://t.co/JhMDJuCfi0,,Thu Aug 09 10:53:16 +0000 2018
s_apiah,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:52:53 +0000 2018
Shahroel_azhar,RT @business: LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/L…,LATEST: Indonesia's top security minister says the death toll from last Sunday's earthquake has climbed to 319 https://t.co/LV74Nsho93 https://t.co/K7npDpF7RV,Thu Aug 09 10:52:02 +0000 2018
atthebeach93,RT @BangkokPostNews: Third strong quake shakes Lombok as death toll tops 300 https://t.co/SgrYMMKNp1,Third strong quake shakes Lombok as death toll tops 300 https://t.co/SgrYMMKNp1,Thu Aug 09 10:44:32 +0000 2018
