Jodha23,"RT @AmarUjalaNews: नैनीताल: नैनीझील में समाई माल रोड, आवागमन पूरी तरह से ठप
https://t.co/R2wkquxuG0","नैनीताल: नैनीझील में समाई माल रोड, आवागमन पूरी तरह से ठप
https://t.co/R2wkquxuG0",Sat Aug 18 18:19:38 +0000 2018
ujfm,RT @ujfm: Italy’s biggest toll-road operator came under heavy stock-market attack on Thursday after Rome criticised it for a deadly bridge…,"Italy’s biggest toll-road operator came under heavy stock-market attack on Thursday after Rome criticised it for a deadly bridge collapse this week.

Source: @ewnupdates 

#UJFMNews @ujfm #UJFMDrive #Headlines #TopStories cc @Jahhiness  @OG_KamoGEE @iamhope_thobs @sandilecntuli https://t.co/Ul6IZUlYq9",Thu Aug 16 13:16:02 +0000 2018
OG_KamoGEE,RT @ujfm: Italy’s biggest toll-road operator came under heavy stock-market attack on Thursday after Rome criticised it for a deadly bridge…,"Italy’s biggest toll-road operator came under heavy stock-market attack on Thursday after Rome criticised it for a deadly bridge collapse this week.

Source: @ewnupdates 

#UJFMNews @ujfm #UJFMDrive #Headlines #TopStories cc @Jahhiness  @OG_KamoGEE @iamhope_thobs @sandilecntuli https://t.co/Ul6IZUlYq9",Thu Aug 16 13:15:58 +0000 2018
ujfm,"Italy’s biggest toll-road operator came under heavy stock-market attack on Thursday after Rome criticised it for a deadly bridge collapse this week.

Source: @ewnupdates 

#UJFMNews @ujfm #UJFMDrive #Headlines #TopStories cc @Jahhiness  @OG_KamoGEE @iamhope_thobs @sandilecntuli https://t.co/Ul6IZUlYq9",,Thu Aug 16 13:15:29 +0000 2018
mhh_heron,BBCWorld : Genoa bridge collapse: Toll-road firm bears brunt from politicians and traders https://t.co/OveyV6Vyjq (via Twitter https://t.co/Ft7LnfaVgl) https://t.co/37ubyBVxKk,,Thu Aug 16 13:05:26 +0000 2018
HasanKarakas48,"RT @TRTWorldNow: Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridg…","Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridge collapse this week that left at least 38 people dead https://t.co/PcJe7qorBv https://t.co/3bnqkxSk4D",Thu Aug 16 12:44:36 +0000 2018
HRon2018,"RT @adam_tooze: Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great…","Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great breakdown from @davidfickling https://t.co/WlM1l4Jrah https://t.co/4xa1sSEKiw",Thu Aug 16 12:12:51 +0000 2018
iBoldNews,Genoa bridge collapse: Toll-road firm bears brunt from politicians and traders https://t.co/ExhI0lEHpW https://t.co/L4IIcF6fAF,,Thu Aug 16 11:50:37 +0000 2018
Simfly1,Genoa bridge collapse: Toll-road firm bears brunt from politicians and traders https://t.co/vjbBndmf9Y https://t.co/sauowezgBh,,Thu Aug 16 11:49:27 +0000 2018
Simfly1,Genoa bridge collapse: Toll-road firm bears brunt from politicians and traders https://t.co/Mb2UGjBl5e https://t.co/hFq0O5uxv6,,Thu Aug 16 11:42:26 +0000 2018
IT_Job_UK,"Investors shun Italy bridge operator after disaster - Reuters: Reuters Investors shun Italy bridge operator after disaster Reuters GENOA, Italy (Reuters) - Italy's biggest toll-road operator came under heavy stock-market attack on Thursday after Rome… https://t.co/Uz6SNwhXiy https://t.co/Z3Xn43LRET",,Thu Aug 16 11:32:07 +0000 2018
NPRGoatsandSoda,"RT @MalakaGharib: Pretty neat: A chart of where China's #OneBeltOneRoad funding is going -- mostly projects in Malaysia and South Asia, and…","Pretty neat: A chart of where China's #OneBeltOneRoad funding is going -- mostly projects in Malaysia and South Asia, and most of it to transportation and industrial zones #werkwerkwerkwerkwerk
https://t.co/uzDPmXTS0n https://t.co/eUxKvhTIle",Thu Aug 16 11:22:27 +0000 2018
EuropeUnion,"⭐  Genoa bridge collapse: Toll-road firm bears brunt from politicians and traders ⭐ 
Read more HERE ▶️ https://t.co/fSciojjr9H ◀ https://t.co/DtDV9F9vJF",,Thu Aug 16 11:15:12 +0000 2018
Arslan_News_NL,"Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridge collapse this week that left at least 38 people dead https://t.co/TjoBjRG4h8 https://t.co/9c6acuzkVt

— TRT World Now (TRTWorldNow) August 16, 2018",,Thu Aug 16 10:57:41 +0000 2018
Catlover3567,"RT @TRTWorldNow: Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridg…","Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridge collapse this week that left at least 38 people dead https://t.co/PcJe7qorBv https://t.co/3bnqkxSk4D",Thu Aug 16 10:47:56 +0000 2018
thelosun,"RT @TRTWorldNow: Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridg…","Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridge collapse this week that left at least 38 people dead https://t.co/PcJe7qorBv https://t.co/3bnqkxSk4D",Thu Aug 16 10:45:49 +0000 2018
trtworld,"RT @TRTWorldNow: Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridg…","Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridge collapse this week that left at least 38 people dead https://t.co/PcJe7qorBv https://t.co/3bnqkxSk4D",Thu Aug 16 10:45:00 +0000 2018
News4Globe,"ITALY: #Autostrade, #Italy's biggest toll-road operator, comes under heavy stock-market attack after #Rome criticises it for a bridge collapse this week that left at least 38 people dead. https://t.co/2iO1Gg6Njy",,Thu Aug 16 10:44:30 +0000 2018
TRTWorldNow,"Autostrade, Italy's biggest toll-road operator, comes under heavy stock-market attack after Rome criticises it for a bridge collapse this week that left at least 38 people dead https://t.co/PcJe7qorBv https://t.co/3bnqkxSk4D",,Thu Aug 16 10:30:30 +0000 2018
Parmigiani_S,RT @MicheleC_FARE: FTSE $MIB is not going down because Atlantia and Genova bridge collapse. The road was clear already. $DAX $SPX https://t…,FTSE $MIB is not going down because Atlantia and Genova bridge collapse. The road was clear already. $DAX $SPX https://t.co/44qZO8B7uj,Thu Aug 16 08:37:02 +0000 2018
Loupo85,RT @fastFT: Atlantia dropped 23% as investors rushed to offload shares in the toll-road operator after Monday's bridge collapse in Genoa ht…,Atlantia dropped 23% as investors rushed to offload shares in the toll-road operator after Monday's bridge collapse in Genoa https://t.co/zbHzzRQNzH https://t.co/FZI1xjiftO,Thu Aug 16 08:25:08 +0000 2018
ArashMassoudi,RT @fastFT: Atlantia dropped 23% as investors rushed to offload shares in the toll-road operator after Monday's bridge collapse in Genoa ht…,Atlantia dropped 23% as investors rushed to offload shares in the toll-road operator after Monday's bridge collapse in Genoa https://t.co/zbHzzRQNzH https://t.co/FZI1xjiftO,Thu Aug 16 08:19:09 +0000 2018
fastFT,Atlantia dropped 23% as investors rushed to offload shares in the toll-road operator after Monday's bridge collapse in Genoa https://t.co/zbHzzRQNzH https://t.co/FZI1xjiftO,,Thu Aug 16 08:18:24 +0000 2018
Emaxbid,The Tragedy of Genoa. At least 35 people died. One of the main road to/from Genoa destroyed. In the photo the Bridge before and after the collapse...🙏🙏🙏 https://t.co/FQRcsOzQAM,,Thu Aug 16 07:48:39 +0000 2018
MicheleC_FARE,FTSE $MIB is not going down because Atlantia and Genova bridge collapse. The road was clear already. $DAX $SPX https://t.co/44qZO8B7uj,,Thu Aug 16 07:33:18 +0000 2018
TraveltalkMag,"The collapse of a busy #bridge, a main artery for tourists as well as locals, in northern #Italy has left dozens of people dead. https://t.co/rSjxELTIIi #Genoa https://t.co/OFbuHluprA",,Thu Aug 16 07:00:37 +0000 2018
alex_drastico72,RT @Luca_Gualtieri1: #China's Belt and Road carries echoes of the Siberian spending splurge that preceded the Soviet Union's collapse https…,#China's Belt and Road carries echoes of the Siberian spending splurge that preceded the Soviet Union's collapse https://t.co/nkzc6m4amU,Thu Aug 16 06:53:21 +0000 2018
droscia,RT @Luca_Gualtieri1: #China's Belt and Road carries echoes of the Siberian spending splurge that preceded the Soviet Union's collapse https…,#China's Belt and Road carries echoes of the Siberian spending splurge that preceded the Soviet Union's collapse https://t.co/nkzc6m4amU,Thu Aug 16 06:42:01 +0000 2018
Luca_Gualtieri1,#China's Belt and Road carries echoes of the Siberian spending splurge that preceded the Soviet Union's collapse https://t.co/nkzc6m4amU,,Thu Aug 16 06:30:17 +0000 2018
News247WorldPre,New timelapse video released by Florida International University shows pedestrian bridge being installed and then collapsing on a busy Miami road. Six people were killed in the March 15 collapse https://t.co/qX43gmORDh https://t.co/qNjFrPOlo8,,Thu Aug 16 06:02:35 +0000 2018
maverick9649,"@MinistryWCD condition of my village Aanganwadi Kendra (2),No proper place alloted,previous building about to collapse at any moment,children are made to sit and study on road, without nutrition, Is this child development?
{ Village-Nandwara,Teh.-Masuda,Ajmer,Rajsthan} https://t.co/IZqCqFBvxy",,Thu Aug 16 05:52:03 +0000 2018
TahirHaller,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Thu Aug 16 05:26:10 +0000 2018
TurkkaJuha,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Thu Aug 16 05:17:00 +0000 2018
Bhaktapurcommo2,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Thu Aug 16 05:08:46 +0000 2018
librariankieran,Seen some fabulous films @MIFFofficial ! Highlights: the comedy-amidst-collapse 'Kukurantumi: Road to Accra' from Ghana &amp; the Algerian nationalist epic 'Chronicle of the Years of Embers'. Tonight 'The Night of Counting the Years'! Thanks #MIFF2018 for screening such rare delights https://t.co/PkI46z1C6R,,Thu Aug 16 04:57:37 +0000 2018
desouvik,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Thu Aug 16 04:49:17 +0000 2018
LadyGaydar,'I saw the road collapsing with all the cars in front of me': Driver of green truck that came perilously close to the edge in #Genoa bridge disaster tells of miraculous escape as survivors who plunged 150ft speak of the horror https://t.co/jjajs9Ljbn https://t.co/TZAXHcFsMd,,Thu Aug 16 03:29:31 +0000 2018
TrevorColhoun,RT @trevornoren: China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xy…,China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xytrb6iRdv,Thu Aug 16 03:02:10 +0000 2018
collabregate,Genoa bridge collapse survivor and Italian footballer relives horror as road disappeared while he drove over it - https://t.co/6L59vufA1d... https://t.co/MnkqPOPFB4,,Thu Aug 16 03:00:17 +0000 2018
GPM018,RT @mcfrsPIO4: U/D (24120 Frederick Road - C&amp;D Recovery) Fire continues to burn..Crews in the process of expanding our water supply operati…,"U/D (24120 Frederick Road - C&amp;D Recovery) Fire continues to burn..Crews in the process of expanding our water supply operations to continue fire attack.  Operations still remain exterior, due to significant collapse danger.  @MCFRSNews https://t.co/dlN4F6IFvr",Thu Aug 16 01:48:22 +0000 2018
trevornoren,RT @trevornoren: China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xy…,China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xytrb6iRdv,Thu Aug 16 01:33:52 +0000 2018
Black_Swan5555,RT @trevornoren: China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xy…,China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xytrb6iRdv,Thu Aug 16 01:06:37 +0000 2018
royalroadl,"Read The Ether Collapse on Royal Road!
https://t.co/ROE39IlfoB

#Ongoing #Original #Action #Fantasy #SciFi #LitRPG #MaleLead #Strategy #Supernatural https://t.co/gBfOp2ogHU",,Thu Aug 16 01:00:08 +0000 2018
CaribbeanAccent,RT @TriniReporter: La Vega residents are appealing to Works Minister Rohan Sinanan to repair a landslide in their community caused by Monda…,"La Vega residents are appealing to Works Minister Rohan Sinanan to repair a landslide in their community caused by Monday's torrential rainfall 
Roger Mootilal says if the landslip is not repaired, the entire road can collapse
@Newsday_TT https://t.co/FX64Fsh0ix",Thu Aug 16 00:15:20 +0000 2018
carlworker,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 23:09:22 +0000 2018
toughguess,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 23:00:12 +0000 2018
MarieCo92176893,"RT @adam_tooze: Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great…","Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great breakdown from @davidfickling https://t.co/WlM1l4Jrah https://t.co/4xa1sSEKiw",Wed Aug 15 22:59:03 +0000 2018
aaforse,RT @trevornoren: China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xy…,China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xytrb6iRdv,Wed Aug 15 22:46:49 +0000 2018
crd37,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 22:42:51 +0000 2018
bp_noticias,Genoa Bridge Collapse: Video Shows Moment Road Fell https://t.co/v7M0ojssQ1 https://t.co/otGyUnNiyz,,Wed Aug 15 22:42:04 +0000 2018
Silendo_org,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 22:19:41 +0000 2018
QuibellPaul,"RT @Primal_Digest: @spoolr2 Soviet Collapse Echoes in China’s Belt and Road
https://t.co/oGnJLVQ3I9 via bloomberg https://t.co/j98sVXEjDW","@spoolr2 Soviet Collapse Echoes in China’s Belt and Road
https://t.co/oGnJLVQ3I9 via bloomberg https://t.co/j98sVXEjDW",Wed Aug 15 22:14:59 +0000 2018
spoolr2,"RT @Primal_Digest: @spoolr2 Soviet Collapse Echoes in China’s Belt and Road
https://t.co/oGnJLVQ3I9 via bloomberg https://t.co/j98sVXEjDW","@spoolr2 Soviet Collapse Echoes in China’s Belt and Road
https://t.co/oGnJLVQ3I9 via bloomberg https://t.co/j98sVXEjDW",Wed Aug 15 22:14:30 +0000 2018
Primal_Digest,"@spoolr2 Soviet Collapse Echoes in China’s Belt and Road
https://t.co/oGnJLVQ3I9 via bloomberg https://t.co/j98sVXEjDW",,Wed Aug 15 22:07:17 +0000 2018
brainouty,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 22:00:38 +0000 2018
spoolr2,"RT @Primal_Digest: @spoolr2 Analysis | Soviet Collapse Echoes in China’s Belt and Road
https://t.co/aH2A7LQKPh via washingtonpost https://t…","@spoolr2 Analysis | Soviet Collapse Echoes in China’s Belt and Road
https://t.co/aH2A7LQKPh via washingtonpost https://t.co/GmKzw9C3oR",Wed Aug 15 21:49:09 +0000 2018
kevinlaughlin,RT @adam_tooze: Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a…,"Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a single mega-container ship! $1bn of cargo on a single ship!!!!! Fascinating piece by @davidfickling 
https://t.co/WlM1l4Jrah https://t.co/E34uqgPDLJ",Wed Aug 15 21:24:40 +0000 2018
Bottlenecked_Y,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 21:21:10 +0000 2018
Juliowa,RT @thetimes: The death toll from the collapse of a road bridge in Genoa rose to 38 today as rescue workers warned more bodies would be fou…,The death toll from the collapse of a road bridge in Genoa rose to 38 today as rescue workers warned more bodies would be found as heavy cranes moved in to lift tonnes of rubble off cars and lorries https://t.co/bnKTSuSmt8 https://t.co/bJQgPNI95y,Wed Aug 15 21:19:39 +0000 2018
pvo78,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 21:12:15 +0000 2018
SEASolicitorCJS,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 20:59:05 +0000 2018
JaarezaReza,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 20:49:09 +0000 2018
pmarcas_likes,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 20:47:47 +0000 2018
valentin0rie2,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 20:47:19 +0000 2018
MattHammington,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 20:44:07 +0000 2018
fritztegulariu,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 20:42:33 +0000 2018
plumcat,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 20:41:40 +0000 2018
arigatotiramisu,RT @adam_tooze: China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”…,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",Wed Aug 15 20:33:02 +0000 2018
adam_tooze,"China’s huge investment push is spread inefficiently across many unproductive regions. Will this lead to “imperial decline”? I don’t find the Soviet analogy compelling, but this is a fascinating article by @davidfickling https://t.co/WlM1l512yR https://t.co/8jEBkIUINp",,Wed Aug 15 20:30:00 +0000 2018
JaarezaReza,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 20:26:49 +0000 2018
JaarezaReza,"RT @adam_tooze: Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great…","Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great breakdown from @davidfickling https://t.co/WlM1l4Jrah https://t.co/4xa1sSEKiw",Wed Aug 15 20:26:35 +0000 2018
JaarezaReza,RT @adam_tooze: Is China underspending on the maritime Silk Road and concentrating too much on difficult and uneconomic land routes? Asks @…,Is China underspending on the maritime Silk Road and concentrating too much on difficult and uneconomic land routes? Asks @davidfickling https://t.co/WlM1l4Jrah https://t.co/LRhStpUgoc,Wed Aug 15 20:26:30 +0000 2018
JaarezaReza,RT @adam_tooze: Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a…,"Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a single mega-container ship! $1bn of cargo on a single ship!!!!! Fascinating piece by @davidfickling 
https://t.co/WlM1l4Jrah https://t.co/E34uqgPDLJ",Wed Aug 15 20:26:23 +0000 2018
revolution_fr,RT @adam_tooze: Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a…,"Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a single mega-container ship! $1bn of cargo on a single ship!!!!! Fascinating piece by @davidfickling 
https://t.co/WlM1l4Jrah https://t.co/E34uqgPDLJ",Wed Aug 15 20:22:38 +0000 2018
nationoforwell,"RT @adam_tooze: Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great…","Railways, ports, coal mines, roads, industrial districts, airports - One Belt One Road Projects across S and SE Asia. Great breakdown from @davidfickling https://t.co/WlM1l4Jrah https://t.co/4xa1sSEKiw",Wed Aug 15 20:22:17 +0000 2018
juergen_p,"#Boy, 7, #killed with #parents on #Morandi #Bridge during holiday road trip
https://t.co/sHMeKRuXOh https://t.co/upn9Ce1Yti",,Wed Aug 15 20:19:22 +0000 2018
aljola,RT @adam_tooze: Is China underspending on the maritime Silk Road and concentrating too much on difficult and uneconomic land routes? Asks @…,Is China underspending on the maritime Silk Road and concentrating too much on difficult and uneconomic land routes? Asks @davidfickling https://t.co/WlM1l4Jrah https://t.co/LRhStpUgoc,Wed Aug 15 20:19:06 +0000 2018
Watersun555,"Boy, 7, killed with parents on Morandi Bridge during holiday road trip https://t.co/6Li8jtxGv4 https://t.co/IV0fyWoVLd",,Wed Aug 15 20:16:07 +0000 2018
AGandarinho,RT @adam_tooze: Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a…,"Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a single mega-container ship! $1bn of cargo on a single ship!!!!! Fascinating piece by @davidfickling 
https://t.co/WlM1l4Jrah https://t.co/E34uqgPDLJ",Wed Aug 15 20:10:43 +0000 2018
halucinatio,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 20:07:20 +0000 2018
tggleeson,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 20:02:15 +0000 2018
DuncanWeldon,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 20:01:36 +0000 2018
SeidmanCo,RT @adam_tooze: Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a…,"Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a single mega-container ship! $1bn of cargo on a single ship!!!!! Fascinating piece by @davidfickling 
https://t.co/WlM1l4Jrah https://t.co/E34uqgPDLJ",Wed Aug 15 20:01:00 +0000 2018
adam_tooze,"Value of freight btw Europe and Yiwu on land route is only $330m in 1st 4 months of 2018 = one third of what you’d get on a single mega-container ship! $1bn of cargo on a single ship!!!!! Fascinating piece by @davidfickling 
https://t.co/WlM1l4Jrah https://t.co/E34uqgPDLJ",,Wed Aug 15 20:00:01 +0000 2018
WhatILearnedTW,RT @trevornoren: China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xy…,China's labor force forecast to decline in 2018 for the first time in five decades https://t.co/PY2CLcDAc2 https://t.co/Xytrb6iRdv,Wed Aug 15 19:55:01 +0000 2018
maarten_voorst,RT @adam_tooze: Is China underspending on the maritime Silk Road and concentrating too much on difficult and uneconomic land routes? Asks @…,Is China underspending on the maritime Silk Road and concentrating too much on difficult and uneconomic land routes? Asks @davidfickling https://t.co/WlM1l4Jrah https://t.co/LRhStpUgoc,Wed Aug 15 19:47:28 +0000 2018
howrealisreal,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 19:42:49 +0000 2018
DrClarkIPresume,RT @adam_tooze: This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is…,"This graph is supposed to illustrate that China is hitting the limits of its labour force. But what I find more striking is the huge scale of the remaining rural population. @davidfickling
https://t.co/WlM1l512yR https://t.co/CljMBri0Vq",Wed Aug 15 19:42:43 +0000 2018
