McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
NullS1gnal,"@Frame_loss @Quake Nope, fuck that.I was actively working toward that reliquary and because I had to take one single day to, you know, be responsible and do stuff, I miss out on that thing I was working toward. @Bethesda needs to learn from @PlayWarframe on this one and not require consecutive days",,Sat Aug 18 18:36:22 +0000 2018
lunavengoth,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 18:36:12 +0000 2018
shop_ujat,"RT @eq_map: 【最大震度2】(気象庁発表) 岩手県内陸北部 深さ約10km M3.1 2018年8月18日15時39分発生 
(G)https://t.co/0OQFepsLp3 (気象庁)https://t.co/sKzktYzsNX","【最大震度2】(気象庁発表) 岩手県内陸北部 深さ約10km M3.1 2018年8月18日15時39分発生 
(G)https://t.co/0OQFepsLp3 (気象庁)https://t.co/sKzktYzsNX",Sat Aug 18 18:35:42 +0000 2018
shop_ujat,"RT @eq_map: 【最大震度1】(気象庁発表) 三重県南部 深さごく浅い M2.1 2018年8月19日02時12分発生 
(G)https://t.co/pg44f2KSNK (気象庁)https://t.co/6qo7cPoWGn","【最大震度1】(気象庁発表) 三重県南部 深さごく浅い M2.1 2018年8月19日02時12分発生 
(G)https://t.co/pg44f2KSNK (気象庁)https://t.co/6qo7cPoWGn",Sat Aug 18 18:34:55 +0000 2018
nanorobot_quake,"[INFO]主の気まぐれな機能があったりします
/time で現在日時　/おみくじ　でおみくじをします。",,Sat Aug 18 18:32:50 +0000 2018
_DimensionGamer,#QuakeChampions lanza una versión gratuita https://t.co/mjcFA3eTit,,Sat Aug 18 18:31:11 +0000 2018
M4_RADIO,"""Now Playing CANE P. THE TYRANT - QUAKE",,Sat Aug 18 18:30:34 +0000 2018
infirxsmxn9,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 18:27:40 +0000 2018
Jeff_Quake,RT @joshhymanRTN: Really interesting piece on what each NHL team does with hats thrown on ice during a hat trick. https://t.co/tkUgJuuL1f,Really interesting piece on what each NHL team does with hats thrown on ice during a hat trick. https://t.co/tkUgJuuL1f,Sat Aug 18 18:26:43 +0000 2018
jrtashjian,"Quake Champions on @steam_games  is amazing. Brings me back to the old days of Quake 3 Deathmatches. Definitely pick it up, it’s free to play!",,Sat Aug 18 18:26:38 +0000 2018
sweetkeet,@BirdCentralPark @Gov_Island @NYCbirder Also called a Quaker Parakeet. Because they 'quake'. #conureowner #birdwatcher #birdlover,,Sat Aug 18 18:26:19 +0000 2018
Quake_Skywalker,"RT @laprof19: La verità è che sono sempre stata quella brutta, per tutti. Quella meno di tutte le altre. Quella nascosta, mai scelta. Cosa…","La verità è che sono sempre stata quella brutta, per tutti. Quella meno di tutte le altre. Quella nascosta, mai scelta. Cosa credete, che postare qualche foto faccia di me una persona sicura? No, sto solo cercando di superare tutto.",Sat Aug 18 18:25:25 +0000 2018
jwiisha,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 18:25:18 +0000 2018
quakenotices,#quake 2018-08-16 20:31:34 UPDATED: (M3.4) Alaska Peninsula 55.1 -159.5 (1cbfb) https://t.co/wBaonk96UB,,Sat Aug 18 18:25:16 +0000 2018
LichTwitch,"RT @Leya_si: It's Saturday woohoo, let's  have some fun with @Quake champions. 
LIVE 🔴now, laughter and good times incoming! 😆 
Have a wond…","It's Saturday woohoo, let's  have some fun with @Quake champions. 
LIVE 🔴now, laughter and good times incoming! 😆 
Have a wonderful night everyone!
https://t.co/VnPhzGmxeh     

#twitch #game #stream #arena #fps #pcgamer #pcgaming #fun #giggles #leya_si #duel #quakechampions",Sat Aug 18 18:23:23 +0000 2018
elishanizam,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 18:23:19 +0000 2018
SOSmcWIN,"RT @Leya_si: It's Saturday woohoo, let's  have some fun with @Quake champions. 
LIVE 🔴now, laughter and good times incoming! 😆 
Have a wond…","It's Saturday woohoo, let's  have some fun with @Quake champions. 
LIVE 🔴now, laughter and good times incoming! 😆 
Have a wonderful night everyone!
https://t.co/VnPhzGmxeh     

#twitch #game #stream #arena #fps #pcgamer #pcgaming #fun #giggles #leya_si #duel #quakechampions",Sat Aug 18 18:23:06 +0000 2018
SURESHRAMB,"RT @CristianBonetto: Some call it the neighbourhood that time forgot. #Yanaka survived the Great Kantō quake of 1923 and bombings of WWII,…","Some call it the neighbourhood that time forgot. #Yanaka survived the Great Kantō quake of 1923 and bombings of WWII, becoming a pocket of Old #Tokyo. It’s low-rise, chilled and thin on multinationals. Yanaka, we salute you. 🙌🏻 @lonelyplanet #LPinJapan #travel #coolhoods #Japan https://t.co/cwj28YHeky",Sat Aug 18 18:22:38 +0000 2018
Leya_si,"It's Saturday woohoo, let's  have some fun with @Quake champions. 
LIVE 🔴now, laughter and good times incoming! 😆 
Have a wonderful night everyone!
https://t.co/VnPhzGmxeh     

#twitch #game #stream #arena #fps #pcgamer #pcgaming #fun #giggles #leya_si #duel #quakechampions",,Sat Aug 18 18:22:15 +0000 2018
weybley,"J'aime une vidéo @YouTube : ""The Longest Yard is coming to Quake Champios (NEW MAP)"" à l'adresse https://t.co/rMQLZOHRQD.",,Sat Aug 18 18:19:39 +0000 2018
Martin_Leponge,"@DrevetCyril Tu as osé, en sachant le niveau t’intégrisme dans le jeu vidéo et tu l'assumes, Bravo.
La dreamcast était born dead, rien qu'à l'annonce du système sous Windows CE !!! 
Antialiasing.. 🤣
Quake 3 c'est sur PC
Comme Nintendo avec Sony, merci Sega d'avoir laissé la place à Microsoft",,Sat Aug 18 18:19:09 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M3.7 10 km al Este de Puerto Jimenez, Golfito. 1mins ago 18 Aug 18:09 UTC - report/info: 
https://t.co/9LHcyVc3lN","#Earthquake M3.7 10 km al Este de Puerto Jimenez, Golfito. 1mins ago 18 Aug 18:09 UTC - report/info: 
https://t.co/9LHcyVc3lN",Sat Aug 18 18:19:01 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M3.6 3 km al Oeste de Pavon, Golfito. 1mins ago 18 Aug 18:13 UTC - report/info: 
https://t.co/RamKlFU0hn","#Earthquake M3.6 3 km al Oeste de Pavon, Golfito. 1mins ago 18 Aug 18:13 UTC - report/info: 
https://t.co/RamKlFU0hn",Sat Aug 18 18:18:48 +0000 2018
SaibotStudios,"RT @HellboundGame: HELLo lovely demons! How's your weekend?

We want to share with you some dev material about items creation 🍔

Have a gre…","HELLo lovely demons! How's your weekend?

We want to share with you some dev material about items creation 🍔

Have a great end of the week! 🤓

#ScreenshotSaturday

The team at @SaibotStudios RT!

#DOOM #quake #indiegame #indiedev #FPS #PCGamer #pcgames #RetroGames #RETROGAMING https://t.co/NW0wQv5MBk",Sat Aug 18 18:18:17 +0000 2018
DVJ_QUAKE,"Люблю @visitabrau за красивый вид и особую атмосферу.
Сегодня я работаю с https://t.co/mR1zdvoKap на свадьбе в этом замечательном месте. @ Абрау-Дюрсо https://t.co/wpoyiGg8k8",,Sat Aug 18 18:17:57 +0000 2018
JDFGames,RT @UltraVi93323546: #doom #Friday #art #technology #trending #dangerous #heart #games #videogames #doometernal #fridayfeeling #quake #quak…,#doom #Friday #art #technology #trending #dangerous #heart #games #videogames #doometernal #fridayfeeling #quake #quakecon #xrp #xvg #ultraviolence #arsenal https://t.co/rUXjQqJ6KH,Sat Aug 18 18:17:39 +0000 2018
branrags,@klov3rsux @Quake Glad I got to see your awesome cosplay in person! Thanks for the photo op! https://t.co/cNplXJUQJQ,,Sat Aug 18 18:17:39 +0000 2018
MostLivableCity,"Magnitude 6.0 Quake Hits Southern Costa Rica, Panama; No Damage Reported https://t.co/DTJU9fSQ1q via @ndtv",,Sat Aug 18 18:17:21 +0000 2018
HellboundGame,"HELLo lovely demons! How's your weekend?

We want to share with you some dev material about items creation 🍔

Have a great end of the week! 🤓

#ScreenshotSaturday

The team at @SaibotStudios RT!

#DOOM #quake #indiegame #indiedev #FPS #PCGamer #pcgames #RetroGames #RETROGAMING https://t.co/NW0wQv5MBk",,Sat Aug 18 18:16:59 +0000 2018
branrags,RT @klov3rsux: I had so much fun in my Ranger cosplay at #Quakecon last weekend. Thanks for the shoutout on today’s stream @Quake ❤️ https:…,I had so much fun in my Ranger cosplay at #Quakecon last weekend. Thanks for the shoutout on today’s stream @Quake ❤️ https://t.co/ahu9eqf9H1,Sat Aug 18 18:16:58 +0000 2018
Quake_Skywalker,Un grazie immenso a chi ha fatto questo meme 💕,,Sat Aug 18 18:16:17 +0000 2018
ENSO1998,Volcano/Earthquake news https://t.co/eNXy9QMZeE,,Sat Aug 18 18:16:12 +0000 2018
LeighanneSomers,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 18:15:57 +0000 2018
Quake_Skywalker,"Ultimi minuti dell'ultimo episodio, il protagonista finalmente si decide a fare la cosa giusta, poi succede il finimondo e *schermo nero* https://t.co/Bx6w20Lb4I",,Sat Aug 18 18:15:41 +0000 2018
muz4now,Quake #NowPlaying - hug the ones you love https://t.co/gA0JjMH5A2,,Sat Aug 18 18:15:14 +0000 2018
MDNtheMOBB,"RT @QuakeGambino: 🔥💎🗣️💫Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn","🔥💎🗣️💫Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn",Sat Aug 18 18:14:07 +0000 2018
EQAlerts,"#Earthquake M3.6 3 km al Oeste de Pavon, Golfito. 1mins ago 18 Aug 18:13 UTC - report/info: 
https://t.co/RamKlFU0hn",,Sat Aug 18 18:14:06 +0000 2018
UltraVi93323546,#doom #Friday #art #technology #trending #dangerous #heart #games #videogames #doometernal #fridayfeeling #quake #quakecon #xrp #xvg #ultraviolence #arsenal https://t.co/rUXjQqJ6KH,,Sat Aug 18 18:14:06 +0000 2018
ClemVKG,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 18:14:04 +0000 2018
quake_allisa,RT @nocontextpsych: https://t.co/bc2HxjAtpi,https://t.co/bc2HxjAtpi,Sat Aug 18 18:13:25 +0000 2018
Frame_loss,"@NullS1gnal @Quake But you're not missing it, it was never yours, and you got all that other stuff prior to the last day, so you are still ahead.",,Sat Aug 18 18:13:12 +0000 2018
AnxiousMonkey95,"@QuakeMaster570 @RedDeath251 @CapObviousN7 @MidoriTanaka4 @LegendaryLaRon @Nikki_120794 @ZombieSchGirl @AnxiousDonkey92 @PurrincessNesse @xhyugaprincessx Thank you Quake! I'm feeling better today than yesterday, I love my Evil Family!",,Sat Aug 18 18:13:03 +0000 2018
Plebberon,@TimmySaxophones @VinnyVista_ His enemies quake in fear at the whispers of the spaghetti beast,,Sat Aug 18 18:12:59 +0000 2018
alcavi82,DIRECTO DE SABADO | EURO TRUCK SIMULATOR 2 + QUAKE 2 | Alcavi82: https://t.co/TTGWac4Rs0 vía @YouTube,,Sat Aug 18 18:12:26 +0000 2018
sripraba95,"Kemarin malam setelah 17-an, another big quake https://t.co/A1FZ9Orz1v",,Sat Aug 18 18:11:35 +0000 2018
bhaswadev,"Short term stock trading, is like, predicting the earth quake.",,Sat Aug 18 18:11:13 +0000 2018
DaveOshry,@AndrewHulshult @DCDeacon @QuakeCon @Quake Don't let your memes be dreams 🙏,,Sat Aug 18 18:11:01 +0000 2018
gman6657,"@SenateMajLdr @PressSec @realDonaldTrump Mitch, when trump is dangling his gonads on your chin...do you still let him play with your ass?
LEGACY- I BLEW THE PREZ LIKE MONICA!  Mitch Im praying for a sroke or earth quake...perhaps a title wave that drowns you...",,Sat Aug 18 18:10:32 +0000 2018
quakenotices,#quake 2018-08-16 20:31:07 (M4.1) south of Alaska 53.3 -160.2 (1cbfb) https://t.co/DDatmaNvkt,,Sat Aug 18 18:10:15 +0000 2018
EQAlerts,"#Earthquake M3.7 10 km al Este de Puerto Jimenez, Golfito. 1mins ago 18 Aug 18:09 UTC - report/info: 
https://t.co/9LHcyVc3lN",,Sat Aug 18 18:10:07 +0000 2018
timothyjava,@NyxPower @Quake u too 🕺🏻💨 https://t.co/j7lIxf6abs,,Sat Aug 18 18:09:32 +0000 2018
sripraba95,"Tapi, dalam euforia #AsianGames2018 , jangan lupa sama Lombok (dan wilayah lainnya)

The Quake is still happening",,Sat Aug 18 18:09:23 +0000 2018
elleallever,"RT @novapbs: Even a few seconds of warning can greatly help West Coast residents survive a quake, and that's exactly what ""ShakeAlert"" aims…","Even a few seconds of warning can greatly help West Coast residents survive a quake, and that's exactly what ""ShakeAlert"" aims to do. via @NewsHour 
https://t.co/XpzytLGc3N",Sat Aug 18 18:09:13 +0000 2018
CielFreeman,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 18:08:18 +0000 2018
NyxPower,@timothyjava @Quake awwwwwwwwww thank you!! Have a great weekend :)),,Sat Aug 18 18:08:04 +0000 2018
theCarbonite,"@Quake I just logged into my alt account for Quake Champions and the daily reward ""timed out"" on me - there goes 200 platinum I won't be seeing I guess =|",,Sat Aug 18 18:03:42 +0000 2018
nanorobot_quake,現在日時：2018年8月19日日曜日　3時02分です。,,Sat Aug 18 18:02:45 +0000 2018
shinji_quake,マジすか！？震路すか！？あ、間違えた。３時３時！！,,Sat Aug 18 18:01:40 +0000 2018
S3QU3NC3_nl,"RT @Battlefy: All of you EU @Quake duos still have time to sign up for this Sunday's amateur tournament: https://t.co/9xpCrDBAe7 

We're ta…","All of you EU @Quake duos still have time to sign up for this Sunday's amateur tournament: https://t.co/9xpCrDBAe7 

We're talking high level competition that could lead to some NICE in-game prizing... https://t.co/PN6McF03Vk",Sat Aug 18 18:01:09 +0000 2018
infamouscheeky,taking a quick break to have a sandwich but i'm gonna be back with more quake in 5 https://t.co/cAhQGaP07z,,Sat Aug 18 18:00:59 +0000 2018
IAmProdigyMind,"RT @RoundTableMGRP: Want radio play for 60 days on 105.2 the star
88.8 the quake!
98.5 fm kmix and
98.2 the beat 

If you have hot new musi…","Want radio play for 60 days on 105.2 the star
88.8 the quake!
98.5 fm kmix and
98.2 the beat 

If you have hot new music to get out there then yes you do! 

Just DM to get started!

#radioplay
#breakingmusic
#marketing
#roundtablemusicgroup https://t.co/4QQnycEaiR",Sat Aug 18 18:00:11 +0000 2018
novapbs,"Even a few seconds of warning can greatly help West Coast residents survive a quake, and that's exactly what ""ShakeAlert"" aims to do. via @NewsHour 
https://t.co/XpzytLGc3N",,Sat Aug 18 18:00:00 +0000 2018
k_anilprabhu,"@narendramodi Sir, it is high time. Country needs a dedicated institute of international standard for research on natural calamities to find out solutions to handle situations like flood, drought, earth quake etc. When central govt will start this? It is important and urgent.",,Sat Aug 18 17:59:24 +0000 2018
gridth1,"@steve01292314 Well I used to play Quake 3 Arena all day and night, then Team Fortress Classic. Then I quit for few years after I got trapped into this thing called programming… the concept of FPS/TPS that depends on luck is weird to me 😂",,Sat Aug 18 17:59:04 +0000 2018
RoundTableMGRP,"RT @RoundTableMGRP: Want radio play for 60 days on 105.2 the star
88.8 the quake!
98.5 fm kmix and
98.2 the beat 

If you have hot new musi…","Want radio play for 60 days on 105.2 the star
88.8 the quake!
98.5 fm kmix and
98.2 the beat 

If you have hot new music to get out there then yes you do! 

Just DM to get started!

#radioplay
#breakingmusic
#marketing
#roundtablemusicgroup https://t.co/4QQnycEaiR",Sat Aug 18 17:58:30 +0000 2018
SoulCinemaYT,Its @Quake Champions time baybeeee https://t.co/4IxAgsHS21,,Sat Aug 18 17:58:24 +0000 2018
DianaEstelaBer1,RT @ben7230: M6.0 #earthquake in #CostaRica  as seen by my @raspishake 275km away in north central Costa Rica. I did not feel the quake as…,M6.0 #earthquake in #CostaRica  as seen by my @raspishake 275km away in north central Costa Rica. I did not feel the quake as I was in a vehicle at the time but many did feel light shaking in my area. The mem sensors also picked up light movement at my house. https://t.co/kfthKzTSv8,Sat Aug 18 17:57:10 +0000 2018
ompranav108,"@Pinki10B @Anirudh_Astro No one can predict nature.

I inferred dat his prediction can come true only &amp; only due to very massive earthquakes till 2072 which infact never come.

A big quake came few thousands yr back which changed course of Yamuna &amp; dried Saraswati River by obstructing its source",,Sat Aug 18 17:56:15 +0000 2018
mysoul___,@QuakeGW @WakaFlocka You’re the realest Quake,,Sat Aug 18 17:54:50 +0000 2018
quake_ebooks,sosi,,Sat Aug 18 17:53:38 +0000 2018
chompadash,"RT @ESLQuake: Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 A…","Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 August Finals.

🇪🇺 Go4QC Europe: https://t.co/ykrhA08OTp
🇺🇸 Go4QC North America: https://t.co/oaM7qxU3DP https://t.co/MsNoP7sijU",Sat Aug 18 17:53:07 +0000 2018
_HelenaDouglas,"RT @Press_Start9: Por qué #Quake es para todos, claro que sí 😝 https://t.co/inRoG5cvLV","Por qué #Quake es para todos, claro que sí 😝 https://t.co/inRoG5cvLV",Sat Aug 18 17:52:47 +0000 2018
toyota_ae82,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:51:33 +0000 2018
softtonys,@ginnygardncr they're underestimating daisy johnson. THE quake? destroyer of all worlds? i have to laugh.,,Sat Aug 18 17:51:14 +0000 2018
magmamaster1801,"RT @ESLQuake: Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 A…","Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 August Finals.

🇪🇺 Go4QC Europe: https://t.co/ykrhA08OTp
🇺🇸 Go4QC North America: https://t.co/oaM7qxU3DP https://t.co/MsNoP7sijU",Sat Aug 18 17:51:05 +0000 2018
BluePandaGuy,"@Quake I actually requested this on discord for space maps and it came true! :D
Will the next update bring back capturing games like Sacrifice. I've missed that mode for months but it would be better if Sac was still open while the bots are WIP with the game mode.",,Sat Aug 18 17:50:58 +0000 2018
NullS1gnal,"Can game companies please do away with the daily login reward garbage?  People should play your game because they want to, not because they feel obligated.  I'm looking at you @Quake I miss the last day and I don't get my reliquary. That makes me not want to play your game at all",,Sat Aug 18 17:49:06 +0000 2018
nanorobot_quake,現在日時：2018年8月19日日曜日　2時47分です。,,Sat Aug 18 17:47:43 +0000 2018
TheRealBast6,"@MonrealeFabrice @TheSharePlayers @FredZolf @DrevetCyril Comme j'ai répondu : j'y étais. D'ailleurs, je jouais aussi à Quake 3 Arena au Clavier/Souris ^^ (et à Phantasy Star Online).",,Sat Aug 18 17:46:58 +0000 2018
Appleline1,"Never miss a chance to vote @realDonaldTrump  #MAGA.
The censorship is real.. no matter how quite and socially alone we my feel bc of this , make no mistake we are a earth quake and will rise everyday like the Sun.",,Sat Aug 18 17:46:27 +0000 2018
rainafortini,@QuakesToday Frack quake,,Sat Aug 18 17:46:27 +0000 2018
dandy_jack,RT @ChexGuy: chio-chan says play quake 4 https://t.co/wkZwNThhSL,chio-chan says play quake 4 https://t.co/wkZwNThhSL,Sat Aug 18 17:46:12 +0000 2018
Vibratio_,"(Starter for @Shouutoo)

Todoroki was a special fellow for Shindo as there was something captivating about him.

And for that, the Quake Boy thought of something special as he just simply messaged Todoroki, asking him to meet up in an hour.

It was something about a /dance/, huh.",,Sat Aug 18 17:46:01 +0000 2018
S3QU3NC3_nl,"RT @ESLQuake: Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 A…","Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 August Finals.

🇪🇺 Go4QC Europe: https://t.co/ykrhA08OTp
🇺🇸 Go4QC North America: https://t.co/oaM7qxU3DP https://t.co/MsNoP7sijU",Sat Aug 18 17:45:55 +0000 2018
94ThePro,"RT @QuakeGambino: 🔥💎🗣️💫Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn","🔥💎🗣️💫Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn",Sat Aug 18 17:45:10 +0000 2018
HashtagBars,"RT @QuakeGambino: 🔥💎🗣️💫Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn","🔥💎🗣️💫Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn",Sat Aug 18 17:44:36 +0000 2018
HashtagBars,"RT @94ThePro: Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud https://t.co/NkXcx5swhz","Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud https://t.co/NkXcx5swhz",Sat Aug 18 17:44:24 +0000 2018
HashtagBars,"RT @QuakeGambino: 🖕🏾🔥 Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn","🖕🏾🔥 Listen to ""Starstruck"" Feat. Quake G Prod. Oh$hitOwen by Hashtag Bars #np on #SoundCloud
https://t.co/IJ9628SpJn",Sat Aug 18 17:44:20 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M3.9 11 km al Este de Puerto Jimenez, Golfito. 18 Aug 17:18 UTC - report/info: 
https://t.co/y0TPT6NNEb","#Earthquake M3.9 11 km al Este de Puerto Jimenez, Golfito. 18 Aug 17:18 UTC - report/info: 
https://t.co/y0TPT6NNEb",Sat Aug 18 17:44:11 +0000 2018
alliesdaydream,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 17:43:51 +0000 2018
ginnygardncr,@softtonys did they even give quake a chance to face thanos in the comics bc I can't really remember,,Sat Aug 18 17:43:45 +0000 2018
Quake_Skywalker,"But there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing, the world could change its heart
No scars to your beautiful, we're stars and we're beautiful",,Sat Aug 18 17:43:22 +0000 2018
alexh0we,"i'm prolly gonna go back to focusing on HL for september

but if i get quake into agdq, im dropping any other speedgames to grind that one out",,Sat Aug 18 17:42:48 +0000 2018
Papa_Quake,@pokemonbob123 @Ethereal_RBLX Their trying to make the game realistic,,Sat Aug 18 17:42:37 +0000 2018
4Everanimalz1,"RT @EQAlerts: #Earthquake M3.9 11 km al Este de Puerto Jimenez, Golfito. 18 Aug 17:18 UTC - report/info: 
https://t.co/y0TPT6NNEb","#Earthquake M3.9 11 km al Este de Puerto Jimenez, Golfito. 18 Aug 17:18 UTC - report/info: 
https://t.co/y0TPT6NNEb",Sat Aug 18 17:42:33 +0000 2018
Shellback1993,@MorganStanley The Liberals will quake in their boots their skin will tear and their minds will explode at the awesome power of the POTUS,,Sat Aug 18 17:42:10 +0000 2018
jishinlog,【PR】JapanQuakeLive  https://t.co/XTyEWk6EKz   #Quake #japanquake #Earthquake #Earth #地震 #WEB #website,,Sat Aug 18 17:42:07 +0000 2018
softtonys,RT @ginnygardncr: @softtonys squirrel girl deadass beat thanos and galactus in the comics if she can do it then comics quake can defeat tha…,@softtonys squirrel girl deadass beat thanos and galactus in the comics if she can do it then comics quake can defeat thanos lol,Sat Aug 18 17:41:56 +0000 2018
ginnygardncr,@softtonys squirrel girl deadass beat thanos and galactus in the comics if she can do it then comics quake can defeat thanos lol,,Sat Aug 18 17:41:36 +0000 2018
alexh0we,"so im gonna try to get out of here on monday or tuesday. hoping to have time to set up my stuff to get my quake submission video out by the end of the month

i should be fine though",,Sat Aug 18 17:41:34 +0000 2018
ESLQuake,"Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 August Finals.

🇪🇺 Go4QC Europe: https://t.co/ykrhA08OTp
🇺🇸 Go4QC North America: https://t.co/oaM7qxU3DP https://t.co/MsNoP7sijU",,Sat Aug 18 17:41:17 +0000 2018
BlueTurbanStone,@RYN0xxx #metal #rock #funk #rap #trap #hiphop No Kidding or Bull Shitting. I got the Baddest leadoff tracks album going. I step 2 ANY artist Major or Indie: Step to Me! Frome Drake 2 Jake I'll make ya all Quake! Play music by Blue Turban Stone - https://t.co/fMhaOW54fA,,Sat Aug 18 17:41:05 +0000 2018
peoplearecraz,"RT @assaphmehr: Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the wo…","Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the works, countless hours researching ancient ghosts, and extensive editing - all for a beautiful that would make even Cicero quake!

https://t.co/IAt6pqnNLp https://t.co/v0IcKNfpC8",Sat Aug 18 17:40:38 +0000 2018
LustyVoid,"RT @Mostcus: 623. В 2016 году Мик Гордон и Sonic Mayhem на The Game Awards 2016 вживую рубили Rip &amp; Tear, Descend into Cerberon из Quake II…","623. В 2016 году Мик Гордон и Sonic Mayhem на The Game Awards 2016 вживую рубили Rip &amp; Tear, Descend into Cerberon из Quake II и BFG Division.

Это лучший лайв на планете.

https://t.co/yUQMU1UfV7",Sat Aug 18 17:40:30 +0000 2018
PFC_StickI3ear,メルカリにQuake 4 https://t.co/VTd8D6eixY,,Sat Aug 18 17:40:19 +0000 2018
sheilsyabber,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 17:40:16 +0000 2018
