yanisbojo,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:13:26 +0000 2018
PalesaVio2131,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:10:18 +0000 2018
m2feesh,RT @indianz: A federal judge has told the Trump administration to conduct a more thorough review of the Keystone XL Pipeline in response to…,"A federal judge has told the Trump administration to conduct a more thorough review of the Keystone XL Pipeline in response to a lawsuit filed by Native activists. “It’s an answer to our prayers,” grandmother Faith Spotted Eagle said. #NOKXL https://t.co/nE4GwIP8et",Sat Aug 18 20:10:16 +0000 2018
jaylaalicea,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:10:15 +0000 2018
ez_stanley,RT @Maami_Chulo: Y'all should please put my mum in your prayers 🙏🙏🙏,Y'all should please put my mum in your prayers 🙏🙏🙏,Sat Aug 18 20:10:15 +0000 2018
_olivviaa__,RT @daniellaav__: Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Sat Aug 18 20:10:15 +0000 2018
BogopaEmeldah,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:10:14 +0000 2018
anuragsharma131,"RT @VashiMant: When Babur's Ghazis got news of war w/ Rana Sanga, they started leaving. Such was Rana's fear in M armies. Babur could stop…","When Babur's Ghazis got news of war w/ Rana Sanga, they started leaving. Such was Rana's fear in M armies. Babur could stop them only after giving oath on Q*ran &amp; promise 2 not consume pork/alcohol of which he was big fan. He was in prayers whole night. This was H Shourya. Today?",Sat Aug 18 20:10:13 +0000 2018
AaronDesignerCa,@RichOnOWN @YesRisingDotCom @Oprah G-d bless you! No one should pass in pain; that rocks me to my core! Thank you Aretha 4 your music and civil rights actism! Prayers Up🙏🙏🙏,,Sat Aug 18 20:10:10 +0000 2018
daniburke8,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:10:09 +0000 2018
ShafeeqBasheerT,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:10:08 +0000 2018
turdbloss0m,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:10:08 +0000 2018
0014966f0dea434,"RT @Ali_MuhammadPTI: Congratulations to all the Ministers &amp; Advisors in PM @ImranKhanPTI cabinet. 
With a leader like him InshaALLAH this c…","Congratulations to all the Ministers &amp; Advisors in PM @ImranKhanPTI cabinet. 
With a leader like him InshaALLAH this cabinet will perform wonders. 
My prayers for all. 
May ALLAH bless them &amp; guide them all. 
Amin !",Sat Aug 18 20:10:07 +0000 2018
iamlittlesrk,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:10:06 +0000 2018
truqq498v4kimE2,"RT @CEOcrystalsmith: Heavy heart tonight, yet prayers up for the Queen of Soul. ..Aretha Franklin... 🙏🏽 https://t.co/qVEWnTnRoc","Heavy heart tonight, yet prayers up for the Queen of Soul. ..Aretha Franklin... 🙏🏽 https://t.co/qVEWnTnRoc",Sat Aug 18 20:10:05 +0000 2018
andthe1975,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:10:01 +0000 2018
omesh,"RT @kizzabesigye1: Today, we visited Hon Francis Zaake at Lubaga Hospital, where he was dumped by unknown (Security) people, having grabbed…","Today, we visited Hon Francis Zaake at Lubaga Hospital, where he was dumped by unknown (Security) people, having grabbed him in Uganda's West Nile town of Arua. 

He remains in a critical condition tho doctors told us he's slowly stabilizing. We'll keep him in our prayers. https://t.co/Xit6R8FGG2",Sat Aug 18 20:10:01 +0000 2018
insaafinqalaab,"RT @sufimusafir: Mashallah,congratulations to Janab @ImranKhanPTI #ImranKhanPrimeMinister fr becoming 22nd Prime Minister of Pakistan🇵🇰 aft…","Mashallah,congratulations to Janab @ImranKhanPTI #ImranKhanPrimeMinister fr becoming 22nd Prime Minister of Pakistan🇵🇰 after 22 years of consistent n focused hard work wit never give up way of leading from front. 
Dua's n Prayers of #Peace from #Ajmer Sharif #India 🇮🇳 https://t.co/60nXoNFrJQ",Sat Aug 18 20:10:01 +0000 2018
devduttarana,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:09:58 +0000 2018
Spideyy_1,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:09:57 +0000 2018
automotiveseo,"Christ Followers - @carriehpasch and I want to mail you OMOM stickers to keep this event in your thoughts and prayers.  Send your postal mailing address to dawn.pasch@pcgcompanies.com 

If you are attending #NADA2019 please reserve your ticket today. https://t.co/Qmc5cSbxNG https://t.co/LBhgOt0a6C",,Sat Aug 18 20:09:57 +0000 2018
marck_vlp,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:09:57 +0000 2018
RafEngagement,"RT @Sid_Khan786: As a Muslim serving in the Army 22yrs, I'm proud to say, never have I heard of a better employer in the UK. You have every…","As a Muslim serving in the Army 22yrs, I'm proud to say, never have I heard of a better employer in the UK. You have every right to practice your religion. Salah/Prayers, Diet, Dress, Fasting, Eid all recognised and catered for. #Opportunity
#Force4Inclusion @Force4inclusion https://t.co/oliwtCfrVW",Sat Aug 18 20:09:54 +0000 2018
mcleod55,RT @FranCifelli: Praying for the Burchett family &amp; everyone suffering from the horrific fires🔥consuming the~West Coast~All of the 1st Respo…,Praying for the Burchett family &amp; everyone suffering from the horrific fires🔥consuming the~West Coast~All of the 1st Responders need our prayers as well as all of the families that have lost everything to these fires~God be with them all in this time of need~🇺🇸🙏🇺🇸~ https://t.co/EiJ183GIje,Sat Aug 18 20:09:54 +0000 2018
BrenNicAllen,"RT @MikeSavageHFX: Our guy @matlantivex is pretty banged up, but still able to smile. Prayers and best wishes to all the family. Says he is…","Our guy @matlantivex is pretty banged up, but still able to smile. Prayers and best wishes to all the family. Says he is coming back to next Council meeting. Wouldn’t bet against him. #recover. https://t.co/9sZ2Ctwynf",Sat Aug 18 20:09:53 +0000 2018
Mare__Kha,"RT @ShehzadRoy: Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually mak…","Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually make it come true. We are all expecting a lot . All our prayers are with you @ImranKhanPTI https://t.co/nXDA2H0wxH",Sat Aug 18 20:09:52 +0000 2018
AH_9__1,RT @Betelgeuse100: Israeli occupation forces have closed all entrances to Al Aqsa Mosque 🕌 &amp; prevented people from attending evening prayer…,"Israeli occupation forces have closed all entrances to Al Aqsa Mosque 🕌 &amp; prevented people from attending evening prayers #Jerusalem 
#GroupPalestine
#قروب_فلسطيني
#CrimesOfIsrael https://t.co/B8VRwfmeX3",Sat Aug 18 20:09:51 +0000 2018
brianna60691202,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:50 +0000 2018
Afshana06229117,"RT @ShehzadRoy: Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually mak…","Seeing you taking the oath today convinced me that if one believes in something with enough conviction, they eventually make it come true. We are all expecting a lot . All our prayers are with you @ImranKhanPTI https://t.co/nXDA2H0wxH",Sat Aug 18 20:09:49 +0000 2018
krishramani1,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:09:49 +0000 2018
BassieKayy,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:09:49 +0000 2018
noeli110,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:49 +0000 2018
anarchdont,@rickmakeitquick @DemSocialists I'm donating with thoughts and prayers,,Sat Aug 18 20:09:48 +0000 2018
basiru_ayub,"RT @GeoffreyOnyeama: Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and praye…","Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and prayers. https://t.co/HRLhXFAtg7",Sat Aug 18 20:09:47 +0000 2018
urstrulynyr,"RT @anilbabusri: Hope, TRP hunters @TV9Telugu @abntelugutv pick up this story.
@NameisNani lost everything that he has.

He will be sleeple…","Hope, TRP hunters @TV9Telugu @abntelugutv pick up this story.
@NameisNani lost everything that he has.

He will be sleepless tonight.
Bad for Kaushal. Don't give up. My prayers for you.
#insecurehostnani",Sat Aug 18 20:09:41 +0000 2018
AneeshKA01,RT @sachin_rt: Prayers are always good but in times of dire need and suffering we all can do more. Right now the victims and families of th…,"Prayers are always good but in times of dire need and suffering we all can do more. Right now the victims and families of the #KeralaFloods need our help. Let’s show them that we #StandWithKerala. Even a small contribution to Kerala’s #CMDRF would go a long way.
@CMOKerala https://t.co/UFQCVL3G3x",Sat Aug 18 20:09:41 +0000 2018
lia_izuku,RT @daniellaav__: Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Sat Aug 18 20:09:39 +0000 2018
SaurabhTiwary22,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:09:35 +0000 2018
abbadabbaaa,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:09:33 +0000 2018
cs_adams,"RT @JustinWelby: Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We re…","Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We remember him in prayers of great gratitude. 

“Blessed are the peacemakers, for they shall be called children of God.” (Matthew 5:9)",Sat Aug 18 20:09:33 +0000 2018
GiesekeKarlie,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:09:32 +0000 2018
Vishnud75272668,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 20:09:32 +0000 2018
SaintsOnline,"RT @JustinWelby: Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We re…","Kofi Annan set an example of reconciliation, leadership, integrity and service, underpinned by deep Christian faith. We remember him in prayers of great gratitude. 

“Blessed are the peacemakers, for they shall be called children of God.” (Matthew 5:9)",Sat Aug 18 20:09:31 +0000 2018
Mad_N06,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:31 +0000 2018
dspdeppu,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 20:09:30 +0000 2018
ErinPleva,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sat Aug 18 20:09:28 +0000 2018
mattia_maffi,RT @maxehrich: . @ddlovato just came on Spotify shuffle. Really hope she’s doing well. Sending prayers her way.,. @ddlovato just came on Spotify shuffle. Really hope she’s doing well. Sending prayers her way.,Sat Aug 18 20:09:27 +0000 2018
ARY2NNA,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:26 +0000 2018
musinguzi_roger,RT @DouglasLwangaUg: Indeed Artists are prophets. Dont sieze prayin for BOBIWINE. God still answers prayers. 🙏 https://t.co/Txr7Wohkgu,Indeed Artists are prophets. Dont sieze prayin for BOBIWINE. God still answers prayers. 🙏 https://t.co/Txr7Wohkgu,Sat Aug 18 20:09:25 +0000 2018
michelleography,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:25 +0000 2018
BasitNaila,@Shafqat_Mahmood Good Luck sir ..loads of prayers,,Sat Aug 18 20:09:24 +0000 2018
Ody_johnson,@JKleke @_Elle55 Prayers cannot help this particular government.. They need to be kicked out for another one.,,Sat Aug 18 20:09:23 +0000 2018
iamEndLeSs,RT @AngeliPV: Thanking God for His kindness to me. No one would ever know what I have been through in this life of mine. It has not been ea…,Thanking God for His kindness to me. No one would ever know what I have been through in this life of mine. It has not been easy. Prayers are my secret weapons and I thank each and every one of you who whispered one for my family. It was so worth it. 🙏🏻♥️ Thank you Lord Jesus. https://t.co/5UWu8YY35b,Sat Aug 18 20:09:22 +0000 2018
Ellzzzzs,RT @_MaliYork_: Please send prayers and thoughts. https://t.co/RrEG7iUuIi,Please send prayers and thoughts. https://t.co/RrEG7iUuIi,Sat Aug 18 20:09:21 +0000 2018
trashdinho,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:20 +0000 2018
HouseShenanigan,How is the FL GOP so consistently awful? They actually believe “thoughts and prayers” will stop gun massacres at schools and made a law to display it in all buildings. 🙄 https://t.co/sCjySM3rcH,,Sat Aug 18 20:09:20 +0000 2018
DepxndentOnMe,@grahambriannaa Ill hold her in my prayers for you. I hope she pushes through whatever she's going through.,,Sat Aug 18 20:09:17 +0000 2018
SiouXeee,@Frtomosa @StRitaHS 😥So incredibly sad... prayers for his family...God rest his soul.,,Sat Aug 18 20:09:17 +0000 2018
Htx_Toothless,"Said I changed on you, but I feel that you changed on me
I say my prayers and you gon' sow just what you reap",,Sat Aug 18 20:09:13 +0000 2018
5oshadesofa,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:09:12 +0000 2018
HickSpanicKid,"@Haleyisraad Rough dude, thoughts &amp; prayers.",,Sat Aug 18 20:09:12 +0000 2018
GodsProphet6,@MMickleson18 You're welcome Margie. We say the Repentance prayer along with many other prayers during our daily Christian Family Devotional. God bless you and your family in Jesus' name.,,Sat Aug 18 20:09:10 +0000 2018
BadCeeno,"Everybody send your prayers out to @savagesuan
Nothing wrong with him he just need 100k rn",,Sat Aug 18 20:09:08 +0000 2018
ChinnaaV,RT @Actor_Vivek: Dear students n teachers! Plz include #KeralaFloods into your daily school prayers.,Dear students n teachers! Plz include #KeralaFloods into your daily school prayers.,Sat Aug 18 20:09:07 +0000 2018
kennedy__O,RT @oderahnnaji: Remember me in your prayers like you  remember  me in your gossips .,Remember me in your prayers like you  remember  me in your gossips .,Sat Aug 18 20:09:06 +0000 2018
gigis1217,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:06 +0000 2018
suneelrk,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 20:09:05 +0000 2018
josecheroque,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:09:04 +0000 2018
heykevinjohn,"As a fan of youth sports, I hate to see this happen. Prayers up to this young man 🙏🏽 https://t.co/9wDAiLZoix",,Sat Aug 18 20:09:03 +0000 2018
__sissy28,RT @daniellaav__: Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Idc what anybody says... PRAYERS WORK &amp; THAT MAN ABOVE IS REAL❤️,Sat Aug 18 20:09:02 +0000 2018
ObbyT35,"@MamoyoT @lilomatic @RomeoMakonese @LynNemudonhi @MpiganiaUhuru @TalithaDube1 @sekuru_gudo @Macandyjo @KristenMuwani @CdeGuerrilla Linda will one day come to her senses. She actually needs our prayers, not our insults.",,Sat Aug 18 20:09:01 +0000 2018
AbdulQadirAwan6,"RT @MHafeez22: Congratulations to @ImranKhanPTI to become 22nd Prime Minister of Pakistan ❤️🤲🏼, loads of prayers &amp; best wishes to U , #Naya…","Congratulations to @ImranKhanPTI to become 22nd Prime Minister of Pakistan ❤️🤲🏼, loads of prayers &amp; best wishes to U , #NayaPakistan 🇵🇰Zindabad",Sat Aug 18 20:09:01 +0000 2018
santjagdev,"RT @angie_karan: Prayers &amp; Blessings for the (People and) Wildlife of #Kerala. Please send healing and prayers to the people of Kerala, sou…","Prayers &amp; Blessings for the (People and) Wildlife of #Kerala. Please send healing and prayers to the people of Kerala, south India. Terrible monsoon has taken hundreds of lives.😔⚘🌷💫🙏💫🌷⚘ #KeralaFloods 🙏 https://t.co/jDQun3Izcv",Sat Aug 18 20:08:58 +0000 2018
terrydale60,Prayers for Iran https://t.co/ffLcDn7AZm,,Sat Aug 18 20:08:58 +0000 2018
phoebeeada,@RonnieG85 prayers,,Sat Aug 18 20:08:58 +0000 2018
carissald13,I know my dad hears my prayers and I know he’s bound to give me a blessing 😌❤️,,Sat Aug 18 20:08:57 +0000 2018
_mireyaflores_,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:08:55 +0000 2018
sunilsharma_knp,"RT @ajaymaken: Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our…","Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our prayers to grant strength to the bereaved family.
#RIPVimalKhurana https://t.co/RBAoe6ZwbB",Sat Aug 18 20:08:53 +0000 2018
SCurry4Him,"RT @KennyKuykendal1: I’m sure many of you have heard by now, Dr. Thurman Wade has graduated to glory. Please remember Sis. Wade and family…","I’m sure many of you have heard by now, Dr. Thurman Wade has graduated to glory. Please remember Sis. Wade and family in your prayers. Funeral arrangements will be made tomorrow morning. https://t.co/JgtAPmjedB",Sat Aug 18 20:08:52 +0000 2018
og_londy,RT @Kdix_jr: Keep my sister in your prayers please💔 I can’t stomach this,Keep my sister in your prayers please💔 I can’t stomach this,Sat Aug 18 20:08:51 +0000 2018
dmischo,@CitizenWBailey @N1RMFAN Sending you both prayers for no recurrence. Having your support helped her. I’ve seen it again and again as a provider.  You’re right...no one should have to go bankrupt (or even have to choose between) good healthcare &amp; other aspects of life. Healthcare is a human right. Hugs!,,Sat Aug 18 20:08:50 +0000 2018
suneelrk,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 20:08:50 +0000 2018
muvacartier,RT @FUGAZIBRAT: please send all your prayers to my cousin. it would help so much.,please send all your prayers to my cousin. it would help so much.,Sat Aug 18 20:08:46 +0000 2018
shameerindia,"RT @sasmitpatra: As we sleep soundly tonight, there are millions in #Kerala who are struggling for necessities of life due to massive flood…","As we sleep soundly tonight, there are millions in #Kerala who are struggling for necessities of life due to massive floods. May our prayers &amp; support in whatever form help alleviate their pain. May God be with them &amp; keep them safe. #Kerala you are in our prayers. #KeralaFloods",Sat Aug 18 20:08:45 +0000 2018
nagibina_o62,RT @DoctorNene: Kerala is going through some tough times with the floods. Our hearts and prayers go out to them.  As Indians and human bein…,"Kerala is going through some tough times with the floods. Our hearts and prayers go out to them.  As Indians and human beings, we should always be ready to help each other. Stay strong Kerala.",Sat Aug 18 20:08:44 +0000 2018
tayllormaddie,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:08:44 +0000 2018
m_kitty2003,RT @AlexErnst: my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,my prayers for a girlfriend worked lol https://t.co/tIUiaxjWWR,Sat Aug 18 20:08:42 +0000 2018
westin_n,"RT @baileyyferg: Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care,…","Garth brooks sure knew what he was talking about when he said “just because he doesn't answer doesn't mean he don't care, some of God's greatest gifts are unanswered prayers.”",Sat Aug 18 20:08:41 +0000 2018
Margare03888100,RT @L_a_F_l_a_m_m_e: O CHRIST JESUS I acknowledge You King of the Universe. All that has been created has been made for You. Exercise upon…,"O CHRIST JESUS I acknowledge You King of the Universe. All that has been created has been made for You. Exercise upon me all Your rights. I renew my baptismal promises renouncing Satan and all his works and pomps. https://t.co/HF8JmUTbGW
🙌✝️ https://t.co/jZdecSYoUM",Sat Aug 18 20:08:38 +0000 2018
ebt51,"RT @FrGoyo: 9. And that’s true. Actions are needed, but I also know that prayers might not change things. Prayer changes us and we change t…","9. And that’s true. Actions are needed, but I also know that prayers might not change things. Prayer changes us and we change things (St. Teresa of Calcutta). So, yes I pray for all of this. I pray that there is justice. I pray for the victims especially and those who hurt.",Sat Aug 18 20:08:37 +0000 2018
Sherry0991,"RT @kizzabesigye1: Today, we visited Hon Francis Zaake at Lubaga Hospital, where he was dumped by unknown (Security) people, having grabbed…","Today, we visited Hon Francis Zaake at Lubaga Hospital, where he was dumped by unknown (Security) people, having grabbed him in Uganda's West Nile town of Arua. 

He remains in a critical condition tho doctors told us he's slowly stabilizing. We'll keep him in our prayers. https://t.co/Xit6R8FGG2",Sat Aug 18 20:08:36 +0000 2018
Lovely_Giox3,"RT @_ashleybrionne_: Sis, you’re next.... unexpected blessings, breakthroughs, manifestations, answered prayers, and overflow has YOUR NAME…","Sis, you’re next.... unexpected blessings, breakthroughs, manifestations, answered prayers, and overflow has YOUR NAME ON IT!! Don’t give up yet 🙏🏽",Sat Aug 18 20:08:36 +0000 2018
Abhishe40413463,RT @yadavakhilesh: Our thoughts and prayers for those whose lives were lost in the devastating Kerala floods. Let’s collectively dedicate o…,"Our thoughts and prayers for those whose lives were lost in the devastating Kerala floods. Let’s collectively dedicate ourselves towards relief, recovery, and long term reconstruction assistance for the tens of thousands of displaced and impacted Keralites. #UPforKerala",Sat Aug 18 20:08:36 +0000 2018
LuvCurlin,@theTDN No. Many prayers for you beautiful girl. ❤️,,Sat Aug 18 20:08:35 +0000 2018
nadeem42135,"RT @Ali_MuhammadPTI: Congratulations to all the Ministers &amp; Advisors in PM @ImranKhanPTI cabinet. 
With a leader like him InshaALLAH this c…","Congratulations to all the Ministers &amp; Advisors in PM @ImranKhanPTI cabinet. 
With a leader like him InshaALLAH this cabinet will perform wonders. 
My prayers for all. 
May ALLAH bless them &amp; guide them all. 
Amin !",Sat Aug 18 20:08:34 +0000 2018
ebt51,"RT @FrGoyo: 8. 2 ladies who saw the whole thing asked me if they could pray for me, “I am not a victim. Let’s pray for the victims who suff…","8. 2 ladies who saw the whole thing asked me if they could pray for me, “I am not a victim. Let’s pray for the victims who suffer(ed) tremendously and that this NEVER happens again.” And so we prayed and I know what you are thinking, “actions. No prayers.”",Sat Aug 18 20:08:30 +0000 2018
myangel7777777,RT @Eaglesaint123: @intifadasoul @rico_hands My Family came to USA when i was 5 years old after the 6 day war of 1967 i am a christian pale…,@intifadasoul @rico_hands My Family came to USA when i was 5 years old after the 6 day war of 1967 i am a christian palestinian i realize that others are not as fortunate and can’t leave especially those on the Gaza strip my Heart and prayers go out to you!!!,Sat Aug 18 20:08:30 +0000 2018
MBgotFans,"RT @CarreonKalvee: My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kin…","My neighbor is suffering with this cancerous illness and we, her neighbors including her family, are seeking for any kind of help and asking for your prayers. Please retweet this to inform everybody who wants to contribute some help. https://t.co/Rj82J5Fdu8",Sat Aug 18 20:08:27 +0000 2018
