SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
lafash,@capnmcfword Stay strong.  Thoughts and prayers.,,Sat Aug 18 23:44:02 +0000 2018
ThinkPrayForUS,Offering thoughts and prayers for #KingCity #California - #PrayForKingCity,,Sat Aug 18 23:43:51 +0000 2018
Quiggling,@mckellogs Thoughts and prayers,,Sat Aug 18 23:43:31 +0000 2018
farman_pasha,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:43:18 +0000 2018
Thalapathygopib,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 23:43:17 +0000 2018
zoeosis,Wearing a jumpsuit out tonight so I won’t be able to pee for at least the next five hours...thoughts and prayers appreciated in this difficult time. #jesssaidyess,,Sat Aug 18 23:43:13 +0000 2018
WistfulPatriot,@usmc1940 Thoughts and prayers for the Colonel and the whole family. Semper Fidelis.,,Sat Aug 18 23:43:12 +0000 2018
TIMxMACK,@MajinJerms @ampaveli Thoughts and prayers,,Sat Aug 18 23:43:12 +0000 2018
gibbymcdibby,"@rbp77 Mate

Thoughts and prayers",,Sat Aug 18 23:43:09 +0000 2018
ganeshrajasep,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:43:06 +0000 2018
dmblack55,@chief321 Sorry to hear hopefully positive news at 8.  Thoughts and prayers your way.,,Sat Aug 18 23:42:58 +0000 2018
HopesMom12,@jaketapper thoughts and prayers,,Sat Aug 18 23:42:51 +0000 2018
Faraz31809091,@AustinMcbroom My thoughts and prayers go out to you and your family. Please keep safe🙏 #Acefamily,,Sat Aug 18 23:42:50 +0000 2018
tenax666,"@TheRickWilson Stand your ground...then, thoughts and prayers",,Sat Aug 18 23:42:42 +0000 2018
mmeadapaez,Prayers and thoughts for everyone involved.    https://t.co/yBpTRNGz94,,Sat Aug 18 23:42:28 +0000 2018
dwatchnews,"RT @BarrowPresident: My thoughts &amp; prayers are with Ghana, Africa &amp; the whole world on the demise of one of Africa's greatest. 
@KofiAnnan…","My thoughts &amp; prayers are with Ghana, Africa &amp; the whole world on the demise of one of Africa's greatest. 
@KofiAnnan was a leader of global peace, who has made Africa proud for all the right reasons. 
He'll be remembered for his relentless search for global peace and security. https://t.co/EYdMacGCvE",Sat Aug 18 23:42:21 +0000 2018
youngjeopardy,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 23:42:19 +0000 2018
RuzZuriel10,"@usmc1940 Healing prayers &amp; positive thoughts are being sent for him! Wishing you a healthy &amp; Speedy Recovery Sir!!!
🙏🙏🙏❤💛❤🙏🙏🙏
SEMPER FI",,Sat Aug 18 23:42:11 +0000 2018
Shivam_singh98,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:41:45 +0000 2018
kiyokowafflez,RT @Irisheyes_1916: Condolences to Jonathan Davis. And his two sons...You are in the thoughts and prayers of your fans tonight.,Condolences to Jonathan Davis. And his two sons...You are in the thoughts and prayers of your fans tonight.,Sat Aug 18 23:41:34 +0000 2018
Uppalappa8,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:41:21 +0000 2018
Flaaaaalala,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:40:39 +0000 2018
AHelderman1,@cainera1_ So sorry to see such a great rookie to sustain a season ending injury. You will be in my family’s thoughts and prayers. Praying for a quick and successful recovery. You have a great future ahead of you.,,Sat Aug 18 23:40:12 +0000 2018
sudheerprabhasr,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:40:08 +0000 2018
IbsiNow,Our thoughts and prayers are with the family of former UN Secretary General Kofi Anan after his recent passing. https://t.co/nc21C4zKqm,,Sat Aug 18 23:40:02 +0000 2018
Srinivasulumall,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 23:39:53 +0000 2018
CATRacingStable,@kaitlinefree My thoughts and prayers go out to the connection so sorry to hear🙏,,Sat Aug 18 23:39:45 +0000 2018
mondogarage,"@ndane73 @MuslimIQ Thoughts and prayers, dude, thoughts and prayers. You've won the internet today.",,Sat Aug 18 23:39:38 +0000 2018
JackieH622615,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:39:36 +0000 2018
BerniceHowett,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:39:26 +0000 2018
joshbya,"RT @shaydougie: .@joshbya and @manaalrauf offer opposing arguments on the issue of #guncontrol in America. In doing so, they encapsulate th…",".@joshbya and @manaalrauf offer opposing arguments on the issue of #guncontrol in America. In doing so, they encapsulate the spirit of the program: discussion for the sake of understanding.

🔫✅: https://t.co/uBEGJV3fH0
🔫🚫: https://t.co/qq0hFyH1Pm",Sat Aug 18 23:39:01 +0000 2018
SamuelTheSayer,"RT @Real_PeachyKeen: Patriots! As you go about your Friday, keep @GenFlynn and his family in your hearts, your thoughts, &amp; your prayers 🙏…","Patriots! As you go about your Friday, keep @GenFlynn and his family in your hearts, your thoughts, &amp; your prayers 🙏

The Deep State Witch Hunt has taken a toll, but in the end Gen Flynn will win!

Please donate to his Defense: https://t.co/2b61Mt21Dq

#AllInForGenFlynnFriday https://t.co/RASQzldCCp",Sat Aug 18 23:38:51 +0000 2018
JennLynnJahns,"@bluelivesmtr My thoughts and prayers are with her family. I know what they are going through. My fiancé, who was a police officer, died the same way. Very sad that so many officers are dealing with this on their own and the departments aren’t reaching out to them before tragedy strikes.",,Sat Aug 18 23:38:38 +0000 2018
QuayKimble,RT @FootballPrideGC: It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our…,It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our brother @BIGWEBBER_. He lost his sister this week in a tragic accident. We ask that your thoughts and prayers be with him and his family. #ForFaith https://t.co/ufLEiilGjP,Sat Aug 18 23:38:31 +0000 2018
shaydougie,".@joshbya and @manaalrauf offer opposing arguments on the issue of #guncontrol in America. In doing so, they encapsulate the spirit of the program: discussion for the sake of understanding.

🔫✅: https://t.co/uBEGJV3fH0
🔫🚫: https://t.co/qq0hFyH1Pm",,Sat Aug 18 23:38:28 +0000 2018
EvOConnor15,RT @clevecarrier: @ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JM…,"@ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JMReflectionsof @Pickles0201 @Ldaught2 @ArmyOfTrump1 @JohnnyB371 @LeighScott_STL @EvOConnor15 Vote Red, please. And support our President and the First Lady. Keep Sarah H. Sanders in your thoughts and prayers. She is so good. Support all our men and women in uniform. At home and abroad! And don’t forget to thank them for being there.",Sat Aug 18 23:38:26 +0000 2018
dannyothello,@Shushuttoo My thoughts and prayers are with you and your family.,,Sat Aug 18 23:38:16 +0000 2018
RuzZuriel10,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:38:08 +0000 2018
BJacksonLTH,"RT @GMD25691: First week of school in FL first school shooting

@marcorubio @SpeakerRyan @SenateMajLdr 

Send your thoughts and Prayers yet…","First week of school in FL first school shooting

@marcorubio @SpeakerRyan @SenateMajLdr 

Send your thoughts and Prayers yet? Or are you busy taking #NRA money?

#MarchForOurLives https://t.co/NmD7xiQj2u",Sat Aug 18 23:37:28 +0000 2018
rosedesable643,RT @MFIRDOWS: @MeufUrbaine @rosedesable643 One more month and we will know the end of the confrontation! Our prayers and our thoughts for P…,@MeufUrbaine @rosedesable643 One more month and we will know the end of the confrontation! Our prayers and our thoughts for Professor Tariq Ramadan unjustly detained #FreeTariqRamadan,Sat Aug 18 23:37:27 +0000 2018
JohnnyC37193697,@melaniee2813 So sorry Melanie. Of all the tweets I have read today your's has made me stop and think. You have hit a soft spot. You are in my thoughts and prayers.,,Sat Aug 18 23:37:24 +0000 2018
mahaboobali_01,RT @KeralaPMC: We pray that God must show mercy on it's own country 'Kerala'. Our thoughts and prayers for the tragic loss of lives in the…,"We pray that God must show mercy on it's own country 'Kerala'. Our thoughts and prayers for the tragic loss of lives in the torrential rains leading to grim flood situation. 
We plead to the nation to provide their generous support in relief measures.
#KeralaFloods
@sushmitadevmp",Sat Aug 18 23:37:21 +0000 2018
TreySterns,RT @reaganroy: .@tatumisd’s @TatumEaglePride football player D.J. Horton was severely injured in last night’s scrimmage at Rusk. Please kee…,.@tatumisd’s @TatumEaglePride football player D.J. Horton was severely injured in last night’s scrimmage at Rusk. Please keep D.J. and his family in your thoughts and prayers! #bEASTTexas #TXHSFB https://t.co/9RmIi8OIEt,Sat Aug 18 23:36:55 +0000 2018
GreenBiotechie,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 23:36:53 +0000 2018
Lowne1888,@TomiLahren @Johnburk11b Thoughts and prayers. Womp womp.,,Sat Aug 18 23:36:36 +0000 2018
klm_thunder,"@JaimePrimak My heart just breaks for you and your family @JaimePrimak - please know I have you all in my thoughts and prayers.

I have a grand-baby who is 9yrs old approx. Most loving Doberman on this earth. A rescue, just a sweet boy, who wants love.
I would do same if he bit a child!",,Sat Aug 18 23:36:13 +0000 2018
clanceman65,RT @FrontiersMusic1: fabulously wealthy either. It's not an easy way to make a living and the musicians you do see making a comfortable liv…,"fabulously wealthy either. It's not an easy way to make a living and the musicians you do see making a comfortable living off it are the lucky ones (and they'll tell you that too). Also, save the snide comments about thoughts &amp; prayers. This is a fellow human being. Be nice. 3/3",Sat Aug 18 23:36:04 +0000 2018
Ahimmel70,RT @FootballPrideGC: It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our…,It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our brother @BIGWEBBER_. He lost his sister this week in a tragic accident. We ask that your thoughts and prayers be with him and his family. #ForFaith https://t.co/ufLEiilGjP,Sat Aug 18 23:35:18 +0000 2018
riconcc5,RT @chelseahandler: Thoughts and prayers to the NRA who is saying they’re in a deep financial crisis and may be unable to exist. Maybe they…,"Thoughts and prayers to the NRA who is saying they’re in a deep financial crisis and may be unable to exist. Maybe they could ask some of the Republicans they donated millions to for a loan: 
Richard Burr -  $7M
Roy Blunt -  $4M
Cory Gardner -  $3M 
Marco Rubio - $3M",Sat Aug 18 23:35:11 +0000 2018
CaseyBurn1,"@TomiLahren @Johnburk11b Awe, bless his heart and yours. Thoughts and prayers. Boo fuckin hoo.",,Sat Aug 18 23:35:11 +0000 2018
arunpsiva,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 23:35:02 +0000 2018
TonyGoobie,"@AndreaPearce2 Andrea, we are so sorry for your loss. Out thoughts and prayers are with you Brad, Sam and your family. Tony and Nancy",,Sat Aug 18 23:34:30 +0000 2018
OscartheDog_ARM,RT @theruffriderz: @GazeboladySuzie we heard you not well sweet Sadie ..you will be in our thoughts and prayers xx,@GazeboladySuzie we heard you not well sweet Sadie ..you will be in our thoughts and prayers xx,Sat Aug 18 23:34:23 +0000 2018
AshfaqueSRKian,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sat Aug 18 23:34:17 +0000 2018
Metalmastermike,RT @mattkulak: I want you all to keep my cousin Wes Kulak in your thoughts and prayers today. He's gone missing on his way to Penticton fro…,I want you all to keep my cousin Wes Kulak in your thoughts and prayers today. He's gone missing on his way to Penticton from Stony Plain and hasn't been seen or heard from since Tuesday. Hoping for some good news soon.,Sat Aug 18 23:34:12 +0000 2018
castaway_Andrew,"@theintercept @shaunking How much more thoughts and prayers would the victims of this horrendous attack receive if this got more European and USA coverage?

A significant amount, right? 

Yeah that would make a difference.",,Sat Aug 18 23:34:08 +0000 2018
MunagalaRajasek,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 23:34:02 +0000 2018
MaiThirty,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 23:33:57 +0000 2018
JAMESLJOHANSEN,"MY QUEEN AND MY PRINCE ARE NOW HOME FROM THE HOSPITAL DOING WELL. PRINCE JAMES IS STILL DUE TO BE BORN ON SEPTEMBER 24, 2018. THANKS SO MUCH FOR YOUR THOUGHTS AND PRAYERS. https://t.co/fB8MAYRtox",,Sat Aug 18 23:33:56 +0000 2018
intmtnsp,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:33:30 +0000 2018
sarizzle5,"@kevinrichardson I pray everyone is safe first and foremost. Sending thoughts, prayers and good vibes. 🙏✌️❤️",,Sat Aug 18 23:33:12 +0000 2018
m_iqbal79,RT @nazir_lord: Our thoughts and prayers are with the flood victims https://t.co/6Qm9kdNb4O,Our thoughts and prayers are with the flood victims https://t.co/6Qm9kdNb4O,Sat Aug 18 23:33:09 +0000 2018
DhanaRa13094992,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:32:57 +0000 2018
Naveenp992,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:32:41 +0000 2018
ShajudheenKT,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:31:41 +0000 2018
CHawksRun,"RT @shutupmay: Please keep me in your thoughts and prayers right now. Nothing is going on, I'm just a narcissist.","Please keep me in your thoughts and prayers right now. Nothing is going on, I'm just a narcissist.",Sat Aug 18 23:31:40 +0000 2018
HAJ_1952,"@myserenity69 They voted for agolf twitler. So thoughts and prayers.
Whomp whomp.",,Sat Aug 18 23:31:33 +0000 2018
shirley_demarco,"RT @middleageriot: Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the lad…","Q: How many Republicans does it take to change a light bulb?

A: Republicans don't change light bulbs. They hide the ladders, sell the bulbs, blame Democrats for the dark, and send thoughts and prayers to anyone who trips.

#NationalTellAJokeDay",Sat Aug 18 23:31:16 +0000 2018
Boo3zero5,RT @clevecarrier: @ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JM…,"@ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JMReflectionsof @Pickles0201 @Ldaught2 @ArmyOfTrump1 @JohnnyB371 @LeighScott_STL @EvOConnor15 Vote Red, please. And support our President and the First Lady. Keep Sarah H. Sanders in your thoughts and prayers. She is so good. Support all our men and women in uniform. At home and abroad! And don’t forget to thank them for being there.",Sat Aug 18 23:31:06 +0000 2018
Palash_sawhney,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:31:01 +0000 2018
Kawabunga_,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sat Aug 18 23:30:49 +0000 2018
VonniB76,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sat Aug 18 23:30:38 +0000 2018
chrisj11870,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:29:58 +0000 2018
CoachCSaid,RT @getbuckets_chi: Get Buckets Chicago sends our deepest condolences to everyone effected by this unimaginable tragedy. Keep the Cougars i…,Get Buckets Chicago sends our deepest condolences to everyone effected by this unimaginable tragedy. Keep the Cougars in your thoughts and prayers. https://t.co/1jEUp2oRAs,Sat Aug 18 23:29:55 +0000 2018
MishaLawless,"Thoughts &amp; Prayers.

But they better guard her well, before the Putinites poison her. https://t.co/W2hGOge9he",,Sat Aug 18 23:29:54 +0000 2018
DevinCarlos007,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:29:47 +0000 2018
charleskod,RT @QaisraShahraz: Our thoughts &amp; prayers @RogersMorganG for hosting #Interfaith #Peace #Vigil @ManCathedral 19 people who lost their lives…,Our thoughts &amp; prayers @RogersMorganG for hosting #Interfaith #Peace #Vigil @ManCathedral 19 people who lost their lives on their way to meet the #Afghanistan #President to discuss #ReligiousFreedom for minority faiths: #RIP @SukhbirJSingh https://t.co/eTMRo6raH5,Sat Aug 18 23:29:47 +0000 2018
VirlandNet,NRA Gets Trolled With 'Thoughts And Prayers' Over Reported Financial Woes | https://t.co/aioAZbGY7M https://t.co/MRoXvtFGX2,,Sat Aug 18 23:29:06 +0000 2018
ahlam3777,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:29:06 +0000 2018
ThinkPrayForUS,Offering thoughts and prayers for #Woburn #Massachusetts - #PrayForWoburn,,Sat Aug 18 23:28:52 +0000 2018
BrandonWidmer,@charlie_bagels Thoughts and prayers,,Sat Aug 18 23:28:48 +0000 2018
Forge001,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:28:39 +0000 2018
inspire_readers,"Everyone helping out with the forest fires, thank you! You are in our thoughts and prayers, stay safe. https://t.co/G7YSkVoHCj",,Sat Aug 18 23:28:23 +0000 2018
DaddysGirl716,RT @reaganroy: .@tatumisd’s @TatumEaglePride football player D.J. Horton was severely injured in last night’s scrimmage at Rusk. Please kee…,.@tatumisd’s @TatumEaglePride football player D.J. Horton was severely injured in last night’s scrimmage at Rusk. Please keep D.J. and his family in your thoughts and prayers! #bEASTTexas #TXHSFB https://t.co/9RmIi8OIEt,Sat Aug 18 23:28:19 +0000 2018
GordBolton,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sat Aug 18 23:27:57 +0000 2018
AnuSankerS,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sat Aug 18 23:27:47 +0000 2018
fanishjha,"RT @INCIndia: We're extremely saddened by the demise of Kofi Annan, an exemplary humanitarian, a nobel laureate &amp; a champion of peace aroun…","We're extremely saddened by the demise of Kofi Annan, an exemplary humanitarian, a nobel laureate &amp; a champion of peace around the world. The world will miss his presence, our thoughts &amp; prayers are with his family. https://t.co/SCacINQHfz",Sat Aug 18 23:27:09 +0000 2018
shamooo_088,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 23:26:55 +0000 2018
mikehammer41789,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:26:48 +0000 2018
wendylovesmj,"@WarRoomShow Sending you and your family thoughts and prayers for safety.

You told #msm #fakenews they better show the truth. 
I'm not waiting on that one.

Just take care of yourself. God's protective shield of love surrounds you and your family.",,Sat Aug 18 23:26:26 +0000 2018
PBRStreetGangg,"@RTDNEWS Blah, blah, blah. Let me guess.""Thoughts and prayers?""",,Sat Aug 18 23:26:24 +0000 2018
AtheistMatch,RT @Uncle_Jebus: I’m tired of this “Thoughts and prayers” phenomenon on social media. Since when has prayer ever helped anyone? via /r/athe…,I’m tired of this “Thoughts and prayers” phenomenon on social media. Since when has prayer ever helped anyone? via /r/atheism https://t.co/PumK17McVg #atheist #humanist,Sat Aug 18 23:26:09 +0000 2018
dinahger,"RT @Keller_B: @realDonaldTrump Thoughts and prayers, bro. You’re going down and we all can’t wait to see it!","@realDonaldTrump Thoughts and prayers, bro. You’re going down and we all can’t wait to see it!",Sat Aug 18 23:25:49 +0000 2018
cyclonespwhs,RT @godd912: @cyclonespwhs @PuebloWestHS @ASandstromView @PWHSFootball @BrandiMenegatti @PwhsWrestling Thoughts and prayers to the Boreson…,"@cyclonespwhs @PuebloWestHS @ASandstromView @PWHSFootball @BrandiMenegatti @PwhsWrestling Thoughts and prayers to the Boreson family, the Pueblo West football program and school, and the Pueblo West community.",Sat Aug 18 23:25:42 +0000 2018
judycarmi62,@marieosmond My thoughts and  prayers for Aretha Franklin's family,,Sat Aug 18 23:25:37 +0000 2018
DottieFincham,"I am a Ben Stein fan. Have been for decades. Please allow me to share his recent thoughts and also ask for your prayers.

Please Pray for My Wife
The American Spectator
https://t.co/umNGvPnXkB",,Sat Aug 18 23:25:21 +0000 2018
FarnerCraig,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 23:25:20 +0000 2018
