devadattajoshi,RT @Binita_Saikia: This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,Wed Aug 22 15:05:14 +0000 2018
DamienMcKenna,@davereid Insurance is unlikely to do anything unless you specifically bought flood insurance (learned that one a few years ago). You might need to dig down outside on that side of the house and then coat it with some stuff.,,Mon Aug 20 18:21:25 +0000 2018
B89542936,"RT @ajstesen: @B89542936 @BlueSea1964 @tafl56 I find this mind boggling that we Americans have such filth in our country, this is not the d…","@B89542936 @BlueSea1964 @tafl56 I find this mind boggling that we Americans have such filth in our country, this is not the dark ages. This should of been taken care of years ago, but not other President seemed to care. As I watch this unfold, we need another flood to cleanse the earth. No dems allowed on arc.",Mon Aug 20 17:59:30 +0000 2018
ajstesen,"@B89542936 @BlueSea1964 @tafl56 I find this mind boggling that we Americans have such filth in our country, this is not the dark ages. This should of been taken care of years ago, but not other President seemed to care. As I watch this unfold, we need another flood to cleanse the earth. No dems allowed on arc.",,Mon Aug 20 17:53:49 +0000 2018
GreillyPost,"RT @PaulPiorek: Here is the radio broadcast from WAVZ-AM in New Haven, Connecticut, from 63 years ago today, during the Great Flood of 1955…","Here is the radio broadcast from WAVZ-AM in New Haven, Connecticut, from 63 years ago today, during the Great Flood of 1955 in Connecticut. https://t.co/NPXCz7Un7D",Mon Aug 20 16:32:08 +0000 2018
OpenSpaceSTL,"25 years ago and 25 takeaways from the '93 Flood via St. Louis Public Radio.
https://t.co/RCXhjZQLKA",,Mon Aug 20 16:05:27 +0000 2018
MK_Ontario,"It's that time of the year when parents are dropping their kids off at college for the first time.  I will never forget the flood of emotions I experienced 2 years ago when we did the same. 

Many of you have... https://t.co/lFCPssEvyR",,Mon Aug 20 15:30:53 +0000 2018
StevenYabNews,This is what my hometown in #CT looked like 63 years ago this week. Two back-to-back hurricanes led to the devastating flood of 1955. #Naugatuck #Naugy #CT #History #Home https://t.co/Wmwr09LLoM,,Mon Aug 20 14:52:32 +0000 2018
cyberco,@richardwyatt @LukeJohnEmmett @BathnesParks @GreenpeaceBath @CRTKennetAvon @Wera_Hobhouse @KeepBathGreat @bestofbath @bathresidents @BathRotary The area was used for free tipping Prewar and because of what was possibly dumped there meant it was excluded from flood alleviation plans a few years ago. Spoke to the son of one of drivers who used it and he said he wouldn’t want to dig there..,,Mon Aug 20 14:44:30 +0000 2018
DefendOurFuture,"Virtually all the residents of Odanah, WI, left for higher ground following a large flood nearly 60 years ago. Their story provides lessons for other communities faced by climate change's wrath. https://t.co/lBSgIYD78b",,Mon Aug 20 14:40:00 +0000 2018
AdamReed56,"@Bitterman51 @HCTIWS_14 Years ago during the flood, Budweiser delivered us water in beer cans as part of the flood relief. That was weird.",,Mon Aug 20 13:32:39 +0000 2018
fscinico,My answer to How can I prove that Noah's flood did not cover the whole earth with water 4000 years ago? I am married to someone who believes that the contents of the Bible are the infallible word of god. https://t.co/Mv85nRfNEH,,Mon Aug 20 13:08:42 +0000 2018
PriyadarshiniSK,RT @rajeev_mp: #Flashback from 8 years ago in 2009 - #Aasare house bldg progrm 4 Flood affected in #Karnataka n where politics was set asid…,#Flashback from 8 years ago in 2009 - #Aasare house bldg progrm 4 Flood affected in #Karnataka n where politics was set aside to help ppl 🙏🏻 https://t.co/c8RE1y8Dld,Mon Aug 20 13:02:26 +0000 2018
PriyadarshiniSK,RT @TweetsNowBiz: Rajeev Chandrasekhar: #Flashback from 8 years ago in 2009 – #Aasare house bldg progrm 4 Flood affected in #Karn... https:…,Rajeev Chandrasekhar: #Flashback from 8 years ago in 2009 – #Aasare house bldg progrm 4 Flood affected in #Karn... https://t.co/wCxLLAFOgO,Mon Aug 20 13:00:55 +0000 2018
CVarnsABC17,"Doesn't seem like it was 25 years ago.  Lots of memories covering the flood the summer after I graduated from J-School.  Preview: ""The Flood of '93: 25 Years Later"" - KMIZ https://t.co/5Trp120BA2",,Mon Aug 20 12:54:31 +0000 2018
Bill_Flood,"RT @pastpunditry: A12, my new podcast series on the events in #Charlottesville last year and the history behind them, is now live! You can…","A12, my new podcast series on the events in #Charlottesville last year and the history behind them, is now live! You can stream it at https://t.co/9zyl1eLHBg or on Soundcloud at https://t.co/fbZsWtk7bM 

It’s making its way to iTunes &amp; Google Play and should be on both soon!",Tue Aug 21 22:12:12 +0000 2018
kryapture,"#flood #kochi #south #india #kerela #disaster #national #candid #last #year 
#visit #on  #instalike #instafamous #insta #instapic #instuplode #instaupdate https://t.co/spIJfhJBHF https://t.co/2YbspbIoyC",,Tue Aug 21 22:03:01 +0000 2018
akaalchannel,"@ajitsingh777 Thanks for sharing, This reporter belongs from @akaalchannel this picture is from last year #SriLanka flood. We also helped there as well. 1/2",,Tue Aug 21 21:37:43 +0000 2018
julabell1,RT @GeOlliography: A few kids of mine last year struggled to grasp the concept of deforestation/afforestation and the +/- impact it could h…,"A few kids of mine last year struggled to grasp the concept of deforestation/afforestation and the +/- impact it could have as a flood management strategy. Just stumbled across this; think it’s brilliant!

#GeographyTeacher #Flooding #Experiment #Afforestation #Deforestation https://t.co/D8PB2YxLry",Tue Aug 21 21:26:56 +0000 2018
Hey_Theist,@Jeffhull71 @Alawnguy @lesgantssexuels @CharlieSkeptic @SemiMooch @bernard_reyes @RLBays @Charlesthornt @DeanoMartino1 @rjmx @Schmoop0521 @comedybook2 @JaTapps @Conspiracy_dog @rashidgill5 @TJMair @carlvegaaa @KittenKoder @jibukc @debbiepalm44 @Megavolt1 @Atheist_1978 @Alt__Jesus @Colossis2 @domenictiso4 @SylvieDParris @YECTranslator @lucycarin @Skeptic_George @MisoVanquisher @jhaahjj @AmicusPatriae @atheistProgress @godlessteach @Atheist_Bot @petesteamster @ShopSmartResist @MrMaxBradley @garym9999 @Sibelius7 @Captainswoop1 @GardenerN21 @ImStillHereLol @joesch1998 @EmbilJesus @tiredAmerican16 @BillCox70251656 @Patriot4Sure @villamarshmell0 I know enough about geology to know there was no global flood. 6000 or 13000 years ago. In fact you have to be ignorant of science to believe such a thing happened. I'm sorry if you feel like I'm being dismissive but I've spent years looking into this kind of stuff.,,Mon Aug 20 11:33:27 +0000 2018
Call_111,"About 25 years ago, when the Trevencore State needed additional money, it was thought expedient to open these chests and use the wealth they contained. A group of... https://t.co/MSYi7MQbHg",,Mon Aug 20 07:36:24 +0000 2018
SarkarSupriyo,"Koena Mitra, Postcard News share old images as those of RSS helping in Kerala. Postcard News has forgotten that the same images were circulated by it 2 years ago as well.... https://t.co/24XBGUtMsw",,Mon Aug 20 07:20:11 +0000 2018
amandaplease223,RT @nadiner_weiner: y’all remember this time last year in Houston we had the eclipse his week and the 100 year flood with 50 something inch…,y’all remember this time last year in Houston we had the eclipse his week and the 100 year flood with 50 something inches of rain?! that was a bad week,Tue Aug 21 20:05:38 +0000 2018
GAdevoted,RT @CheryINews: 6 Years ago today we were all blessed with @cherylofficial 's Royal Variety performance of the flood https://t.co/044rkDsCyV,6 Years ago today we were all blessed with @cherylofficial 's Royal Variety performance of the flood https://t.co/044rkDsCyV,Mon Aug 20 05:46:17 +0000 2018
febilp,"Few words by a Chennai resident who witnessed the horrific flood 3 years ago:
I guess u were also happy like us when it started raining. Children &amp; adults may have leapt on that rain. Gradually u may have... https://t.co/Q9zqe2eyLd",,Mon Aug 20 05:30:23 +0000 2018
GBarta42384,RT @HD6507: 2 years ago associates from the Mighty Gulf heading to offer support to the stores affected by the flood in Louisiana.... alway…,2 years ago associates from the Mighty Gulf heading to offer support to the stores affected by the flood in Louisiana.... always a rewarding experience to give back to our communities and our associates. #GivingBack @Donohoo_C @KadeKasner https://t.co/cFx3yTBqya,Mon Aug 20 03:14:49 +0000 2018
flood_rena,RT @cnnbrk: A group of mostly elderly South Koreans crossed into North Korea Monday to reunite with family members many haven't seen nor he…,A group of mostly elderly South Koreans crossed into North Korea Monday to reunite with family members many haven't seen nor heard from since the Korean War broke out 68 years ago https://t.co/gYnBFtQyLV,Mon Aug 20 03:01:30 +0000 2018
deevzden,"Feel so proud when I receive this message so thought to share
 Few words by a Chennai resident who witnessed the horrific flood three years ago:

I guess you were also happy like us when it started raining. Children... https://t.co/B99BTCMm7t",,Mon Aug 20 02:50:10 +0000 2018
domeless_engine,So I’ve been on a nostalgic kick lately. I used to have these notebooks as a child but sadly I lost them in a basement flood about 7 years ago (except for the spiral to one 😐). I was wondering in any of you had some of these if you’d be willing to sell or trade them! Dm me https://t.co/OkgAblEwGp,,Mon Aug 20 02:15:26 +0000 2018
2CynicAl65,@cheesetrader1 @PolitiBunny I bet those ancient gatherer-tree-huggers were PISSED when the meat eaters caused the Lake Huron land bridge between Michigan and Canada to flood 9000 years ago!,,Mon Aug 20 01:31:41 +0000 2018
NiehuesBrad,"@harkness_sean @jerodmcdaniel I agree we need to conserve water, but down my way we developed a lot of irrigation just 25 years ago. We had meters on from the start and didn’t use flood. We also still have deep water. Different than areas that started irrigating in the 50’s and over developed the resource.",,Sun Aug 19 22:30:19 +0000 2018
Cait_Flood,First move in weekend I’m missing- here’s a picture of me looking tired after hours of driving/ moving into my dorm/ dealing with my parents 4 years ago and also meeting our brand new coach @coachjfranklin 🦁 wish I could do it all again! https://t.co/HqWVQ8zszu,,Sun Aug 19 22:28:05 +0000 2018
frodomunster,@carrollclaudia Just read about your house flood. Sorry to hear. Happened to my house in Clare there years ago. Luckily no severe damage.,,Sun Aug 19 19:48:31 +0000 2018
redstickham,@mikesivac My straight key went under in the flood a couple of years ago. Might have to get a new one once I get may station put back together.,,Sun Aug 19 19:46:16 +0000 2018
TheToneD,"I should’ve discovered World of Warcraft 10+ years ago. Thanks @Btide @_CristianTeran @ohaifrancy @IrishKirby, You have opened the flood gates.",,Sun Aug 19 18:50:34 +0000 2018
devdhar10,"RT @InkKashmir: COVER STORY
Abid Bashir writes how the government has miserably failed to learn lessons from the 2014 deluge, rendering Jhe…","COVER STORY
Abid Bashir writes how the government has miserably failed to learn lessons from the 2014 deluge, rendering Jhelum more vulnerable than it was four years ago

https://t.co/VUS6rzj4HG https://t.co/6kTF3tBQpy",Sun Aug 19 17:24:24 +0000 2018
nadiner_weiner,y’all remember this time last year in Houston we had the eclipse his week and the 100 year flood with 50 something inches of rain?! that was a bad week,,Tue Aug 21 18:31:56 +0000 2018
InkKashmir,"COVER STORY
Abid Bashir writes how the government has miserably failed to learn lessons from the 2014 deluge, rendering Jhelum more vulnerable than it was four years ago

https://t.co/VUS6rzj4HG https://t.co/6kTF3tBQpy",,Sun Aug 19 17:17:42 +0000 2018
PaulPiorek,"Here is the radio broadcast from WAVZ-AM in New Haven, Connecticut, from 63 years ago today, during the Great Flood of 1955 in Connecticut. https://t.co/NPXCz7Un7D",,Sun Aug 19 17:00:48 +0000 2018
BinBerlinerIn,"RT @Don_Penim: 63 Years Ago - Aug  20, 1955:
The most devastating flood in Eastern U.S. History continued its relentless hammering of New E…","63 Years Ago - Aug  20, 1955:
The most devastating flood in Eastern U.S. History continued its relentless hammering of New England.  
8.15 inches in 24 hours at Westfield, MA a state record
8.40 inches in 24 hours in Boston a record for the City
67 dead https://t.co/GQnz5QSULm",Sun Aug 19 16:30:44 +0000 2018
Don_Penim,"63 Years Ago - Aug  20, 1955:
The most devastating flood in Eastern U.S. History continued its relentless hammering of New England.  
8.15 inches in 24 hours at Westfield, MA a state record
8.40 inches in 24 hours in Boston a record for the City
67 dead https://t.co/GQnz5QSULm",,Sun Aug 19 16:14:52 +0000 2018
SinhaSaahab_,"@zehnasseb Colleagues in my organization have donated their 30 days salary to Kerala Relief Fund. Few of them from Bihar as well. What did Kerala give to Bihar in last year's flood when casualty was twice as much? Not a single rupee.
Life outside social media is peaceful &amp; people r united.",,Tue Aug 21 18:15:15 +0000 2018
ayurvedavv,"@DrKumarVishwas Five years ago, people donated generously for terrible flood in my area in Uttarakhand. The money never reached people. For my 15 Lakh loss, I was given 3750 Rs...a joke.  Money used perhaps for elections.  The govt. even refused to support the broken bank. I live in danger. https://t.co/MDJ78ulviW",,Sun Aug 19 14:54:02 +0000 2018
CPradhan07,@taslimanasreen In Kolkata some dog lovers are saying that flood was inevitable because Kerala govt had killed many stray dogs few years ago for safety purpose.They are saying that this is the curse of the dead dogs 😂 Being a Bengali I have something to say- ভগবান ওদের সুবুদ্ধি দাও।,,Sun Aug 19 14:40:58 +0000 2018
WillyJackman1,RT @CTVdavidspence: Flood Memories:  This is Alberta Environment's precipitation map for June 2013.  Note the 350 mm bullseye west of High…,Flood Memories:  This is Alberta Environment's precipitation map for June 2013.  Note the 350 mm bullseye west of High River.  Most of that poured down 5 years ago this week.  #yyc #Calgary #abstorm #abflood https://t.co/u6R9JLj7ew,Sun Aug 19 14:37:22 +0000 2018
WillyJackman1,RT @HeartlandOnCBC: Today in the blog: We look back at the High River flood.  #iloveheartland https://t.co/TOVdsxhVzZ https://t.co/uScaf9yO…,Today in the blog: We look back at the High River flood.  #iloveheartland https://t.co/TOVdsxhVzZ https://t.co/uScaf9yOHV,Sun Aug 19 14:32:47 +0000 2018
Clipper28Info,केरल बाढ़: 7 साल पहले ही इस त्रासदी के बारे में किया गया था अगाह https://t.co/3sab3LuWc0 https://t.co/pPa9Wrq8zC,,Sun Aug 19 14:21:46 +0000 2018
gregorylent,"@mc2maven the rains of 100 years ago probably cannot be ascribed to climate change, yet they happened .. one change from then til now, huge numbers of buildings built on flood plains, without consideration for nature and natural drainage",,Sun Aug 19 13:54:43 +0000 2018
JitneyGuy,@johnupton @CityOfAtlantic Any explanation for why Atlantic City built a massive flood mitigation system over 100 years ago?,,Sun Aug 19 13:21:46 +0000 2018
KDRogersMD,"I have been asked repeatedly if I get the moral of the Noah story. 
It is this. 
A writer can lie and say there was a global flood circa 4344 years ago. 
If that story is then attached to a religion, people become too afraid of gods wrath to see it as the lie that it is.",,Sun Aug 19 11:21:25 +0000 2018
RashadAli_Iraqi,"I still see some posters ABVP published last year on the name ""Chalo Keral"".
But now when kerala really need someone those posters and slogans are missing.
#kerala
#flood
#savekerala",,Tue Aug 21 17:27:07 +0000 2018
ssp_suraj,"@timesofindia what about bihar then? last year 500+ people died there. almost every year it faces flood. Same about Himachal n uttrakhand. These states didn't get much support from other states, whereas almost every state has helped kerala. Special package should be given to these states 1st.",,Tue Aug 21 17:24:51 +0000 2018
bhelppl,@sardanarohit @aajtak Kerala flood was predicted years ago. Its a manmade calamity,,Sun Aug 19 11:12:33 +0000 2018
ISETNepal,"RT @dixit_ajaya: With Dr Manas Bihar Verma, Dr Dinesh Mishra and Shawahiq Siddique in Patna Dialogue: People-Rivers-Governance. 

Used brea…","With Dr Manas Bihar Verma, Dr Dinesh Mishra and Shawahiq Siddique in Patna Dialogue: People-Rivers-Governance. 

Used breach of Koshi embankment at Kusaha in Nepal (10 years ago this day) that brought major disaster as an argument for revisiting approach to flood management. https://t.co/DSJ14bvd4y",Sun Aug 19 11:06:24 +0000 2018
PrincetonPolice,"Sixty-three years ago, Hurricane Diane Pounded Princeton in the worst way. The resulting flood waters from Lake Carnegie forced an intense overflow from the dam into its catch basin. A canoe carrying two boys... https://t.co/cttH8AmiUh",,Sun Aug 19 11:00:07 +0000 2018
dubeaMd,@darshanpathak @muglikar_ Logic defeats them! If RSS was helping flood victims two years ago - what makes them think they will not be now! Such duds!,,Sun Aug 19 10:28:07 +0000 2018
FlatlandKC,"Today, interested buyers flood the Kansas City Tow Lot to bid on hundreds of vehicles that have come into the city's custody over the last month. Explore the 5,200 cars that have been put up for auction in the last year. https://t.co/hmfdmHqxxf https://t.co/UctuItJvW6",,Tue Aug 21 17:22:06 +0000 2018
yobelchryselle,"RT @edgeangeles: Last year, I was given heartbreaking news on my birthday weekend that put me in a horrible funk for the year. I took time…","Last year, I was given heartbreaking news on my birthday weekend that put me in a horrible funk for the year. I took time to recover.

I started this year on a high. My birthday came with a flood.

But if you think that I'm holding on to something, #YouSiargaoAndLoveYourself. https://t.co/jvIsuTVBSR",Tue Aug 21 17:06:50 +0000 2018
NANDANPRATIM,"8-year-old schoolgirl Anupriya from Villupuram, broke open her piggy banks to contribute to flood relief in Kerala. Hero Cycles gifted a bicycle to Class II girl, who donated her piggy bank savings of last 4 years. Anupriya had been saving her pocket money to buy a bicycle. https://t.co/i0enT35sB6",,Tue Aug 21 16:40:58 +0000 2018
mahmudmap,"this ushoi #tripura village was established 26 years ago by chandramoni karbari; all christians; this year there was rat flood/infestation, last year it was wild boar - devouring most of the crop; while it was meant... https://t.co/2gUYlROLHT",,Sun Aug 19 09:39:37 +0000 2018
KDRogersMD,Noahs literal global flood circa 4344 years ago never happened. https://t.co/r2BomfM2MC,,Sun Aug 19 09:39:25 +0000 2018
miahaley,"RT @SenatorCardin: With @ChrisVanHollen and @RepCummings in Ellicott City at EPW Field Hearing examining recovery after second 1,000-year f…","With @ChrisVanHollen and @RepCummings in Ellicott City at EPW Field Hearing examining recovery after second 1,000-year flood in last two years. We must find responsible ways to guarantee safety for residents and visitors, boost #SmallBiz &amp; strengthen infrastructure. #ECStrong https://t.co/UI2ixYSeDB",Tue Aug 21 16:19:35 +0000 2018
EllenYChang,"Ahead of the first year anniversary of #HurricaneHarvey, here is a story I wrote last year on states which have automatic hurricane deductibles. This is my PSA on why homeowners should consider buying flood insurance. https://t.co/GCyitTS6GA",,Tue Aug 21 15:40:14 +0000 2018
indie_grunge,"@almondblossoms_ Civil engineer that works with water recourses and land development. Primarily (at this company, anyway), I just do flood modeling since theres so many flash floods in central Texas (I moved to Austin from La last year).",,Tue Aug 21 15:35:44 +0000 2018
KNPALACHANDRAN,"50 years ago Prajavani newspaper daily(Karnataka's premier daily) report on Kerala Flood then, informing then PM Indira Gandhi visiting Kerala for a survey. https://t.co/8UdZmr8JSU",,Sun Aug 19 07:29:57 +0000 2018
Suvarnini1,RT @shivuvgowda: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the l…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society.
#SOSKodagu https://t.co/sTU8gyTwXc",Tue Aug 21 14:51:01 +0000 2018
samjawed65,"Koena Mitra, Postcard News share old images as those of RSS helping in Kerala. Postcard News has forgotten that the same images were circulated by it 2 years ago as well. https://t.co/2fBAwZgrYD",,Sun Aug 19 07:17:40 +0000 2018
cancercurious,"2 years ago I was visiting home and got stranded for several weeks in the midst of a similar flood, a horrifying experience. Please take a moment to read about the floods in Kerala, India and donate if you can.  Every rupee counts. Thank you https://t.co/mShlHmwTk8",,Sun Aug 19 03:02:37 +0000 2018
flood_rena,"RT @SenWarren: 98 years ago today, the 19th Amendment was ratified. The women who won our suffrage were told over and over again to give up…","98 years ago today, the 19th Amendment was ratified. The women who won our suffrage were told over and over again to give up the fight. We have the vote today because they didn’t listen. https://t.co/JcoKbb87xb",Sat Aug 18 22:53:05 +0000 2018
CushyDemon,"@jesawyer I gave up on it a few years ago...I found that if you end up using anything that could be considered/tagged as fringe kink it would flood your suggestions with nsfw results, basically anything involving photos of human beings
plus shitloads of stolen unsourced art :(",,Sat Aug 18 20:42:00 +0000 2018
AgLaunchPete,"RT @mygroguru: Irrigation is known to have been practiced already more than 4,000 years ago. In Egypt, flood water from the Nile was used f…","Irrigation is known to have been practiced already more than 4,000 years ago. In Egypt, flood water from the Nile was used for cultivation during the Pharaoh period.  Visit https://t.co/ad8ixDO6NW to learn more about how we help farmers in the modern age! #growth https://t.co/Pw8oANev5l",Sat Aug 18 19:43:41 +0000 2018
asi_org,"This is a sobering study that was done a few years ago, but feels very relevant now, as the northeastern US has been absolutely inundated with... https://t.co/LcphzKEtGr",,Sat Aug 18 19:21:08 +0000 2018
Denis__Flood,"@RodtheDawg @rickygervais I keep thinking (hoping) this is actually fake.  Like the one some film students in Montreal made a few years ago of a toddler being carried off by a bird?

https://t.co/iAj8YpIrxH",,Sat Aug 18 17:26:35 +0000 2018
HD6507,2 years ago associates from the Mighty Gulf heading to offer support to the stores affected by the flood in Louisiana.... always a rewarding experience to give back to our communities and our associates. #GivingBack @Donohoo_C @KadeKasner https://t.co/cFx3yTBqya,,Sat Aug 18 16:53:27 +0000 2018
TonderFestival,RT @AxelsenTove: @BruceGuthro and @alanthomasdoyle I fondly remember the gigs in Tent 1 at @TonderFestival mmmaaannnyyy years ago. And of c…,"@BruceGuthro and @alanthomasdoyle I fondly remember the gigs in Tent 1 at @TonderFestival mmmaaannnyyy years ago. And of course : Year of the Flood in 2007. Oh, how wet we were 🌧🌧🌧🌧 but a great day. 😀 https://t.co/THwmIGseF9",Sat Aug 18 16:04:42 +0000 2018
MsFleece,"Strolling down #ForbesAvenue in #Pittsburgh. The memories of my teenage years 20 years ago flood back. Some happy, some painful. A man stops to tell me I’m beautiful. I’m torn between flattery and indignance. #Hometown https://t.co/bGCX8GdleS",,Sat Aug 18 15:58:58 +0000 2018
GodCons,"@WoopsWoah This will haunt me forever. Like the time I said ""flawed"" instead of ""flood"" about 10 years ago and then had to move to Canada and change my name to Godcons. You delete your account and I will delete mine and we will start over.",,Sat Aug 18 15:36:12 +0000 2018
DeepakAdk,"RT @DeepakAdk: 10 years ago, an embankment along the Koshhi River breached, inundating huge swath of farmland and settlement in Nepal's Sun…","10 years ago, an embankment along the Koshhi River breached, inundating huge swath of farmland and settlement in Nepal's Sunsari district an parts of North Bihar. In 2015 I reported from the region. Sad to learn things still the same https://t.co/RGlSGZnxGC",Sat Aug 18 14:39:44 +0000 2018
Slayer_1985,@darthramious must be 20 years ago he is becoming the new action guy. watched that flood movie was entertaining.,,Sat Aug 18 14:28:52 +0000 2018
AxelsenTove,"@BruceGuthro and @alanthomasdoyle I fondly remember the gigs in Tent 1 at @TonderFestival mmmaaannnyyy years ago. And of course : Year of the Flood in 2007. Oh, how wet we were 🌧🌧🌧🌧 but a great day. 😀 https://t.co/THwmIGseF9",,Sat Aug 18 14:09:41 +0000 2018
dixit_ajaya,"With Dr Manas Bihar Verma, Dr Dinesh Mishra and Shawahiq Siddique in Patna Dialogue: People-Rivers-Governance. 

Used breach of Koshi embankment at Kusaha in Nepal (10 years ago this day) that brought major disaster as an argument for revisiting approach to flood management. https://t.co/DSJ14bvd4y",,Sat Aug 18 13:58:22 +0000 2018
Ananthu54681039,"@PM_Narendermodi Respected Modi sir 
       To rescue kuttanadu you have to make a way to the sea so ""the flood"" water will drain to sea .About 50 years ago there was 4 path for the drainage of water.,So you need to please build it again",,Sat Aug 18 13:52:22 +0000 2018
Ananthu54681039,"@PM_Narendermodi Respected Modi sir 
       To rescue kuttanadu you have to make a way to the sea so ""the flood"" water will drain to sea .About 50 years ago there was 4 path for the drainage of water,.So you need to please build it again",,Sat Aug 18 13:51:08 +0000 2018
multiseasonie,"Also, the river in our town is usually dry but when it rains, it even overflows. The thing is that parking is forbidden there but people used to do it anyway, one year (three or four years ago?) the flood arrived like a day or two early and all the cars were taken by the river",,Sat Aug 18 12:57:45 +0000 2018
SarahTitus0306,RT @anthonyjos: @jamewils So what would @sgurumurthy attribute a similar flood that happened in Kerala a 100 years ago.,@jamewils So what would @sgurumurthy attribute a similar flood that happened in Kerala a 100 years ago.,Sat Aug 18 07:16:46 +0000 2018
FrancisCWorrall,"""Worse flooding in India in 100 years""! :-( 
BBC News, 6 minutes ago 
Kerala floods: PM Modi inspects flood rescue effort 
Indian Prime Minister Narendra Modi has flown over some of the worst-hit areas of flooding in the... https://t.co/XOhSktKfUt",,Sat Aug 18 06:46:56 +0000 2018
anthonyjos,@jamewils So what would @sgurumurthy attribute a similar flood that happened in Kerala a 100 years ago.,,Sat Aug 18 06:09:47 +0000 2018
freenaynow,"RT @Nasty_1_: @AltRockAddict @POTUS @KimDotcom @DilaraEsengil @intheMatrixxx @DannyCovfefe @freenaynow That is , and what was happening.  I…","@AltRockAddict @POTUS @KimDotcom @DilaraEsengil @intheMatrixxx @DannyCovfefe @freenaynow That is , and what was happening.  It's hard to work out the time line. 
I think the flood was only 300 years ago at the most.

I think the Plague helped kill off the rest of the Chimera.  
1 of these Pharmaceutical companies did it. I think I know which 1.",Sat Aug 18 04:05:41 +0000 2018
flood_rena,"RT @CNN: This 92-year-old mom hasn't seen her son since he was four, 68 years ago when they were separated in the Korean War. 

Now she is…","This 92-year-old mom hasn't seen her son since he was four, 68 years ago when they were separated in the Korean War. 

Now she is preparing for their reunion https://t.co/Q20576ljME https://t.co/zocgsKfQqV",Sat Aug 18 03:54:13 +0000 2018
NoScienceDenial,@chrischristex16 @flashbangz89 @Charlesthornt @mirandadied4u @RJDownard @TautReason @brainoutREAD @A__Stout @asignfromheavan @majwal7 @JimSanoBC79 @yetigcreature @atheistic_1 @VincyBigJ @Catheri77148739 @dadbaddy @AshMartee @PragmaticBent @Dracalous @IngridIngwah @Singaporemark @hubie0 @AprilLigeia @AGTCnews @777777u77 @rkdoctr @KAPAMINT @ChurchTales @AtheistComedy1 @curvemudgen @Mogleeone @FifthDonkey @carfireon355 @ScientiaPercept @MPaulkovich @PromiseRW @HitchSlapU @realSWBDon @LogicalReterg @champybeaat @chasfax @ConfidenceCult @Schultzkim3Kim @bob_hound @DonaldKronos @fakegreatdane @Cosmic_Rays @IllusionsRule @Reid_CO Do you think there was a global flood and mass extinction 4000 years ago?,,Sat Aug 18 03:32:58 +0000 2018
Hilto_FF,"@mettie67 @realMatMolina @EmmaPeele3 Great flood was from the massive melting of the ice sheets at the end of the last ice age, ~12,800 years ago.",,Sat Aug 18 03:28:57 +0000 2018
emmakattte,"**If the current year minus one is added, then the “flood” actually happened 4,365 years ago**",,Sat Aug 18 03:22:25 +0000 2018
Bill_Flood,RT @HeerJeet: 6. But now something has broken and Ruse can't buy it anymore. And he's not alone. There's a real shift among conservative Ca…,"6. But now something has broken and Ruse can't buy it anymore. And he's not alone. There's a real shift among conservative Catholics. They're getting to where the rest of us were 20, 30, 40 years ago.",Sat Aug 18 02:51:02 +0000 2018
DeepakAdk,"10 years ago, an embankment along the Koshhi River breached, inundating huge swath of farmland and settlement in Nepal's Sunsari district an parts of North Bihar. In 2015 I reported from the region. Sad to learn things still the same https://t.co/RGlSGZnxGC",,Sat Aug 18 02:50:01 +0000 2018
husqadaygo,KISS the champion. I'll hold you with my spaceship. I'll hold with my flood. I'll hold with my hurricane. I'll hold you the with bass and I'll hold with my drum. 9000 years ago. Raping and robberies and sacriledge. Liars stealing from the poor to get yourself some more,,Sat Aug 18 00:33:33 +0000 2018
dezzarray,"@Alex_Micati Actually not bad up at Bathurst &amp; Steeles.  Our hood flooded 13 years ago like 6 feet of water in my basement, so they redid all the sewers &amp; built a flood plain in the park across the street. 
So other than some light leaking we are good",,Sat Aug 18 00:24:41 +0000 2018
harmonizedwings,"@DeviantTracker — Amara torch the entire planet (men, women, and children) just so He could start over. Again.

     The Flood wasn’t that long ago, so maybe He should chill with the redos every 2,000 years.

“But it’s good that you have someone like him as your partner. In Heaven, it was —",,Fri Aug 17 21:26:48 +0000 2018
