Mawiiep,RT @PiPemc: #earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,#earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,Thu Aug 23 11:24:33 +0000 2018
fijimedic,"RT @UNOCHA: When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the fi…","When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the first plane to Istanbul. 
This is what happened next ➡️ https://t.co/A8gUdSNkYF 

#ReadyToGo https://t.co/cJEMtsHXXN",Thu Aug 23 03:04:01 +0000 2018
Jv_smile,"RT @JamaicaGleaner: BREAKING NEWS: Major 7.0 magnitude earthquake hits Venezuela. Caribbean countries of Grenada, Barbados and Trinidad and…","BREAKING NEWS: Major 7.0 magnitude earthquake hits Venezuela. Caribbean countries of Grenada, Barbados and Trinidad and Tobago have also been significantly impacted with the tremor measuring up to 6.8 in Trinidad. A video via WhatsApp shows damage to one commercial building. https://t.co/cnbLRp0stM",Thu Aug 23 03:03:44 +0000 2018
Esrodriguez,RT @ElLuchin1: 🇻🇪➡Daños estructurales en los ultimos 6 Pisos de la #TorreDeDavid el mas alto rascacielos de #Caracas #Venezuela 🇻🇪 tras el…,"🇻🇪➡Daños estructurales en los ultimos 6 Pisos de la #TorreDeDavid el mas alto rascacielos de #Caracas #Venezuela 🇻🇪 tras el #Terremoto 7.3 
#Earthquake #FelizMiercoles #lluvia #Storm #Flood #Earthquake
#Sismo #Temblor #NuncaDeLosNuncas #21agosto https://t.co/rTdmUZPyPl",Thu Aug 23 03:03:13 +0000 2018
Anurzufa_,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 03:02:33 +0000 2018
amplifyonly,"RT @MaxAlbedo: What lush irony.
Newsnight had Venezuelan opposition MP lined up to entirely blame socialist Gov for inflation crisis but Ca…","What lush irony.
Newsnight had Venezuelan opposition MP lined up to entirely blame socialist Gov for inflation crisis but Caracas earthquake intervened.
Academic who filled in explained tragedy could've been avoided if not for US sanctions.
Sometimes God writes the best scripts. https://t.co/wQsXetfstz",Thu Aug 23 03:01:30 +0000 2018
MasonPeterJ,"RT #UNOCHA: When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the first plane to Istanbul. 
This is what happened next ➡️ https://t.co/VUO3MXrpM5 

#ReadyToGo https://t.co/mWcdsrUs0s",,Thu Aug 23 03:01:22 +0000 2018
SArmstrongP,RT @SMAFaubert: Having fun with LEGO WeDo 2.0. Still standing after the earthquake? @SACTVDSB #LEGO https://t.co/BkIxSR6YkT,Having fun with LEGO WeDo 2.0. Still standing after the earthquake? @SACTVDSB #LEGO https://t.co/BkIxSR6YkT,Thu Aug 23 03:01:10 +0000 2018
SakthiT17,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 03:00:44 +0000 2018
Soledad66173919,"RT @SANGREYMIEL: Recuerdo cuando la TV mostraba supermercados vacíos en Venezuela.
Hasta que tembló...

#Venezuela #Vzla #Sismo #Terremoto…","Recuerdo cuando la TV mostraba supermercados vacíos en Venezuela.
Hasta que tembló...

#Venezuela #Vzla #Sismo #Terremoto #Earthquake #T13 #AhoraReportajes
#LaTierraTiembla #FelizMiércoles https://t.co/SGXKw1xais",Thu Aug 23 03:00:21 +0000 2018
UNOCHA,"When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the first plane to Istanbul. 
This is what happened next ➡️ https://t.co/A8gUdSNkYF 

#ReadyToGo https://t.co/cJEMtsHXXN",,Thu Aug 23 03:00:00 +0000 2018
OctobersBestttt,RT @Elle65139922: The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venez…,The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venezuela🇻🇪7.0. Felt it here in Grenada🇬🇩. https://t.co/nS8fNqU2gV,Thu Aug 23 02:59:10 +0000 2018
UrbytesChyou,"RT @MaxAlbedo: What lush irony.
Newsnight had Venezuelan opposition MP lined up to entirely blame socialist Gov for inflation crisis but Ca…","What lush irony.
Newsnight had Venezuelan opposition MP lined up to entirely blame socialist Gov for inflation crisis but Caracas earthquake intervened.
Academic who filled in explained tragedy could've been avoided if not for US sanctions.
Sometimes God writes the best scripts. https://t.co/wQsXetfstz",Thu Aug 23 02:58:51 +0000 2018
cashmere01chase,"RT @Anonymouspmv: terremoto en trinidad y tobago
earthquake on trinidad and Tobago
#earthquake #Trinidad #TERREMOTO  #PortOfSpain #PuertoEs…","terremoto en trinidad y tobago
earthquake on trinidad and Tobago
#earthquake #Trinidad #TERREMOTO  #PortOfSpain #PuertoEspaña #21AGO #TeamHDP #Venezuela #ElRegimenSeDesploma https://t.co/UXYYqVEyQF",Thu Aug 23 02:57:27 +0000 2018
PMcFarland85,"RT @Anonymouspmv: terremoto en trinidad y tobago
earthquake on trinidad and Tobago
#earthquake #Trinidad #TERREMOTO  #PortOfSpain #PuertoEs…","terremoto en trinidad y tobago
earthquake on trinidad and Tobago
#earthquake #Trinidad #TERREMOTO  #PortOfSpain #PuertoEspaña #21AGO #TeamHDP #Venezuela #ElRegimenSeDesploma https://t.co/UXYYqVEyQF",Thu Aug 23 02:51:41 +0000 2018
shelovessdee,RT @Kgn10General: Trinidad and Tobago faced a 6.8 magnitude earthquake August 21 2018 approximately 5:31 pm local time. https://t.co/Nk4ilB…,Trinidad and Tobago faced a 6.8 magnitude earthquake August 21 2018 approximately 5:31 pm local time. https://t.co/Nk4ilBIXNv,Thu Aug 23 02:51:18 +0000 2018
nahemvzla,"RT @WellingMichael: #Temblor Serious damage is reported the State Anzoátegui, #Venezuela after strong earthquake that shook the country.-@Y…","#Temblor Serious damage is reported the State Anzoátegui, #Venezuela after strong earthquake that shook the country.-@Yusnaby 
 https://t.co/wK5kZHd6pz",Thu Aug 23 02:51:15 +0000 2018
afghanrugRT,"RT @IKN_Mark: Video of #Venezuela 7.3mag #earthquake yesterday at Las Claritas informal mine.

Pretty dramatic viewing. You'll see what ""in…","Video of #Venezuela 7.3mag #earthquake yesterday at Las Claritas informal mine.

Pretty dramatic viewing. You'll see what ""informal mining"" really means. https://t.co/N8DL0hlDyv",Thu Aug 23 02:50:44 +0000 2018
shelovessdee,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 02:50:32 +0000 2018
PMcFarland85,"RT @numnum21: Chaguaramas Trinidad, and the epicenter of the earthquake was off the coast of Venezuela. Wooow https://t.co/UzEm9SUZAA","Chaguaramas Trinidad, and the epicenter of the earthquake was off the coast of Venezuela. Wooow https://t.co/UzEm9SUZAA",Thu Aug 23 02:49:31 +0000 2018
PMcFarland85,RT @Elle65139922: The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venez…,The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venezuela🇻🇪7.0. Felt it here in Grenada🇬🇩. https://t.co/nS8fNqU2gV,Thu Aug 23 02:48:33 +0000 2018
Erikavilla2017,"RT @AleZ2016: kaos the dog that saved many lives in the earthquake of Italy 2016, was poisoned  two weeks ago. The only thing I can say is…","kaos the dog that saved many lives in the earthquake of Italy 2016, was poisoned  two weeks ago. The only thing I can say is that I believe in justice and for Kaos, justice will be done. https://t.co/M3Ku8y3AjX",Thu Aug 23 02:48:19 +0000 2018
laaurynv,"RT @JamaicaGleaner: BREAKING NEWS: Major 7.0 magnitude earthquake hits Venezuela. Caribbean countries of Grenada, Barbados and Trinidad and…","BREAKING NEWS: Major 7.0 magnitude earthquake hits Venezuela. Caribbean countries of Grenada, Barbados and Trinidad and Tobago have also been significantly impacted with the tremor measuring up to 6.8 in Trinidad. A video via WhatsApp shows damage to one commercial building. https://t.co/cnbLRp0stM",Thu Aug 23 02:45:32 +0000 2018
mohanrajgd,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:44:59 +0000 2018
OctobersBestttt,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 02:44:52 +0000 2018
JovanoskiVzla,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:43:28 +0000 2018
tunes200,RT @aurorakherrera: A 5.9 magnitude aftershock got Trinidad this morning at 9:27 a.m. This is footage of damage to the Cathedral in Port-of…,A 5.9 magnitude aftershock got Trinidad this morning at 9:27 a.m. This is footage of damage to the Cathedral in Port-of-Spain. #TrinidadEarthquake #TrinidadandTobago #earthquake #aftershock https://t.co/0kaJdupytF,Thu Aug 23 02:42:42 +0000 2018
LuanneAshe,I added a video to a @YouTube playlist https://t.co/fC4OlrXVkc 8/22/18 5am Earthquake Update Dutchsinse - Upgraded M6.2 Juan De Fuca,,Thu Aug 23 02:36:36 +0000 2018
LuanneAshe,I liked a @YouTube video https://t.co/fC4OlrXVkc 8/22/18 5am Earthquake Update Dutchsinse - Upgraded M6.2 Juan De Fuca,,Thu Aug 23 02:36:33 +0000 2018
dareravi,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:36:30 +0000 2018
huesitos2,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 02:36:20 +0000 2018
sanjay99000,RT @Kgn10General: Trinidad and Tobago faced a 6.8 magnitude earthquake August 21 2018 approximately 5:31 pm local time. https://t.co/Nk4ilB…,Trinidad and Tobago faced a 6.8 magnitude earthquake August 21 2018 approximately 5:31 pm local time. https://t.co/Nk4ilBIXNv,Thu Aug 23 02:36:20 +0000 2018
akprobono,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:35:56 +0000 2018
rick17403,Video: Venezuelan Leader Celebrates ‘Socialist‘ Earthquake | Breitbart https://t.co/5OulmK6Dlh via @BreitbartNews,,Thu Aug 23 02:35:39 +0000 2018
GeorgeAFuller,7.3 magnitude earthquake in Venezuela rocks buildings and cars – video https://t.co/dUHDQbw2cl,,Thu Aug 23 02:34:47 +0000 2018
DLeaguePod,"RT @IKN_Mark: Video of #Venezuela 7.3mag #earthquake yesterday at Las Claritas informal mine.

Pretty dramatic viewing. You'll see what ""in…","Video of #Venezuela 7.3mag #earthquake yesterday at Las Claritas informal mine.

Pretty dramatic viewing. You'll see what ""informal mining"" really means. https://t.co/N8DL0hlDyv",Thu Aug 23 02:33:20 +0000 2018
SharrmaVijey,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:33:07 +0000 2018
IKN_Mark,"Video of #Venezuela 7.3mag #earthquake yesterday at Las Claritas informal mine.

Pretty dramatic viewing. You'll see what ""informal mining"" really means. https://t.co/N8DL0hlDyv",,Thu Aug 23 02:31:46 +0000 2018
Wong686,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:30:37 +0000 2018
THIRDWORLDSOUND,RT @AltonPuzzle26: Reports of earthquake in Trinidad and other parts of the EC https://t.co/Jr13YuEobq,Reports of earthquake in Trinidad and other parts of the EC https://t.co/Jr13YuEobq,Thu Aug 23 02:28:22 +0000 2018
Jo_Suriani,RT @IRIS_EPO: Watch the waves from the M7.3 #VenezuelaEarthquake roll across the USArray seismic network (https://t.co/PNzKi5jesh). Each do…,Watch the waves from the M7.3 #VenezuelaEarthquake roll across the USArray seismic network (https://t.co/PNzKi5jesh). Each dot is a seismic station and when the ground moves up it turns red and when it moves down it turns blue. More info in the thread below #earthquake https://t.co/zBlSqz7FGO,Thu Aug 23 02:25:07 +0000 2018
CindyRe21903000,"RT @dutchsinse: Major earthquake activity taking place now --- Don't be scared -- BE PREPARED!

_____

Full video explanation, and what we'…","Major earthquake activity taking place now --- Don't be scared -- BE PREPARED!

_____

Full video explanation, and what we're expecting to occur here...

8/21/2018 -- Global Seismic Unrest underway -- Earthquakes progressing across planet -- BE PREPARED

https://t.co/jhdMpbTIS4",Thu Aug 23 02:24:28 +0000 2018
CindyRe21903000,"RT @dutchsinse: Get the word out please.   

MAJOR SEISMIC UNREST UNDERWAY-- Another large earthquake has just struck.. on top of the M7.3…","Get the word out please.   

MAJOR SEISMIC UNREST UNDERWAY-- Another large earthquake has just struck.. on top of the M7.3 in the Caribbean... now.. a new near M7.0 (M6.7) has struck the West Pacific !

Full video here:

https://t.co/mfjBFkVeOH",Thu Aug 23 02:23:53 +0000 2018
Jodymae54,RT @IRIS_EPO: Watch the waves from the M7.3 #VenezuelaEarthquake roll across the USArray seismic network (https://t.co/PNzKi5jesh). Each do…,Watch the waves from the M7.3 #VenezuelaEarthquake roll across the USArray seismic network (https://t.co/PNzKi5jesh). Each dot is a seismic station and when the ground moves up it turns red and when it moves down it turns blue. More info in the thread below #earthquake https://t.co/zBlSqz7FGO,Thu Aug 23 02:23:48 +0000 2018
Fernando197432,RT @Kgn10General: Trinidad and Tobago faced a 6.8 magnitude earthquake August 21 2018 approximately 5:31 pm local time. https://t.co/Nk4ilB…,Trinidad and Tobago faced a 6.8 magnitude earthquake August 21 2018 approximately 5:31 pm local time. https://t.co/Nk4ilBIXNv,Thu Aug 23 02:23:23 +0000 2018
JordanJordan69,Earthquake 😢 https://t.co/crgeLfU1Ej,,Thu Aug 23 02:22:43 +0000 2018
alexanderyasa,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:22:37 +0000 2018
AusMuhammad,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:22:32 +0000 2018
DedicatdPatriot,RT @Elle65139922: The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venez…,The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venezuela🇻🇪7.0. Felt it here in Grenada🇬🇩. https://t.co/nS8fNqU2gV,Thu Aug 23 02:20:47 +0000 2018
merongx97,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:16:30 +0000 2018
hannarosebutler,"RT @IFRCAsiaPacific: RT @Federation: What causes an #earthquake?

Indonesia's #Lombok has been continuously struck by serious earthquakes a…","RT @Federation: What causes an #earthquake?

Indonesia's #Lombok has been continuously struck by serious earthquakes and aftershocks in the past 3 weeks. @PalangMerah volunteers are responding. https://t.co/46JGs1Fp7M",Thu Aug 23 02:16:17 +0000 2018
SGRedCross,"RT @IFRCAsiaPacific: RT @Federation: What causes an #earthquake?

Indonesia's #Lombok has been continuously struck by serious earthquakes a…","RT @Federation: What causes an #earthquake?

Indonesia's #Lombok has been continuously struck by serious earthquakes and aftershocks in the past 3 weeks. @PalangMerah volunteers are responding. https://t.co/46JGs1Fp7M",Thu Aug 23 02:15:50 +0000 2018
notloading___,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:15:39 +0000 2018
maniiigawdyy,RT @Elle65139922: The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venez…,The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venezuela🇻🇪7.0. Felt it here in Grenada🇬🇩. https://t.co/nS8fNqU2gV,Thu Aug 23 02:15:02 +0000 2018
Jane46322101,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:14:29 +0000 2018
ItzJust_E,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 02:13:50 +0000 2018
cleandmc,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 02:13:35 +0000 2018
neerajgargdairy,RT @thehorrorpics: Swimming pool during an earthquake 😳 https://t.co/z9C2R8Reup,Swimming pool during an earthquake 😳 https://t.co/z9C2R8Reup,Thu Aug 23 02:13:31 +0000 2018
EliezarJuan,"RT @ElLuchin1: 🇮🇩IMPRESIONANTE 😮VIDEO DEL #TERREMOTO 7.0 
DEL 5/AGO que Azoto a #Lombok #Bali #Indonesia🇮🇩 
Dale RT Si pensaste que era un…","🇮🇩IMPRESIONANTE 😮VIDEO DEL #TERREMOTO 7.0 
DEL 5/AGO que Azoto a #Lombok #Bali #Indonesia🇮🇩 
Dale RT Si pensaste que era un #Tagada #LaOlla
#Temblor #Sismo #Lluvia #Storm #Earthquake 
#Coqueteoinsipido #LaMañana #PapasFritas #AlvaroSalas
#RegresoAClasesY #CDMX #VisibleWomen https://t.co/sLKANpriTE",Thu Aug 23 02:13:23 +0000 2018
Paul_Birch1,"RT @MaxAlbedo: What lush irony.
Newsnight had Venezuelan opposition MP lined up to entirely blame socialist Gov for inflation crisis but Ca…","What lush irony.
Newsnight had Venezuelan opposition MP lined up to entirely blame socialist Gov for inflation crisis but Caracas earthquake intervened.
Academic who filled in explained tragedy could've been avoided if not for US sanctions.
Sometimes God writes the best scripts. https://t.co/wQsXetfstz",Thu Aug 23 02:10:57 +0000 2018
Satta39,RT @CNC3TV: A resident recorded this video during the earthquake https://t.co/TVPrOWtl1U,A resident recorded this video during the earthquake https://t.co/TVPrOWtl1U,Thu Aug 23 02:10:52 +0000 2018
alondratheninja,"RT @vcstar: While a potential eruption of the supervolcano that lies beneath this iconic park may garner more alarming headlines, the more…","While a potential eruption of the supervolcano that lies beneath this iconic park may garner more alarming headlines, the more likely hazard is a major earthquake. https://t.co/LhWAwDdEGv",Thu Aug 23 02:10:24 +0000 2018
pieroone74,"RT @SANGREYMIEL: Recuerdo cuando la TV mostraba supermercados vacíos en Venezuela.
Hasta que tembló...

#Venezuela #Vzla #Sismo #Terremoto…","Recuerdo cuando la TV mostraba supermercados vacíos en Venezuela.
Hasta que tembló...

#Venezuela #Vzla #Sismo #Terremoto #Earthquake #T13 #AhoraReportajes
#LaTierraTiembla #FelizMiércoles https://t.co/SGXKw1xais",Thu Aug 23 02:06:59 +0000 2018
PaOHLinux,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:06:05 +0000 2018
Kaihtrin,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:05:46 +0000 2018
zolangegonzalez,"RT @Meteovargas: Trinidad y Tobago tras sismo en Sucre, Venezuela: Sails Restaurant in Chaguaramas experienced significant structure damage…","Trinidad y Tobago tras sismo en Sucre, Venezuela: Sails Restaurant in Chaguaramas experienced significant structure damage due to this afternoon's earthquake https://t.co/3ryBclqPpL vía @tv6tnt",Thu Aug 23 02:04:38 +0000 2018
Alex_Infante,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 02:04:27 +0000 2018
EagleStarNET,Video: Venezuelan Leader Celebrates 'Socialist' Earthquake https://t.co/10ADZL3lIQ https://t.co/yJD4zQq6ll,,Thu Aug 23 02:02:27 +0000 2018
danheyden,RT @MaestroDEPR: A strong 6.1 #earthquake #Terremoto #Temblor near Bandon #Oregon right now Not #tsunami Alert 🚨 https://t.co/RI7Urnuczi,A strong 6.1 #earthquake #Terremoto #Temblor near Bandon #Oregon right now Not #tsunami Alert 🚨 https://t.co/RI7Urnuczi,Thu Aug 23 02:02:17 +0000 2018
_YoRasta,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 02:02:00 +0000 2018
EagleStarNET,7.3 magnitude earthquake in Venezuela rocks buildings and cars – video https://t.co/giUIvnZX67,,Thu Aug 23 02:01:40 +0000 2018
VideoRecipesBot,Happiness is earthquake cake. 🍰  #Recipe https://t.co/TKmd2p7acg,,Thu Aug 23 02:01:17 +0000 2018
Jacaranda7549,RT @Elle65139922: The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venez…,The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venezuela🇻🇪7.0. Felt it here in Grenada🇬🇩. https://t.co/nS8fNqU2gV,Thu Aug 23 02:01:04 +0000 2018
GilberBastidas,"RT @BNONews: Video shows the moment a powerful earthquake was felt in Trinidad and Tobago, causing damage https://t.co/1itHjtM8VE","Video shows the moment a powerful earthquake was felt in Trinidad and Tobago, causing damage https://t.co/1itHjtM8VE",Thu Aug 23 02:00:51 +0000 2018
bunnyhuggr,"RT @ricardodallen: 6.2 Magnitude quake just hit Trinidad! Electricity out in many areas. 

Prayers up to all my T&amp;T friends, family and bus…","6.2 Magnitude quake just hit Trinidad! Electricity out in many areas. 

Prayers up to all my T&amp;T friends, family and business partners!

Trinidad 🇹🇹 

Video Credits: Not sure. But here’s an earthquake hat just happened. https://t.co/dbeB3GqAQl",Thu Aug 23 02:00:40 +0000 2018
withinredsuit,"RT @quakeitanyways: ❛ɪ'ᴍ ꜱᴛʀᴏɴɢᴇʀ ᴛʜᴀɴ ʏᴏᴜ ᴋɴᴏᴡ. 
            ɪ'ᴍ ᴛʜᴇ ᴅᴇꜱᴛʀᴏʏᴇʀ ᴏғ ᴡᴏʀʟᴅꜱ.❜

            ˗ˏˋ ＱＵＡＫＥ ˎˊ˗ 

        ჻ earthqua…","❛ɪ'ᴍ ꜱᴛʀᴏɴɢᴇʀ ᴛʜᴀɴ ʏᴏᴜ ᴋɴᴏᴡ. 
            ɪ'ᴍ ᴛʜᴇ ᴅᴇꜱᴛʀᴏʏᴇʀ ᴏғ ᴡᴏʀʟᴅꜱ.❜

            ˗ˏˋ ＱＵＡＫＥ ˎˊ˗ 

        ჻ earthquake inhuman
        ჻ ꜱʜɪᴇʟᴅ agent.
        ჻ MCU ⤳ SPA.
        ჻ ʙʏ #ɴᴏᴛʏᴏᴜʀs

           ¿ʀᴛ? https://t.co/YP0DyMz3qV",Thu Aug 23 02:00:27 +0000 2018
FlashcomID,"Suasana belajar kursus secara private di #Flashcomindonesia, dengan materi menyesuaikan kebutuhan siswa dan jadwal yang fleksibel. Mau Join? Whatsapp 085735948460
#IDOL #MyTwitterAnniversary #worldofdance #talentofox #ajithkumar #thalaajith #Viswasamfirstlook #earthquake #Senado https://t.co/rV4QvzBRij",,Thu Aug 23 02:00:17 +0000 2018
TDIAct,RT @seXi_GodDesS_49: Earthquake in Venezuela felt in Trinidad https://t.co/vrhVpIto74,Earthquake in Venezuela felt in Trinidad https://t.co/vrhVpIto74,Thu Aug 23 01:59:59 +0000 2018
TDIAct,"RT @ricardodallen: UPDATE: Jamaica Gleaner are reporting that it was in fact a 7.0 earthquake!

Yikes! 

I am praying for the people in Tri…","UPDATE: Jamaica Gleaner are reporting that it was in fact a 7.0 earthquake!

Yikes! 

I am praying for the people in Trinidad, Venezuela and other affected territories. 

I received this video of piece of a mountain falling off into the sea https://t.co/MliZoEBTK1",Thu Aug 23 01:59:50 +0000 2018
TeddyPinaxe,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 01:59:32 +0000 2018
djasMpu,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 01:58:08 +0000 2018
frommyemptyhead,"RT @dutchsinse: Major earthquake activity taking place now --- Don't be scared -- BE PREPARED!

_____

Full video explanation, and what we'…","Major earthquake activity taking place now --- Don't be scared -- BE PREPARED!

_____

Full video explanation, and what we're expecting to occur here...

8/21/2018 -- Global Seismic Unrest underway -- Earthquakes progressing across planet -- BE PREPARED

https://t.co/jhdMpbTIS4",Thu Aug 23 01:57:59 +0000 2018
McKenzieNMajor,RT @Elle65139922: The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venez…,The scariest moment of my life. These videos are from Trinidad🇹🇹6.9 from a earthquake that happened of the coast of Venezuela🇻🇪7.0. Felt it here in Grenada🇬🇩. https://t.co/nS8fNqU2gV,Thu Aug 23 01:57:28 +0000 2018
KayHumbled_,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 01:56:34 +0000 2018
92txy,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 01:56:17 +0000 2018
EliezarJuan,RT @TriniBoogie: @pam_r104 Somebody just sent me this video - nowhere to hide! #Trinidad #earthquake https://t.co/FeaxKoORHS,@pam_r104 Somebody just sent me this video - nowhere to hide! #Trinidad #earthquake https://t.co/FeaxKoORHS,Thu Aug 23 01:56:14 +0000 2018
Syaazh_,RT @PhysicsVideo_: This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,This is how earthquake dampeners work on building structures https://t.co/Yo75o9ISbA,Thu Aug 23 01:55:53 +0000 2018
_DavidWill,RT @sxeishorty: Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Someone showing exactly what occured during the earthquake in his neighborhood #Trinidad 🇹🇹 https://t.co/WjF8TIj2QN,Thu Aug 23 01:55:37 +0000 2018
