ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
cfcpac,RT @cfcpac: California wildfires: Firefighter dies battling largest recorded blaze in state's history: The fire grew to between two and fou…,California wildfires: Firefighter dies battling largest recorded blaze in state's history: The fire grew to between two and four square miles by... https://t.co/EzYPnAhDDn https://t.co/Q4qv1Pp01v,Wed Aug 15 11:47:48 +0000 2018
WTNH,The nearly three-week closure was the result of a #wildfire that has burned 150 square miles and killed two firefighters since it started July 13. https://t.co/q0aKnHZaMf,,Wed Aug 15 09:15:00 +0000 2018
aclegg09,"The blanket covers hundreds of square miles. It smells like fire, the sky is tinted orange, and you can almost taste the smoke. https://t.co/7Fb6UzD8cq",,Wed Aug 15 04:03:38 +0000 2018
Caesar_X,By my eyeball that's like 600+ square MILES closed due to that damned fire. https://t.co/mxMn1wZDfF,,Wed Aug 15 02:06:41 +0000 2018
joshforprogress,"RT @StanfordLaw: ""When you have 200 square miles with fire, there is just no way you can put it out with water,” says SLS's @MichaelWWara o…","""When you have 200 square miles with fire, there is just no way you can put it out with water,” says SLS's @MichaelWWara on Trump's claim that California is wasting too much water @dcexaminer with @SiegelScribe: https://t.co/eDMktx6YqS",Tue Aug 14 23:52:26 +0000 2018
michaelnorth,"@JuliBunting We have over 1,000 square miles of fire in just the 4 main fires. Help so very much appreciated.",,Tue Aug 14 17:41:46 +0000 2018
SarahEOlson2009,"""In three weeks, the Carr Fire that took his home has consumed 317 square miles (510 kilometers), destroyed more than 1,000 homes and killed eight people. It’s 61 percent contained."" https://t.co/R6lWhpZFv9",,Tue Aug 14 15:57:37 +0000 2018
ErichRino,"Paris is a mere 41 square miles
Berlin is 344. 
Seattle, Baghdad, Madrid, Dublin, and Glasgow are 508 combined square miles.

Every one of those listed cities would have been completely wiped off the map by the fire currently burning just a few dozen miles away from me.",,Tue Aug 14 15:37:10 +0000 2018
sofarinimout,"The Ranch Fire and the River Fire make up the Mendocino Complex Fire, which now covers about 518 square miles. 
Coffee production in Sri Lanka (formerly Ceylon) peaked in 1870, with over 111,400 hectares (275,000 acres) being cultivated.  430 square miles",,Tue Aug 14 14:46:46 +0000 2018
Marco79880648,"RT @ABC: Dramatic timelapse shows the moments the Holy Fire erupted in the hills above Orange County, California. 

Cal Fire officials say…","Dramatic timelapse shows the moments the Holy Fire erupted in the hills above Orange County, California. 

Cal Fire officials say the blaze has burned across more than 35 square miles. https://t.co/5AdpBG7sDl https://t.co/iuoAisTlwg",Tue Aug 14 13:43:16 +0000 2018
jftaveira1993,"In three weeks, the #CarrFire that took his home has consumed 317 square miles (510 kilometers), destroyed more than 1,000 homes and killed eight people. https://t.co/JaDzleYgjH #California #CaliforniaWildfires",,Tue Aug 14 13:40:08 +0000 2018
cfcpac,California wildfires: Firefighter dies battling largest recorded blaze in state's history: The fire grew to between two and four square miles by... https://t.co/EzYPnAhDDn https://t.co/Q4qv1Pp01v,,Tue Aug 14 11:46:05 +0000 2018
nahleenblake,"RT @NewsForrest: #CaliforniaWildfires: “In three weeks, the #CarrFire ... has consumed 317 square miles, ... destroyed more than 1,000 home…","#CaliforniaWildfires: “In three weeks, the #CarrFire ... has consumed 317 square miles, ... destroyed more than 1,000 homes and killed eight people. It's 61 percent contained.”
#CalFire #CaliforniaFires #wildfires https://t.co/skPGlGBxXj",Tue Aug 14 09:39:24 +0000 2018
dreamwalkarts,"That change has nothing to do with the dozens of wildfires currently ravaging the west, and particularly the state of California, where blazes have churned through 1,000 square miles so far in what has already been the most destructive fire season on record.",,Tue Aug 14 05:17:06 +0000 2018
Hmill17,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Fri Aug 24 01:48:34 +0000 2018
DonnerHeidi,RT @KDRV: BREAKING: Authorities in California have arrested the man that they believe is responsible for starting the #KlamathonFire on Jul…,"BREAKING: Authorities in California have arrested the man that they believe is responsible for starting the #KlamathonFire on July 5. That fire burned over 38,000 acres, destroyed homes, injured three firefighters and caused the death of a Hornbrook man. https://t.co/hh2Qh56Kks",Fri Aug 24 01:14:58 +0000 2018
featureblue,RT @ActionNewsNow: Police have arrested a man suspected of starting the #KlamathonFire in the community of Hornbrook on July 5. The fire bu…,"Police have arrested a man suspected of starting the #KlamathonFire in the community of Hornbrook on July 5. The fire burned 38,008 acres and destroyed 35 homes. https://t.co/iqSlBsPOUT https://t.co/TmCj0JCiJA",Thu Aug 23 22:41:22 +0000 2018
ActionNewsNow,"Police have arrested a man suspected of starting the #KlamathonFire in the community of Hornbrook on July 5. The fire burned 38,008 acres and destroyed 35 homes. https://t.co/iqSlBsPOUT https://t.co/TmCj0JCiJA",,Thu Aug 23 22:34:56 +0000 2018
KDRV,"BREAKING: Authorities in California have arrested the man that they believe is responsible for starting the #KlamathonFire on July 5. That fire burned over 38,000 acres, destroyed homes, injured three firefighters and caused the death of a Hornbrook man. https://t.co/hh2Qh56Kks",,Thu Aug 23 20:43:35 +0000 2018
LeviSkaare,"A white illegal immigrant, Jesper Jorgenson, set the Spring Creek Fire that destroyed 100+ structures 100,000+ acres of land. Thank god no firefighters died. Nothing from conservatives though on this. Both arson and murder are felonies. /2",,Thu Aug 23 13:23:32 +0000 2018
Christi58064699,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Thu Aug 23 04:21:41 +0000 2018
BiancaTylock,RT @EPN473: #KCFD working a 1 acre #BrushFire in Lake Isabella on Erskine Creek Rd (same spot the Erskine Fire started at in 2016 that burn…,"#KCFD working a 1 acre #BrushFire in Lake Isabella on Erskine Creek Rd (same spot the Erskine Fire started at in 2016 that burned 48,000 acres and destroyed over 300 structures) Structues are threatened, requesting full aircraft order. #Breaking https://t.co/Lb6dyxIq2p",Thu Aug 23 03:10:08 +0000 2018
EPN473,"#KCFD working a 1 acre #BrushFire in Lake Isabella on Erskine Creek Rd (same spot the Erskine Fire started at in 2016 that burned 48,000 acres and destroyed over 300 structures) Structues are threatened, requesting full aircraft order. #Breaking https://t.co/Lb6dyxIq2p",,Thu Aug 23 01:37:54 +0000 2018
jennydudley,RT @StaffsWildlife: During mid-August 2018 a huge moorland fire swept across the Roaches causing devastation to Staffordshire's most iconic…,"During mid-August 2018 a huge moorland fire swept across the Roaches causing devastation to Staffordshire's most iconic landscape.

Over 200 acres of moorland was destroyed which will take years to recover.",Wed Aug 22 21:38:58 +0000 2018
larlor316,"@atacamagirl @4everNeverTrump @p2cat It started a massive forest fire about 10 yrs ago destroyed 129 homes and 12,000 acres. It smolders away without much trouble.",,Wed Aug 22 16:35:56 +0000 2018
meowtina_,"239 homes were destroyed, luckily none of them were ours. The fire spanned 64,030 acres. I was 7. This marked the beginning of a long recovery for me. I was traumatized by the experience. It took me 10 years to finally bget comfortable around fire again.",,Wed Aug 22 15:44:21 +0000 2018
NoorDinTech,RT @kevinwxsoo: Making fire for #TidyTuesday! Using #gganimate to visualize the worsening severity of California wildfires (acres destroyed…,"Making fire for #TidyTuesday! Using #gganimate to visualize the worsening severity of California wildfires (acres destroyed, days to containment) over time. #rstats #dataviz #r4ds https://t.co/U8Lxj7sen0",Wed Aug 22 14:40:02 +0000 2018
StaffsWildlife,"During mid-August 2018 a huge moorland fire swept across the Roaches causing devastation to Staffordshire's most iconic landscape.

Over 200 acres of moorland was destroyed which will take years to recover.",,Wed Aug 22 12:59:02 +0000 2018
NadrichCohen,"Although some #fires have been contained, #firefighters are still fighting the #Mendocino Complex #Fire in Northern #California, which has scorched more than 400,000 acres and destroyed at least 157 homes. #wildfire #fire #firefighter #news
https://t.co/LsmXwF93NZ",,Wed Aug 22 01:45:00 +0000 2018
docxram,@YarmondShore @Chris_Cast_CR @charliekirk11 @ACLU They aren’t immigrants. They are law breakers. That makes them criminals. That includes the white illegal immigrant from Denmark who started the forest fire in Colorado. It has nothing to do with race. https://t.co/tH7sNgpojS,,Tue Aug 21 23:35:05 +0000 2018
Jackie50Stuart,"Pre-2000Edit

￼

Remains of houses destroyed in the Oakland firestorm of 1991

Santiago Canyon Fire (1889). Burned on the order of 310,000 acres (130,000 ha).

Berkeley Fire (1923). Destroyed 640 structures, including 584 homes.",,Tue Aug 21 22:56:00 +0000 2018
kevinwxsoo,"Making fire for #TidyTuesday! Using #gganimate to visualize the worsening severity of California wildfires (acres destroyed, days to containment) over time. #rstats #dataviz #r4ds https://t.co/U8Lxj7sen0",,Tue Aug 21 20:23:52 +0000 2018
Norwesca,"It has now been eight years since the devastating 2012 fire that destroyed 32 of our beautiful 40 acres here at Camp Norwesca. Check out where we have come in the past six years, see the progress that has been made and learn about future plans that... https://t.co/flu9ayc9o7",,Tue Aug 21 19:24:17 +0000 2018
BobOttenhoff,"Halfway through summer, ~1,585 wildfires have torched ~431,600 acres of Colorado forest &amp; grasslands &amp; destroyed or damaged about 450 homes, making 2018 one of most destructive fire seasons in history — &amp; it isn’t over yet.  https://t.co/WWfY8dvMkj",,Tue Aug 21 17:04:56 +0000 2018
JeremyCMorgan,RT @ForestGroveFire: Fire is under control. But crews will be here through the night and tomorrow putting out hot spots. Rough estimate is…,"Fire is under control. But crews will be here through the night and tomorrow putting out hot spots. Rough estimate is 15-20 acres. 3 structures damaged, 1 destroyed. MJ https://t.co/UArvKIAgcC",Tue Aug 21 16:19:24 +0000 2018
adoolan34,Burnt wind turbine nacelle at Shepherd's Flat wind farm in Oregon. 2000 acres of land destroyed by the fire;https://t.co/ydTxPCG7RW Plenty of CO2 produced by fire!,,Tue Aug 21 13:44:29 +0000 2018
HealthPDX,"@ForestGroveFire: 'Fire is under control. But crews will be here through the night and tomorrow putting out hot spots. Rough estimate is 15-20 acres. 3 structures damaged, 1 destroyed. MJ ' https://t.co/EXtpREZlGi, see more https://t.co/7tlV9VvyNh",,Tue Aug 21 09:23:48 +0000 2018
LinxPDX,"#LinxPDX: @ForestGroveFire: 'Fire is under control. But crews will be here through the night and tomorrow putting out hot spots. Rough estimate is 15-20 acres. 3 structures damaged, 1 destroyed. MJ ' https://t.co/3ChMMW1Oet, see more https://t.co/yjZvWteU1Q",,Tue Aug 21 09:15:20 +0000 2018
RealEstate_PDX,"@ForestGroveFire: 'Fire is under control. But crews will be here through the night and tomorrow putting out hot spots. Rough estimate is 15-20 acres. 3 structures damaged, 1 destroyed. MJ ' https://t.co/K58Vbxnf05, see more https://t.co/PpSIUjp8Vd",,Tue Aug 21 04:29:59 +0000 2018
Gkk49Deanna,"RT @ajplus: California is battling 18 fires, fueled by record temperatures and dryness. They have destroyed 1,500 homes and forced tens of…","California is battling 18 fires, fueled by record temperatures and dryness. They have destroyed 1,500 homes and forced tens of thousands to evacuate. 

1 of them, the Mendocino Complex fire, is the biggest fire ever faced by the state and has burned 300,000 acres. https://t.co/NcvoL9IzdP",Tue Aug 21 04:17:01 +0000 2018
ChasHundley,"RT @GalesCreekNews: This is likely our final update tonight: The fire is under control, with crews putting out hot spots tonight and tomorr…","This is likely our final update tonight: The fire is under control, with crews putting out hot spots tonight and tomorrow. The current rough size of the fire is estimated at up to 20 acres, with one structure destroyed and three more damaged. https://t.co/C378E8OAq0",Tue Aug 21 03:43:42 +0000 2018
GalesCreekNews,"This is likely our final update tonight: The fire is under control, with crews putting out hot spots tonight and tomorrow. The current rough size of the fire is estimated at up to 20 acres, with one structure destroyed and three more damaged. https://t.co/C378E8OAq0",,Tue Aug 21 03:26:07 +0000 2018
ForestGroveFire,"Fire is under control. But crews will be here through the night and tomorrow putting out hot spots. Rough estimate is 15-20 acres. 3 structures damaged, 1 destroyed. MJ https://t.co/UArvKIAgcC",,Tue Aug 21 02:26:09 +0000 2018
alan_shenton,"So, after a devastating fire that destroyed over 200 acres of invaluable moorland, people still are ignoring the message! What is wrong with these idiots?! 😡😡😡 #RoachesFire #TheRoaches https://t.co/YYyVc4NnJn",,Mon Aug 20 22:57:24 +0000 2018
seanmaddox1,"CALIFORNIA WILDFIRES: The ""Carr Fire"" has killed 8 people and destroyed over 1,000 homes &amp; structures &amp; 200,000 acres. IT SOURCE: A trailer with a flat tire. The rim of the tire caused a spark that ignited the monstrous fire. https://t.co/xfvw0ov244",,Mon Aug 20 21:58:32 +0000 2018
Ale_Mil,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Mon Aug 20 17:50:20 +0000 2018
AynOwens,"Today in 1910 The Great Fire of 1910 (also called the Big Blowup or the Big Burn) was the largest forest fire in U.S. history.  Burning for 2 days, August 20 &amp; 21, it destroyed about 3 million acres across... https://t.co/UHsqiHnFUj",,Mon Aug 20 11:48:22 +0000 2018
Lisamarie61,RT @MariettaPosts: #Firenado This Fire Tornado Has a Base The Size of Three Football Fields With Winds at 165 MPH and Sadly Killing a Fire…,"#Firenado This Fire Tornado Has a Base The Size of Three Football Fields With Winds at 165 MPH and Sadly Killing a Fire Fighter.
The Carr Fire Has Also  Burned 214,527 Acres &amp; Destroyed 1,077 Homes.
#Prayers 🙏
#California
https://t.co/aLxN3oxtXr",Mon Aug 20 10:21:23 +0000 2018
GamerFanArtist,"36 days, 97k acres, two fallen firefighters, and 10 destroyed structures later, the deadly  Ferguson fire in California has been announced as 100% contained.",,Sun Aug 19 23:02:44 +0000 2018
davtati,"#Help #Replant Our Forests
The need for #trees in our #forests is greater than ever before. Wildfires, insects, disease, and deforestation have destroyed millions of acres of trees.  You can help to save it with a little #donation https://t.co/fBHFddqAjy https://t.co/tcn110CYQe",,Sun Aug 19 19:35:36 +0000 2018
Dave64222839,"Just this morning, the Ferguson Fire has been fully contained!
It burned nearly 97,000 acres since July 13 and it has killed two firefighters and destroyed 10 structures.
Honestly, this fire was terrible, but nothing like the Rough Fire of 2015.",,Sun Aug 19 14:58:28 +0000 2018
jax_6492,"What fucking IDIOT is setting off fireworks when there is a state wide FIRE BAN???? Do you not remember that 50,000 acres were destroyed last year in the Gorge bc of a fire cracker???? Can you fucking NOT???? thx",,Sun Aug 19 05:28:06 +0000 2018
7777honestly,unfair treatment ? ha ! the fire that destroyed thousands of acres ha ha https://t.co/8PHwLe5TWO,,Sat Aug 18 21:43:10 +0000 2018
jorinyc,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/0Wg0HkTiM4 https://t.co/wDRrdklhAb",Sat Aug 18 20:15:36 +0000 2018
robertsjustice,"CALIFORNIA CARR FIRE | The death toll stands at 8+ including 3 firefighters. 1,000+ structures were destroyed in a blaze that covered  214,527+ acres. Witnesses said that the fire had a mind of its own, doing impossible things https://t.co/1sv0Et7Zcl",,Sat Aug 18 18:44:37 +0000 2018
DoloresLacey1,In south central Colorado at one of my brother’s properties before a large forest fire destroyed half of his 400 acres.  A helpful group of young volunteers have re-planted many trees on the property. https://t.co/w643RHpSpe,,Sat Aug 18 15:18:39 +0000 2018
flyfisherman33,"The deadly Carr fire in Northern California — one of the largest fires in state history — has scorched through 214,527 acres and destroyed more than 1,000 homes since it started about three weeks ago. The Carr fire,... https://t.co/fbdYH8SbeQ",,Fri Aug 17 20:26:55 +0000 2018
Just4Fires,"RT @abc4utah: #NorthEdenFire grows to 8 to 10,000 acres after active growth overnight, officials say. https://t.co/VQ9dqshWqy","#NorthEdenFire grows to 8 to 10,000 acres after active growth overnight, officials say. https://t.co/VQ9dqshWqy",Fri Aug 17 20:24:17 +0000 2018
LeageOfMyOwn,"#Firenado this is wicked. This Fire Tornado Has a Base The Size of Three Football Fields With Winds at 165 MPH and Sadly Killing a Fire Fighter.
The Carr Fire Has Also  Burned 214,527 Acres &amp; Destroyed 1,077 Homes.
#Prayers 🙏
#California
https://t.co/FhEvi6FXPa",,Fri Aug 17 19:13:25 +0000 2018
MariettaPosts,"#Firenado This Fire Tornado Has a Base The Size of Three Football Fields With Winds at 165 MPH and Sadly Killing a Fire Fighter.
The Carr Fire Has Also  Burned 214,527 Acres &amp; Destroyed 1,077 Homes.
#Prayers 🙏
#California
https://t.co/aLxN3oxtXr",,Fri Aug 17 18:51:43 +0000 2018
abc4utah,"#NorthEdenFire grows to 8 to 10,000 acres after active growth overnight, officials say. https://t.co/VQ9dqshWqy",,Fri Aug 17 16:49:17 +0000 2018
sharny_a,"A campfire started the fire on the Roaches. Around 200 acres has been destroyed because of it. It's great to enjoy the outdoors, as long as we do it carefully and respectfully. @WildlifeTrusts @StaffsWildlife @UKScouting #wildcamping #camping #Staffordshire #outdoors #campfire https://t.co/2asCJZJNVz",,Fri Aug 17 15:44:51 +0000 2018
TheLeadDC,"This ""Firenado"" in California had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News

https://t.co/3rcEKvglW8",,Fri Aug 17 13:50:12 +0000 2018
Or3osnM1lk,"@CDF_firefighter @CalDisasters These acres are not destroyed, not all fire is bad.",,Fri Aug 17 12:56:34 +0000 2018
Signal2Official,NEWS: Investigation by @StaffsFire reveals camp fire caused #Roaches blaze that has destroyed 200 acres of land &gt;&gt; https://t.co/kBbNR34CoJ,,Fri Aug 17 09:24:38 +0000 2018
Signal1Official,NEWS: @StaffsFire investigation reveals blaze that has destroyed 200 acres of land in #Roaches was caused by camp fire &gt;&gt; https://t.co/RKvc6CjJsb,,Fri Aug 17 09:24:06 +0000 2018
LuminatedJremy,"RT @johnpatburk: RT ABC """"Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds…","RT ABC """"Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. … https://t.co/BqD4aAdAnR""",Fri Aug 17 08:18:17 +0000 2018
johnpatburk,"RT ABC """"Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. … https://t.co/BqD4aAdAnR""",,Fri Aug 17 07:04:12 +0000 2018
NWFireScanner,"RT @KTVZ: FIRE ALERT UPDATE: The four large fires burning in Gilliam and Wheeler counties have grown to total about 77,000 acres, with 27 p…","FIRE ALERT UPDATE: The four large fires burning in Gilliam and Wheeler counties have grown to total about 77,000 acres, with 27 percent containment; Watson Creek Fire in Lake County at 32,000 acres, 5 percent contained. #KTVZFireAlert https://t.co/0ThzP5wOPP",Tue Aug 21 20:17:47 +0000 2018
KTVZ,"FIRE ALERT UPDATE: The four large fires burning in Gilliam and Wheeler counties have grown to total about 77,000 acres, with 27 percent containment; Watson Creek Fire in Lake County at 32,000 acres, 5 percent contained. #KTVZFireAlert https://t.co/0ThzP5wOPP",,Tue Aug 21 20:12:40 +0000 2018
Htierney61,"RT @HumboldtToiyabe: #SouthSugarloafFire Update, August 20
The lightning caused Fire burning 20 miles southwest of Owyhee is at 63,847 acre…","#SouthSugarloafFire Update, August 20
The lightning caused Fire burning 20 miles southwest of Owyhee is at 63,847 acres with 20 percent containment. It is burning in grass, brush, and timber with extreme fire behavior.  
Get more info. on inciweb: https://t.co/0hMQI0X4yJ https://t.co/QPoJn0bT1X",Tue Aug 21 17:35:02 +0000 2018
NathalieVeraTV,RT @KCOYKeith: Latest map on the Front Fire burning in the Los Padres National Forest in southern San Luis Obispo County. About 875 acres b…,Latest map on the Front Fire burning in the Los Padres National Forest in southern San Luis Obispo County. About 875 acres burned with about 30 percent containment. https://t.co/W92BubyzuN,Tue Aug 21 16:05:33 +0000 2018
RogueWeatherNow,"FIRST IN THE MORNING FOR THE KLONDIKE AND TAYLOR CREEK FIRES WITH SAM FOR 8/21

Sam will provide the latest information from these fires for you. Very good news for the Taylor Creek Fire  Containment is at 95 percent now with little fire activity... https://t.co/yp3uYovdhR",,Tue Aug 21 15:06:50 +0000 2018
KCOYKeith,Latest map on the Front Fire burning in the Los Padres National Forest in southern San Luis Obispo County. About 875 acres burned with about 30 percent containment. https://t.co/W92BubyzuN,,Tue Aug 21 12:54:36 +0000 2018
HumboldtToiyabe,"#SouthSugarloafFire Update, August 20
The lightning caused Fire burning 20 miles southwest of Owyhee is at 63,847 acres with 20 percent containment. It is burning in grass, brush, and timber with extreme fire behavior.  
Get more info. on inciweb: https://t.co/0hMQI0X4yJ https://t.co/QPoJn0bT1X",,Tue Aug 21 02:45:14 +0000 2018
GrnGalFrmSoCal,RT @radiormnpodcast: @SteerMark @PamJonesLiberty @Surfhempster @Kal1_Furies @OpChemtrails @BayleeB79 @RealGeoEngWatch @AzSkyWatcher @rezn8d…,"@SteerMark @PamJonesLiberty @Surfhempster @Kal1_Furies @OpChemtrails @BayleeB79 @RealGeoEngWatch @AzSkyWatcher @rezn8d @zerozoot @lbox327 @RockyMt2 @Marcelo77931223 @LadyWilson8 Cal Fire’s Monday report put the Mendocino Complex Fire’s overall size at 344,890 acres with containment having rolled back a few percentage points to 68 percent. More than 3,200 firefighters are there, including some from Australia. https://t.co/7315QdJ5cD https://t.co/nHTZYxG6qT",Mon Aug 20 01:41:22 +0000 2018
jftaveira1993,"The #HolyFire burning in Riverside and Orange counties was 92 percent contained today after consuming 22,887 acres, with full containment expected by Tuesday, authorities said. https://t.co/XmbG38WtdV #California #CaliforniaWildfires",,Sun Aug 19 17:32:13 +0000 2018
KOHO101,"Cougar Creek, Lost and Bannock Lakes Fires
Acreage: 35,809 
Containment: 35 percent
Personnel: 1,106

Cougar Creek Fire: Smoke decreased on Friday with winds exceeding 25 mph, pushing the smoke out of the valleys and increasing the fire... https://t.co/J2BUOJO3Hr",,Sat Aug 18 23:05:29 +0000 2018
UtahCountyNews,Coal Hollow fire continues to burn 26632 acres with 19 percent containment - https://t.co/jlE93kfHtq https://t.co/cJ8uxvo2Iu https://t.co/dWtU7nGeZb,,Sat Aug 18 22:01:03 +0000 2018
jftaveira1993,"The #HolyFire burning in Riverside and Orange counties was 85 percent contained Saturday, Aug. 18, with the number of acres burned standing at 22,986, the U.S. Forest Service said. https://t.co/ehxVJSEu8H #California #CaliforniaWildfires",,Sat Aug 18 21:59:44 +0000 2018
Cynthia08887141,"RT @fox13: Coal Hollow fire continues to burn 26,632 acres with 19 percent containment https://t.co/MZQZqFQsxO via @fox13","Coal Hollow fire continues to burn 26,632 acres with 19 percent containment https://t.co/MZQZqFQsxO via @fox13",Sat Aug 18 15:39:39 +0000 2018
fox13,"Coal Hollow fire continues to burn 26,632 acres with 19 percent containment https://t.co/MZQZqFQsxO via @fox13",,Sat Aug 18 15:32:06 +0000 2018
TheAspenTimes,"#cachecreekfire UPDATE: Containment is holding steady at 40 percent after a challenging for firefighters dealing with thunderstorm activity in the area, fuel conditions due to drought and firefighting resource availability. https://t.co/FjOyN8Xn9N via @AlexR_Zorn https://t.co/TqF3X7N8dS",,Fri Aug 17 16:52:00 +0000 2018
jftaveira1993,"The #HolyFire burning in Riverside and Orange counties is 78 percent contained today, having charred 22,986 acres, with full containment expected. Aug. 21. https://t.co/XyMzQbr3xz #California #CaliforniaWildfires",,Thu Aug 16 17:19:57 +0000 2018
PatriotAM1150,"The Holy Fire burning in Riverside and Orange counties is 78 percent contained today, having charred 22,986 acres, with full containment expected. Aug. 21. 

https://t.co/n68l9aSw5C",,Thu Aug 16 16:36:50 +0000 2018
dolls123,"RT @KFIAM640: The Holy Fire burning in Riverside and Orange counties is 78 percent contained today, having charred 22,986 acres, with full…","The Holy Fire burning in Riverside and Orange counties is 78 percent contained today, having charred 22,986 acres, with full containment expected. Aug. 21. 

https://t.co/MZke0nA877",Thu Aug 16 14:03:24 +0000 2018
KFIAM640,"The Holy Fire burning in Riverside and Orange counties is 78 percent contained today, having charred 22,986 acres, with full containment expected. Aug. 21. 

https://t.co/MZke0nA877",,Thu Aug 16 12:38:22 +0000 2018
kshalfbright,"RT @Incinotes: Yosemite Valley Open with Wildfire Tamed
With fire crews having reached nearly 90 percent containment on the Ferguson Fire,…","Yosemite Valley Open with Wildfire Tamed
With fire crews having reached nearly 90 percent containment on the Ferguson Fire, the Yosemite Valley was set to reopen on Tuesday morning. https://t.co/mFVs0oLa9C",Wed Aug 15 13:15:33 +0000 2018
radiormnpodcast,"@SteerMark @PamJonesLiberty @Surfhempster @Kal1_Furies @OpChemtrails @BayleeB79 @RealGeoEngWatch @AzSkyWatcher @rezn8d @zerozoot @lbox327 @RockyMt2 @Marcelo77931223 @LadyWilson8 Cal Fire’s Monday report put the Mendocino Complex Fire’s overall size at 344,890 acres with containment having rolled back a few percentage points to 68 percent. More than 3,200 firefighters are there, including some from Australia. https://t.co/7315QdJ5cD https://t.co/nHTZYxG6qT",,Wed Aug 15 06:12:48 +0000 2018
hank_kirk,"RT @GilCisnerosCA: Thank you to the more than 1,500 firefighters who have worked so tirelessly to protect us from the #HolyFire.  Our heart…","Thank you to the more than 1,500 firefighters who have worked so tirelessly to protect us from the #HolyFire.  Our hearts are with the families who remain displaced from their homes.  

https://t.co/aUNVUpKtD7",Tue Aug 14 22:01:41 +0000 2018
Incinotes,"Yosemite Valley Open with Wildfire Tamed
With fire crews having reached nearly 90 percent containment on the Ferguson Fire, the Yosemite Valley was set to reopen on Tuesday morning. https://t.co/mFVs0oLa9C",,Tue Aug 14 21:56:38 +0000 2018
GilCisnerosCA,"Thank you to the more than 1,500 firefighters who have worked so tirelessly to protect us from the #HolyFire.  Our hearts are with the families who remain displaced from their homes.  

https://t.co/aUNVUpKtD7",,Tue Aug 14 21:45:00 +0000 2018
TheaGood,"RT @FirehouseNews: .@CAL_FIRE #Yosemite Valley reopens with #firefighters having reached nearly 90 percent containment on 96,000-acre #Ferg…",".@CAL_FIRE #Yosemite Valley reopens with #firefighters having reached nearly 90 percent containment on 96,000-acre #FergusonFire https://t.co/MMLCOTKgVj https://t.co/xjokusSbxp",Tue Aug 14 17:31:53 +0000 2018
FirehouseNews,".@CAL_FIRE #Yosemite Valley reopens with #firefighters having reached nearly 90 percent containment on 96,000-acre #FergusonFire https://t.co/MMLCOTKgVj https://t.co/xjokusSbxp",,Tue Aug 14 17:00:36 +0000 2018
kar33an,"RT @SFnewsnow: Holy Fire continues to rage near Trabuco Canyon, burns 4,129 acres with 5 percent containment https://t.co/VDiWy1LXec https:…","Holy Fire continues to rage near Trabuco Canyon, burns 4,129 acres with 5 percent containment https://t.co/VDiWy1LXec https://t.co/82Fr0BSApt",Tue Aug 14 13:00:38 +0000 2018
wolfiemouse,"RT @jftaveira1993: The #HolyFire was at 22,700 acres early Monday with containment at 52 percent. Slightly cooler conditions helped firefig…","The #HolyFire was at 22,700 acres early Monday with containment at 52 percent. Slightly cooler conditions helped firefighters who have been protecting lives and homes in the Lake Elsinore area for about a week. https://t.co/MZSY6gjKas #CaliforniaWildfires #California",Mon Aug 13 16:47:00 +0000 2018
