yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,Sat Aug 04 11:39:02 +0000 2018
kdrvisuals,The void of sadness in me is being filled up again aghh,,Sat Aug 04 11:24:46 +0000 2018
fatmaaah_s,RT @notma__: I cover my sadness with a smile,I cover my sadness with a smile,Sat Aug 04 11:24:45 +0000 2018
Cwissywissy1,RT @BrightonDungeon: It is with great sadness that I announce the passing of our dear friend Mistress Dometria. She was our light and our s…,It is with great sadness that I announce the passing of our dear friend Mistress Dometria. She was our light and our strength. No one who met her would ever forget her. She will live in our hearts forever. We are all heartbroken. #brightondungeon #mistressdometria #rip https://t.co/q0q7Div4eH,Sat Aug 04 11:24:44 +0000 2018
Karani_Kariuki,RT @UKenyatta: It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished…,"It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished long serving public servant, lawmaker and accountant whose service to the nation will be greatly missed.",Sat Aug 04 11:24:40 +0000 2018
soft_gguk,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:24:36 +0000 2018
llanes_maricar,RT @Fact: Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Sat Aug 04 11:24:35 +0000 2018
bwakrys,RT @deIuge: friday night sadness,friday night sadness,Sat Aug 04 11:24:35 +0000 2018
JhuneLampa2,RT @iambobongquotes: pls remove all this pain and sadness within myself,pls remove all this pain and sadness within myself,Sat Aug 04 11:24:33 +0000 2018
kaianismyname,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:24:31 +0000 2018
LiviiPrice,"RT @yinszn: i make sad ass music im not gon hold you. 
but it be beauty in the sadness.","i make sad ass music im not gon hold you. 
but it be beauty in the sadness.",Sat Aug 04 11:24:31 +0000 2018
angerawrrrr,RT @rmdrk: show me a person who has loved. a person who has fought for the people they need. and I'll give you a lifetime full of brokennes…,show me a person who has loved. a person who has fought for the people they need. and I'll give you a lifetime full of brokenness and a heart full of sadness too beautiful to bear.,Sat Aug 04 11:24:29 +0000 2018
_peachyggukk,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:24:15 +0000 2018
hoekhty,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 11:24:10 +0000 2018
sandeepkkumar07,"@KrishnaDharma ""@BBCYaldaHakim""  ""@YaldaHakim"" ""@YaldaHakimBBC"" If it is same so why you have form Rich and Poor? how its feels what is happiness and sadness? Is this your Heart?What you mean by Congruence, Equivalence, Togetherness and Be One.💚🧡🖤😎",,Sat Aug 04 11:24:03 +0000 2018
Khalidd11746523,"@iamEllmi
I will walk with u through every storm of life
I'll luv u full of my heart
In darkness I'll be ur light
In happiness I'll be ur joy
In sadness I'll be ur tears
In loneliness I'll be ur soulmate
I'll shower 🚿upon u endless love
Angel Elma u r need of ur habibi Stranger",,Sat Aug 04 11:24:03 +0000 2018
lovelys05280660,"RT @Simplicity_005: Lord make me an 
instrument of Thy peace
Where there is hatred
Let me sow Love 
Where there is injury
Let me sow pardon…","Lord make me an 
instrument of Thy peace
Where there is hatred
Let me sow Love 
Where there is injury
Let me sow pardon
Where there is doubt,faith
Where there is despair,hope
Where there is darkness,light
Where there is sadness,joy 🙏

#Good_Morning☺🌼",Sat Aug 04 11:24:02 +0000 2018
feeebcalim,RT @freanns: grabe ang inflow ng sadness pag malamig ang weather :^),grabe ang inflow ng sadness pag malamig ang weather :^),Sat Aug 04 11:24:02 +0000 2018
HeyyMimi,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 11:24:00 +0000 2018
mrquioz,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 11:23:56 +0000 2018
a_brunzell,Every time they say “the fun will never end” in the adventure time opening my sadness expands over the imminent ending,,Sat Aug 04 11:23:55 +0000 2018
Mystery_ofmine,"""People think depression is sadness, crying or dressing in black. But people are wrong. Depression is the constant feeling of being numb. You wake up in the morning just to go back to bed again.""",,Sat Aug 04 11:23:44 +0000 2018
gabbcake_,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:23:43 +0000 2018
itsmehjersey,"Dear Sadness,

I don’t mean to be rude but I need a break from you for a while. Please don’t be upset with me. 

Love,
Anonymous",,Sat Aug 04 11:23:40 +0000 2018
PawlingNIH,RT @CreationNA: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:23:35 +0000 2018
mnbmrycr,"RT @dereckaguilerax: dont really need clear skin, what i really want is a clear heart, no pain. no sadness. no emptiness. nothing but happi…","dont really need clear skin, what i really want is a clear heart, no pain. no sadness. no emptiness. nothing but happiness and love amd peace. 😪",Sat Aug 04 11:23:35 +0000 2018
NMonte_02,"RT @AgainstSuicide: You're stronger. 
You're stronger than your illness. 
You're stronger than your demons. 
You're stronger than your sadn…","You're stronger. 
You're stronger than your illness. 
You're stronger than your demons. 
You're stronger than your sadness.
You're stronger than your bad days. 
You're stronger than you think.",Sat Aug 04 11:23:33 +0000 2018
shitbagshawty91,Fuck me like we’re lying on our death bed hear the sadness in your laughter she’s afraid of what comes after me true love,,Sat Aug 04 11:23:31 +0000 2018
GrantbryanI,"RT @breatheapril: When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?","When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?",Sat Aug 04 11:23:29 +0000 2018
Salmma_ahmed,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,Sat Aug 04 11:23:29 +0000 2018
AK_Ivona,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:23:20 +0000 2018
skurtss_,I define sadness as my happiness,,Sat Aug 04 11:23:14 +0000 2018
LexiJayne111,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:23:10 +0000 2018
geixeeo,"'I comforted myself, saying this sadness is just a drizzle
But I still wake up with a wet face'",,Sat Aug 04 11:23:08 +0000 2018
AHBAKJ,"RT @gayexjulyan: Unpopular Opinion:

Just bcos u see people give the widest smiles dnt mean they have the strongest hearts &amp; minds. Maybe t…","Unpopular Opinion:

Just bcos u see people give the widest smiles dnt mean they have the strongest hearts &amp; minds. Maybe they jst have the thickest skin to show, to prove others that there's still something to look forward in the midst of struggles &amp; loads of sadness.",Sat Aug 04 11:22:59 +0000 2018
skiesthetic,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,Sat Aug 04 11:22:59 +0000 2018
dikaya_dog1,"@JustSayori00 Полного видео у меня нет, но есть на ютубе вроде 😊
А песня lana del rey-summertime sadness",,Sat Aug 04 11:22:54 +0000 2018
seven_sadness,@SiwXBSXvuFyX4Zo ネズミ…リアルでみたことない,,Sat Aug 04 11:22:53 +0000 2018
HarbourSeal,@sisterlyparrot I know but it’s the only way the sadness will get out you can’t just ignore it,,Sat Aug 04 11:22:39 +0000 2018
ProudMum247,"RT @LivPsy: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence",Sat Aug 04 11:22:39 +0000 2018
erynramlee,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:22:32 +0000 2018
Maugham24,RT @HWarlow: Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read he…,Annabelle Burton is another of our talented Watercolour artists.  She obtained a Fine Arts degree from Leeds.   If you read her bio there is sadness but out of it wonderful art. https://t.co/9p9tDQMGLm,Sat Aug 04 11:22:28 +0000 2018
alotsayings,"Life has knocked me down a few times. I experienced sadness and failures. But one thing for sure, I will always get up.",,Sat Aug 04 11:22:28 +0000 2018
RAiNABUNz,RT @aguguatauss: Fake happiness is the worst sadness.,Fake happiness is the worst sadness.,Sat Aug 04 11:22:28 +0000 2018
SiwXBSXvuFyX4Zo,"@seven_sadness こっちには、ネズミがいて
発狂して家燃やそうとした",,Sat Aug 04 11:22:19 +0000 2018
Spicee_x,"RT @SisiBisi_: Heard something in Lee Daniels’ Star that touched me so much: It is a choice to be broken.

If you choose to wallow in sadne…","Heard something in Lee Daniels’ Star that touched me so much: It is a choice to be broken.

If you choose to wallow in sadness and not move on in situations you find yourself in it’s a choice. 🤔",Sat Aug 04 11:22:18 +0000 2018
reichelleannn,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 11:22:07 +0000 2018
srahrra,"how to temporarily remove sadness from your system: 

u gotta answer math problems. it works.",,Sat Aug 04 11:21:57 +0000 2018
eriqakuzirah,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 11:21:56 +0000 2018
ktaestheticc,they made my sadness turned into happiness https://t.co/9irNtpNEwo,,Sat Aug 04 11:21:54 +0000 2018
Raging_Invalid,"@MagneticSadness yo magnetic sadness, what the craic you all good?",,Sat Aug 04 11:21:48 +0000 2018
SentinelReggie,RT @KiraNetero: Naruto - Sadness and Sorrow https://t.co/5lQEHdxU2K,Naruto - Sadness and Sorrow https://t.co/5lQEHdxU2K,Sat Aug 04 11:21:45 +0000 2018
jenjen_bae,RT @starryjens: listening to jennie's suggested songs because im going through the jennie drought and sadness,listening to jennie's suggested songs because im going through the jennie drought and sadness,Sat Aug 04 11:21:44 +0000 2018
olahninja,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 11:21:40 +0000 2018
NandiniSarswat,RT @Bhagwa2019: @bprerna Yamdoot take away souls...like that Gumdoots  take away sadness...aapke gamon ko bhulane ke liye...they will take…,@bprerna Yamdoot take away souls...like that Gumdoots  take away sadness...aapke gamon ko bhulane ke liye...they will take you to your pleasure land #pakistan. Do you think what said made any sense. https://t.co/4WPvs59VM9,Sat Aug 04 11:21:36 +0000 2018
wnnctignc_,"RT @JonaxxCo: Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, a…","Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, anger, excitement and all the emotions u've shared with this family

Thank u for supporting @jonaxx_WP

#JSLMakingHI5TORY
#JSLFlyingHighForFiveYears",Sat Aug 04 11:21:35 +0000 2018
TasiAnghet,RT @aguguatauss: Fake happiness is the worst sadness.,Fake happiness is the worst sadness.,Sat Aug 04 11:21:31 +0000 2018
paulineramos09,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:21:26 +0000 2018
kingaustinjay,Its like everyday i feel the sadness inside of me,,Sat Aug 04 11:21:22 +0000 2018
LavaletteAstrid,"RT @eagleeyedman1: We got separated with happiness
Now sadly I'm flirting with sadness 
I lost my hope for any tiny hope
Neither I know how…","We got separated with happiness
Now sadly I'm flirting with sadness 
I lost my hope for any tiny hope
Neither I know how I will cope

Yet, I won't be alone, don't bother
Me and your scent will live together
Thanks for leaving your smell here 
I will inhale your scent, for ever https://t.co/1PhUnVST0x",Sat Aug 04 11:21:18 +0000 2018
llanes_maricar,"RT @Fact: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:21:11 +0000 2018
PBerryRN,"RT @kanstandubitz: Fracking Truths at Preston New Road, Little Plumpton, Lancashire, UK - PART 1

Theatrical nightmare ~ Epic improvisation…","Fracking Truths at Preston New Road, Little Plumpton, Lancashire, UK - PART 1

Theatrical nightmare ~ Epic improvisation  
Police brutality ~ Police kindness
Aggression ~ Peacefulness 
Verbal abuse ~ Kind words
Devastation ~ Creation 
Sadness ~ Happiness
Mistrust ~ Trust",Sat Aug 04 11:21:04 +0000 2018
AKIHIDE_Lyrics,"夢を描いたノートは希望に彩られてた
でも未来の自分ってこんなんだっけ…
ああ　情けないなあ　溢れる悲しみを抱き抱え
呼んでもないのに　君はやってきた  -  【Hello! Mr. Sadness】",,Sat Aug 04 11:21:03 +0000 2018
syzilhsyhirhh,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:21:02 +0000 2018
gpycamss,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 11:20:56 +0000 2018
jailenenextdoor,RT @dj___joshua: There’s a difference between being happy and being distracted from sadness,There’s a difference between being happy and being distracted from sadness,Sat Aug 04 11:20:42 +0000 2018
seven_sadness,@SiwXBSXvuFyX4Zo 自分のテリトリーに侵入されたくないから必死になって排除するタイプの人間,,Sat Aug 04 11:20:39 +0000 2018
selfbeautylove,"—LISTEN 
Immediately after a break up your friend is likely to feel confused in addition to sadness, listening is one of the first and most meaningful steps to show you care.",,Sat Aug 04 11:20:30 +0000 2018
PaytonAlexis28,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:20:27 +0000 2018
jacksbookblog,"RT @neilhimself: Got on a train with Ash. Me (thinks): Hah! He will be so excited and happy when he discovers we are in a sleeper car.
Open…","Got on a train with Ash. Me (thinks): Hah! He will be so excited and happy when he discovers we are in a sleeper car.
Opens door.  
Him: Where chair? Want chair! Trains got chairs dadda! (Cries bitter tears)
All tears+missing chair sadness now settled using Coraline on the iPad.",Sat Aug 04 11:20:09 +0000 2018
keytlinmisyel,RT @iambobongquotes: pls remove all this pain and sadness within myself,pls remove all this pain and sadness within myself,Sat Aug 04 11:20:05 +0000 2018
danialzz__,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:20:05 +0000 2018
r0secrowns,"an ice cream a day keeps the sadness away ♡🍦I visited cookiesandconeslos with the family yesterday, and it is the place of ice cream dreams ☁️😻💘 I had a cloud cone with rainbow vanilla ice… https://t.co/CDlr9DvgBm",,Sat Aug 04 11:20:01 +0000 2018
iamangelgrc,"RT @JonaxxCo: Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, a…","Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, anger, excitement and all the emotions u've shared with this family

Thank u for supporting @jonaxx_WP

#JSLMakingHI5TORY
#JSLFlyingHighForFiveYears",Sat Aug 04 11:20:00 +0000 2018
MarYam_Iftikhr,"RT @AKB_says: If Sadness Can Exist_
So Can Happiness_","If Sadness Can Exist_
So Can Happiness_",Sat Aug 04 11:19:59 +0000 2018
drneinsyirah,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 11:19:58 +0000 2018
keleccini,RT @jayanmaa: To each his own.... Whatever makes you happy. Living on another person's standard is the the first call from sadness. Don't p…,To each his own.... Whatever makes you happy. Living on another person's standard is the the first call from sadness. Don't pick it,Sat Aug 04 11:19:58 +0000 2018
loveat4am_,RT @gcfwithhearts: @BTS_twt Please be careful hobi we want to protect Bangtan from all bad things in the world. Your sadness makes us sad t…,@BTS_twt Please be careful hobi we want to protect Bangtan from all bad things in the world. Your sadness makes us sad too. We love you💜,Sat Aug 04 11:19:56 +0000 2018
ezdups,"RT @JonaxxCo: Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, a…","Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, anger, excitement and all the emotions u've shared with this family

Thank u for supporting @jonaxx_WP

#JSLMakingHI5TORY
#JSLFlyingHighForFiveYears",Sat Aug 04 11:19:49 +0000 2018
curlyboiRaf,I turn my sadness into ironic tweets isn’t that a great way to live,,Sat Aug 04 11:19:47 +0000 2018
trumanblughck,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 11:19:40 +0000 2018
AlmazanZen,"RT @dereckaguilerax: dont really need clear skin, what i really want is a clear heart, no pain. no sadness. no emptiness. nothing but happi…","dont really need clear skin, what i really want is a clear heart, no pain. no sadness. no emptiness. nothing but happiness and love amd peace. 😪",Sat Aug 04 11:19:34 +0000 2018
_aaysher,"RT @AllahGreatQuran: Allah is the reason why. Even in sadness, I smile. Even in confusion, I understand. Even in betrayal, I trust. Even in…","Allah is the reason why. Even in sadness, I smile. Even in confusion, I understand. Even in betrayal, I trust. Even in pain, I love.",Sat Aug 04 11:19:30 +0000 2018
PrinceArt20,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:19:29 +0000 2018
HeavyWhalley,Great view yesterday of the wander up a secluded glen that has much history of the Clearances a time of great sadness - see todays blog. https://t.co/itkdcppRWN,,Sat Aug 04 11:19:27 +0000 2018
kaeosx,RT @suckmysouI: of course i wear my sadness like a crown u dumb motherfucker,of course i wear my sadness like a crown u dumb motherfucker,Sat Aug 04 11:19:25 +0000 2018
hshhssbd,RT @ashleydorseyz: this song cured my sadness https://t.co/6xqMZ0SswK,this song cured my sadness https://t.co/6xqMZ0SswK,Sat Aug 04 11:19:24 +0000 2018
tyakamouybwiset,"Maging tayo man o hindi kuntento na ako sayo, atleast andyan ka to enlighten up my day in sadness. Within your smile i motivate to do things because of you.😌",,Sat Aug 04 11:19:21 +0000 2018
SiwXBSXvuFyX4Zo,@seven_sadness 気にしたら負けかな？ってwwww,,Sat Aug 04 11:19:16 +0000 2018
m_sebaeyy,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,Sat Aug 04 11:19:14 +0000 2018
fadyzaki4,RT @Qiuarto: I don’t deserve that amount of sadness.,I don’t deserve that amount of sadness.,Sat Aug 04 11:19:10 +0000 2018
antikdilim,"The word depressed became a common word nowadays, it replaced the word sadness, sorrow.

#Justanopinion",,Sat Aug 04 11:19:07 +0000 2018
starryjens,listening to jennie's suggested songs because im going through the jennie drought and sadness,,Sat Aug 04 11:19:06 +0000 2018
DenzhelDenzhel,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:19:00 +0000 2018
craytusjones,"RT @DawnHosmer7: I'm stuck here with no escape.  No good options only paths leading to more pain, loss, and sadness. I'm drowning in a pool…","I'm stuck here with no escape.  No good options only paths leading to more pain, loss, and sadness. I'm drowning in a pool of indecision. Your deceit pushes me back under each time I rise to take a breath. You used to be my life preserver now I must try to save myself. #satsplat",Sat Aug 04 11:18:59 +0000 2018
yannaaah05,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 11:18:49 +0000 2018
RKMCPHERSON2014,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:18:43 +0000 2018
sadness_saram,촉이 왔다 뽕열포 타이밍이다,,Sat Aug 04 11:18:40 +0000 2018
JMARIE812,"RT @800273TALK: ""Depression isn't just sadness. Sometimes it's emptiness or hopelessness. Sometimes it's struggling to get out of bed in th…","""Depression isn't just sadness. Sometimes it's emptiness or hopelessness. Sometimes it's struggling to get out of bed in the morning. Other times it feels like the weight of the world is on your shoulders &amp; there's nothing you can do [about] it"" #YouMatter https://t.co/nXxuTbeHic",Sat Aug 04 11:18:38 +0000 2018
Darkxaur,"RT @ShabaNabi: @arvindmadan @MarkSanfordWood
@rvautrey
@HelenRCGP
@BMA_GP
@cgps_gp

No - I am not pleased. I am bloody furious.

I am griev…","@arvindmadan @MarkSanfordWood
@rvautrey
@HelenRCGP
@BMA_GP
@cgps_gp

No - I am not pleased. I am bloody furious.

I am grieving with denial, anger and sadness, but never acceptance.

GPs should be ‘pleased’ when small practices close, suggests NHS's top GP https://t.co/gjr5kg6hrN",Sat Aug 04 11:18:19 +0000 2018
PrinceVinz213,So yun na nga nandyan nanaman si Sadness,,Sat Aug 04 11:18:17 +0000 2018
mtalzion,"After hours of fun, now sadness is eating me. But I am happy.",,Sat Aug 04 11:18:15 +0000 2018
Wetzel125,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:18:15 +0000 2018
Maher_papi,"RT @AbrarAsSalafi: Imaam Ibn al-Qayyim رحمه الله said:

The life of this world, from the beginning of it till the end of it is not worth an…","Imaam Ibn al-Qayyim رحمه الله said:

The life of this world, from the beginning of it till the end of it is not worth an hour of sadness, so how about (the person) having sadness for the whole of (his) life.

Al-Fawaaid (pg.44)",Sat Aug 04 11:18:13 +0000 2018
rcchella,"RT @Fact: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:18:06 +0000 2018
sheisafrica,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:17:58 +0000 2018
AnaMRivera15,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:17:49 +0000 2018
_a_evol_e,"RT @spncralexis: When the sad emotions are running high and you get a notification that @jackntbox followed you, your face lights up and sa…","When the sad emotions are running high and you get a notification that @jackntbox followed you, your face lights up and sadness is momentarily forgotten. Thanks for the follow back Asmodaddy! 

#TeamEdom #SaveShadowhunters https://t.co/fWzwjR4NX3",Sat Aug 04 11:17:48 +0000 2018
jn_stalwart,"I saw her smile

But when I look deeper into her eyes

I saw grieves, sorrows, sadness. . 

No sign of happiness",,Sat Aug 04 11:17:46 +0000 2018
seven_sadness,@SiwXBSXvuFyX4Zo 気にならないのw？？？,,Sat Aug 04 11:17:42 +0000 2018
cessyounglady,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:17:37 +0000 2018
BM_LylicEng,"Unleash your all pain such as the suffering and the sadness.
It's OK because I'll protect you.

苦しみも悲しみも　全て解き放て　君を守るから
（イジメ、ダメ、ゼッタイ）",,Sat Aug 04 11:17:27 +0000 2018
chrstncc,RT @tagaykamunapre: I hate this feeling. This feeling of loneliness and the sadness creeping on me. Well maybe her smile would make me feel…,I hate this feeling. This feeling of loneliness and the sadness creeping on me. Well maybe her smile would make me feel better. But how?,Sat Aug 04 11:17:16 +0000 2018
sadness_bad_,RT @dougraz: aquele momento q vc respira fundo espontaneamente e sente uma puta pontada no peito  e dps fica com medo de respirar fundo de…,aquele momento q vc respira fundo espontaneamente e sente uma puta pontada no peito  e dps fica com medo de respirar fundo de novo,Sat Aug 04 11:17:13 +0000 2018
sadness_bad_,RT @vxnxms: hmmmmmmmmmmmmmmm baby I don’t understand this,hmmmmmmmmmmmmmmm baby I don’t understand this,Sat Aug 04 11:17:13 +0000 2018
katleho_hope,"RT @nue_sam: No one will ever love me...

NueSam × wake wangithanda na!?

#TeamNueSam 
#Sadness
#1TalentSA https://t.co/TYBnyIKnmj","No one will ever love me...

NueSam × wake wangithanda na!?

#TeamNueSam 
#Sadness
#1TalentSA https://t.co/TYBnyIKnmj",Sat Aug 04 11:17:06 +0000 2018
YawaKouigan,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:17:04 +0000 2018
Sadness_Power,;))) https://t.co/r8OQKPV4ix,,Sat Aug 04 11:17:02 +0000 2018
yoongiiness13,RT @LUNARYOONIE: his smile can erase all the sadness and pain in your life in just one snap https://t.co/zzfLUrx1V6,his smile can erase all the sadness and pain in your life in just one snap https://t.co/zzfLUrx1V6,Sat Aug 04 11:17:00 +0000 2018
Xery,RT @caieby: @Xery i tweeted this out of pure sadness and you decide to nab it i want to fucking di,@Xery i tweeted this out of pure sadness and you decide to nab it i want to fucking di,Sat Aug 04 11:16:59 +0000 2018
danmercadejas,"RT @JonaxxCo: Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, a…","Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, anger, excitement and all the emotions u've shared with this family

Thank u for supporting @jonaxx_WP

#JSLMakingHI5TORY
#JSLFlyingHighForFiveYears",Sat Aug 04 11:16:55 +0000 2018
shaishaiiii,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:16:49 +0000 2018
norazlin_25,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 11:16:49 +0000 2018
JerichoReloj,RT @theartofhugot: It hurts how sadness easily took over happiness.,It hurts how sadness easily took over happiness.,Sat Aug 04 11:16:47 +0000 2018
